GO term	pValue
GO:0034220	1.26E-17
GO:0055085	3.49E-17
GO:0098660	5.4E-17
GO:0098662	1.27E-16
GO:0098655	1.35E-16
GO:0006811	1.73E-15
GO:0030001	1.82E-15
GO:0006812	9.69E-15
GO:0050877	4.84E-12
GO:0035725	4.87E-12
GO:0015672	1.01E-11
GO:0003008	7.3E-11
GO:0006814	1.03E-10
GO:0007600	3.17E-10
GO:0032501	9.99E-10
GO:0070588	1.24E-8
GO:0006813	1.86E-8
GO:0071805	2.06E-8
GO:0071804	2.06E-8
GO:0006816	3.72E-8
GO:0099587	1.47E-7
GO:0098659	1.47E-7
GO:0072511	1.67E-7
GO:0070838	4.69E-7
GO:0051234	2.06E-6
GO:0098739	2.24E-6
GO:0099601	2.81E-6
GO:0051179	5.49E-6
GO:0098703	6.48E-6
GO:0023052	8.28E-6
GO:0048666	8.68E-6
GO:0034765	9.57E-6
