GO term	pValue
GO:0043436	7.75E-11
GO:0006629	9.87E-11
GO:0032787	1.02E-10
GO:0019752	1.11E-10
GO:0006082	1.47E-10
GO:0044281	3.27E-10
GO:0071704	2.63E-9
GO:0008152	6.5E-9
GO:0044242	1.99E-8
GO:0044248	5.31E-8
GO:0044238	6.91E-8
GO:0016054	1.38E-7
GO:0046395	1.38E-7
GO:0016042	1.82E-7
GO:0006631	2.11E-7
GO:0009056	2.94E-7
GO:0044255	4.83E-7
GO:0090158	1.53E-6
GO:1901575	1.72E-6
GO:0008202	1.89E-6
GO:0072329	2.06E-6
GO:1901565	5.55E-6
GO:0009062	6.05E-6
GO:1901564	1.14E-5
GO:0044282	1.25E-5
GO:0044237	1.49E-5
GO:0019882	4.28E-5
GO:0043603	5.48E-5
GO:0002449	7.76E-5
GO:0043648	8.65E-5
GO:0002479	8.85E-5
GO:0006107	9.41E-5
GO:0006869	1.4E-4
GO:0009063	1.5E-4
GO:0042157	1.96E-4
GO:0002460	1.96E-4
GO:1901605	1.99E-4
GO:0042221	2.58E-4
GO:0009395	2.83E-4
GO:0006520	3.01E-4
GO:0002443	3.15E-4
GO:0016125	3.45E-4
GO:0009725	3.72E-4
GO:0010499	4.21E-4
GO:1990809	5.25E-4
GO:0016999	5.5E-4
GO:0017144	5.83E-4
GO:0002456	6.06E-4
GO:1901606	6.25E-4
GO:0010033	6.51E-4
GO:0002250	8.39E-4
GO:0045723	9.67E-4
GO:0006807	9.79E-4
