"ID","A1","A2","A3","A4","D1","D2","D3","D4","L1","L2","L3","L4","S1","S3","S4","S5","Gene.name"
"ENSRNOG00000046319",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000046.1"
"ENSRNOG00000047964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000089.1"
"ENSRNOG00000050370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vom2r6"
"ENSRNOG00000032365",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vom2r5"
"ENSRNOG00000040300",0,0,0,1,0,0,0,0,3,3,0,0,1,6,1,6,"Raet1e"
"ENSRNOG00000058808",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"RF00421"
"ENSRNOG00000061316",4,6,1,2,0,0,1,0,23,35,12,16,23,44,21,20,"LOC102547056"
"ENSRNOG00000050129",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000137.1"
"ENSRNOG00000040316",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000145.1"
"ENSRNOG00000023659",0,0,0,0,2,0,0,0,3,2,0,0,1,1,1,0,"AABR07000147.1"
"ENSRNOG00000029897",0,1,2,0,0,0,1,2,0,0,1,1,0,0,2,1,"AABR07000156.1"
"ENSRNOG00000042852",0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,"AABR07000158.1"
"ENSRNOG00000061806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00421"
"ENSRNOG00000055877",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000159.4"
"ENSRNOG00000014303",882,1484,866,957,31,30,18,41,536,541,537,567,463,610,538,514,"Lrp11"
"ENSRNOG00000051899",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000159.1"
"ENSRNOG00000014330",256,293,280,290,91,92,180,226,407,771,578,518,909,562,525,663,"Pcmt1"
"ENSRNOG00000049505",19,46,41,35,25,17,43,76,84,197,113,89,182,117,111,144,"Nup43"
"ENSRNOG00000014916",236,306,287,344,33,57,69,155,278,413,323,353,405,340,263,312,"Lats1"
"ENSRNOG00000014996",134,141,161,125,51,94,114,190,208,233,181,214,253,185,158,209,"Katna1"
"ENSRNOG00000015239",1012,1184,1006,1050,40,54,146,205,544,593,620,593,615,659,578,613,"Ginm1"
"ENSRNOG00000055508",0,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,"AABR07000159.3"
"ENSRNOG00000053710",0,1,2,1,0,1,0,0,0,1,0,0,1,1,0,0,"AABR07000159.2"
"ENSRNOG00000015552",102,153,162,149,44,65,90,176,211,378,200,225,351,275,221,265,"Ppil4"
"ENSRNOG00000016041",4,3,6,1,20,37,45,47,14,11,16,8,8,14,12,11,"Zc3h12d"
"ENSRNOG00000016054",604,594,672,719,106,107,234,349,849,1150,1068,1052,1260,1045,992,1129,"Tab2"
"ENSRNOG00000016381",7,3,5,4,1,1,4,3,11,25,15,11,16,16,7,11,"Ust"
"ENSRNOG00000054005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00026"
"ENSRNOG00000059137",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"AABR07000173.1"
"ENSRNOG00000013160",333,370,320,565,29,11,13,27,272,209,273,218,165,394,246,226,"Sash1"
"ENSRNOG00000052788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00340"
"ENSRNOG00000023549",6,8,2,2,0,1,0,0,0,9,2,2,5,0,3,2,"Samd5"
"ENSRNOG00000031859",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"RGD1560633"
"ENSRNOG00000013351",182,178,161,217,310,521,589,913,233,284,208,500,279,282,175,240,"Stxbp5"
"ENSRNOG00000061755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00340"
"ENSRNOG00000053182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000200.1"
"ENSRNOG00000042741",2,1,3,2,20,33,35,66,3,3,1,8,3,4,0,0,"Adgb"
"ENSRNOG00000014258",140,173,151,139,54,57,53,53,294,172,136,157,132,183,102,84,"Rab32"
"ENSRNOG00000057302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000014290",2,0,0,0,1,0,0,0,1,2,1,2,4,0,1,0,"Grm1"
"ENSRNOG00000041566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000220.1"
"ENSRNOG00000014431",1,0,2,1,1,5,3,6,1,2,2,1,7,2,5,3,"AABR07000222.1"
"ENSRNOG00000014450",124,122,138,143,20,15,29,32,121,180,121,110,148,129,119,153,"Shprh"
"ENSRNOG00000014852",91,85,69,112,46,68,121,205,150,276,291,198,452,332,415,476,"Fbxo30"
"ENSRNOG00000052274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00156"
"ENSRNOG00000040242",5,6,1,3,1,0,0,1,0,6,5,6,2,2,3,3,"Epm2a"
"ENSRNOG00000054906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00560"
"ENSRNOG00000058048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00322"
"ENSRNOG00000051844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000248.1"
"ENSRNOG00000053880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"RF00045"
"ENSRNOG00000011058",449,405,384,499,285,288,420,499,372,428,398,377,429,492,444,469,"Utrn"
"ENSRNOG00000014902",4,2,2,2,45,58,38,40,18,6,13,32,13,9,3,14,"Stx11"
"ENSRNOG00000014908",320,448,545,420,181,168,246,489,776,816,796,867,772,835,691,757,"Sf3b5"
"ENSRNOG00000036310",5,9,4,3,7,5,8,1,6,2,4,1,8,4,2,1,"AABR07000257.1"
"ENSRNOG00000025587",1,1,1,0,6,6,2,2,46,119,25,46,115,126,24,69,"Plagl1"
"ENSRNOG00000042705",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Zc2hc1b"
"ENSRNOG00000043188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000261.1"
"ENSRNOG00000015217",167,186,214,187,57,50,113,239,304,348,295,286,373,353,251,341,"Ltv1"
"ENSRNOG00000015473",13,13,7,13,16,10,19,30,25,44,15,62,26,47,18,34,"Phactr2"
"ENSRNOG00000015551",228,294,178,260,32,18,28,31,394,295,311,353,243,344,280,372,"Fuca2"
"ENSRNOG00000015660",232,299,217,222,24,17,20,34,168,196,189,222,192,206,183,194,"Pex3"
"ENSRNOG00000046983",27,23,35,23,4,6,10,12,32,39,49,56,26,59,29,33,"Adat2"
"ENSRNOG00000016624",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"AABR07000276.1"
"ENSRNOG00000010753",92,62,54,57,17,19,27,25,189,161,158,161,132,185,163,169,"Aig1"
"ENSRNOG00000011015",32,31,37,28,14,12,18,17,37,36,26,28,42,48,29,37,"Hivep2"
"ENSRNOG00000011399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AABR07000292.1"
