Row.names,A1,A2,A3,A4,D1,D2,D3,D4,L1,L2,L3,L4,S1,S3,S4,S5,X242.Adult,X242.Fetal,X243.Adult,X243.Fetal,X248.Adult,X248.Fetal,X249.Adult,X249.Fetal
ENSRNOG00000000001,1,1,1,2,0,0,0,1,1,3,1,3,2,2,1,0,5,19,2,4,37,15,8,6
ENSRNOG00000000007,10,16,19,10,12,11,11,6,6,15,7,15,12,12,6,13,27,54,23,42,18,65,25,93
ENSRNOG00000000008,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,14,28,7,27,3,25,16,34
ENSRNOG00000000009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18,44,9,22,41,42,18,48
ENSRNOG00000000010,0,1,2,4,1,3,2,4,0,0,2,0,0,0,1,2,8,46,11,10,11,23,7,73
ENSRNOG00000000012,1,0,0,0,27,35,47,63,13,22,20,10,28,19,26,23,5,34,2,0,0,9,2,16
ENSRNOG00000000017,7,2,3,3,5,6,3,5,139,161,129,126,162,130,131,168,7,32,4,11,0,12,9,41
ENSRNOG00000000021,59,63,95,91,15,11,16,22,76,112,89,99,116,95,81,71,53,67,158,129,67,31,124,73
ENSRNOG00000000024,1193,1915,1431,1298,279,270,424,765,2495,2488,2415,2096,2575,2419,2236,2409,370,536,560,379,479,306,578,627
ENSRNOG00000000033,113,142,120,123,677,801,1854,3429,855,2186,3381,1864,7421,5955,9734,10284,84,113,125,158,73,129,65,150
ENSRNOG00000000034,277,314,268,273,54,68,53,78,122,84,86,104,53,94,99,77,196,223,312,306,192,122,263,345
ENSRNOG00000000035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,3,18,0,10,2,21
ENSRNOG00000000036,75,38,82,100,3,4,4,2,59,36,40,40,31,53,25,37,31,138,89,91,100,59,52,119
ENSRNOG00000000040,2,4,2,2,1,1,1,1,12,10,3,8,13,19,8,7,41,86,60,83,44,22,46,114
ENSRNOG00000000041,2822,2767,3048,3223,14,21,25,42,362,556,356,328,467,447,357,384,1731,1927,2752,2007,2157,1105,1451,1779
ENSRNOG00000000042,123,124,119,184,13,15,29,24,69,110,74,90,118,98,78,100,157,244,225,245,73,168,180,252
ENSRNOG00000000043,182,253,269,191,30,17,41,59,679,481,618,566,354,840,560,483,303,316,473,340,249,247,292,269
ENSRNOG00000000044,88,117,135,117,24,15,20,48,154,131,142,112,132,183,102,150,156,207,326,221,85,140,203,246
ENSRNOG00000000047,1245,1666,1309,1297,335,277,670,655,1361,1832,1470,1434,2076,1662,1529,1651,448,496,823,764,485,399,501,545
ENSRNOG00000000048,979,1041,967,1283,116,112,181,280,657,916,689,835,893,783,713,755,1908,2727,2880,2441,1577,1330,2166,2929
ENSRNOG00000000053,77038,96861,104663,105126,180,228,209,210,2628,1230,2489,2203,2376,4170,3078,2987,35419,39597,54107,38600,46422,31507,34822,39712
ENSRNOG00000000054,107,51,101,108,34,13,29,30,45,100,60,43,75,57,57,48,18,29,41,40,15,28,30,58
ENSRNOG00000000055,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,24,22,7,6,16,11,15
ENSRNOG00000000060,5,10,10,5,3,6,9,7,8,3,5,4,10,9,6,8,8,52,7,10,0,21,17,38
ENSRNOG00000000062,62,51,50,73,19,20,33,38,53,98,72,87,95,70,69,93,284,326,412,326,103,113,304,334
ENSRNOG00000000064,1129,1489,1362,1055,377,707,1084,1919,2363,1715,2205,1990,1748,2055,1947,2153,124,116,163,186,155,95,179,208
ENSRNOG00000000065,1,1,4,0,3,3,2,2,0,0,0,1,3,0,0,0,51,115,27,77,38,60,24,143
ENSRNOG00000000066,123,128,135,156,26,30,75,117,125,177,115,147,185,137,135,118,127,185,178,217,121,132,179,198
ENSRNOG00000000068,2031,2566,2467,2180,304,543,778,1137,1244,1216,1118,1283,1143,1221,1149,1294,1539,1589,2508,1937,1791,962,1535,1635
ENSRNOG00000000070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000073,408,326,372,557,28,16,21,44,146,245,182,228,233,211,211,234,477,352,937,637,435,277,437,471
ENSRNOG00000000075,82,60,82,81,178,183,202,306,121,210,126,157,180,149,136,139,54,98,132,98,65,62,54,128
ENSRNOG00000000081,353,385,416,548,6,4,5,4,112,90,100,96,82,133,74,74,644,871,881,769,543,447,783,938
ENSRNOG00000000082,106,126,64,63,41,40,67,109,376,459,392,356,420,324,295,331,30,116,102,76,42,66,29,74
ENSRNOG00000000091,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000000095,524,493,495,576,43,59,115,193,463,510,489,497,536,483,517,487,261,361,421,374,407,196,245,351
ENSRNOG00000000096,649,1250,755,710,59,82,57,58,1578,1400,1465,1383,1139,1556,1433,1461,573,997,713,640,797,706,819,1000
ENSRNOG00000000097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,9,16,4,14,4,24
ENSRNOG00000000098,372,483,436,456,59,55,67,74,235,350,308,276,410,321,284,299,189,203,279,208,168,117,171,201
ENSRNOG00000000104,269,331,311,317,64,64,134,239,361,582,416,482,571,458,401,466,171,241,215,157,157,120,189,289
ENSRNOG00000000105,10,23,11,6,5,6,4,4,39,51,53,62,48,72,46,52,69,166,77,106,53,65,96,149
ENSRNOG00000000108,533,534,432,470,44,72,88,188,739,908,716,823,817,743,657,721,142,157,252,189,269,158,169,204
ENSRNOG00000000109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,17,6,14,10
ENSRNOG00000000111,30,63,54,34,12,12,11,21,108,61,60,63,41,73,53,69,16,19,58,47,37,18,51,76
