"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"1","-6.65556493321092","5.27762668531856","599.086624549649","2.64524383323258e-132","3.65519792876078e-128","313373","Cyp2j10","ENSRNOG00000042224"
"2","-7.30934535374165","6.09506314993618","596.948861886183","7.71700261862721e-132","5.33167710920954e-128","64305","Sult1b1","ENSRNOG00000001967"
"3","-7.41307062508134","6.0291613282262","594.281212671996","2.93555782406364e-131","1.35211793376371e-127","362861","Slc41a2","ENSRNOG00000008713"
"4","-6.62163432030393","5.61006245793854","583.410020583853","6.79728629453423e-129","2.34812255044685e-125","301264","Cyp39a1","ENSRNOG00000010519"
"5","-5.51858224458081","5.96000058149326","560.9224466045","5.29609972201641e-124","1.46363011917645e-120","64076","Slc26a1","ENSRNOG00000000041"
"6","5.51248820486122","6.25490802892166","549.251939158643","1.83115012821251e-121","4.21713874527342e-118","363017","Taf1d","ENSRNOG00000010921"
"7","5.84849815019546","6.72497860970632","545.786327554563","1.03906196493232e-120","2.0511083187764e-117","83508","Timeless","ENSRNOG00000031916"
"8","-5.79914305821785","6.00967862327859","541.961108947816","7.05990429022848e-120","1.21942196852971e-116","58952","Cpq","ENSRNOG00000005931"
"9","4.95514571588124","4.97273904701316","526.224908280892","1.87174202027101e-116","2.87374791512276e-113","308568","Fv1","ENSRNOG00000019132"
"10","-6.79868698296131","7.28587573169663","516.494883436867","2.44980393464243e-114","3.38513907688891e-111","289178","Dpt","ENSRNOG00000002947"
"11","-5.26199553994946","5.51188493969678","514.786903747638","5.76409206335238e-114","7.24074764830938e-111","25216","Sdc1","ENSRNOG00000059947"
"12","-6.58423225307566","6.73017092010803","514.412961044468","6.95166317416238e-114","8.00484014504798e-111","361228","Adtrp","ENSRNOG00000014481"
"13","-6.21660214517108","7.6612608380646","507.312132346286","2.43792704684573e-112","2.59132891794726e-109","192262","C1s","ENSRNOG00000011971"
"14","-7.39825792190541","7.38160883860342","505.70041527604","5.46624241668086e-112","5.39518126526401e-109","297073","Rarres2","ENSRNOG00000024705"
"15","-7.85916045481804","4.75599290857374","502.894549496152","2.22935046175115e-111","2.05367764536516e-108","316153","Sult1c2a","ENSRNOG00000042111"
"16","-8.16844651306355","5.88148636341723","495.678981975785","8.28218048742533e-110","7.1526981234527e-107","408236","Mug2","ENSRNOG00000033245"
"17","4.7894735247336","5.10361400353027","494.515813061074","1.48330933899439e-109","1.20566873213085e-106","690422","Tedc1","ENSRNOG00000005153"
"18","-7.01293088753407","6.01468035204306","488.687071117216","2.75100423914473e-108","2.1118542542501e-105","501162","Mreg","ENSRNOG00000015774"
"19","-5.5668458040205","5.18405529750709","487.370201419224","5.32144334493125e-108","3.87008969159263e-105","295971","Depdc7","ENSRNOG00000012262"
"20","4.52389746551936","5.02345935045313","483.574554269619","3.56397452892544e-107","2.46235000203459e-104","171439","Bzw2","ENSRNOG00000005096"
"21","-7.42180269874186","5.34094040198459","481.237142133516","1.14959540932883e-106","7.56433779338373e-104","308129","Iyd","ENSRNOG00000016286"
"22","-4.78861563452267","6.40727100112689","471.858560456665","1.262798492178e-104","7.93152252950708e-102","116479","F11r","ENSRNOG00000004414"
"23","7.4004327561729","5.1963377816022","465.524604060668","3.01757045220688e-103","1.81290384819977e-100","690288","Dnah14","ENSRNOG00000051880"
"24","-6.50252879468722","7.41242685771193","464.767888423889","4.4088760657398e-103","2.53841039484969e-100","83569","Abcb11","ENSRNOG00000050860"
"25","-7.44863292428837","5.5679781327385","464.216821734992","5.81094847615819e-103","3.21182744174216e-100","300920","Cldn2","ENSRNOG00000054495"
"26","-5.29127664410848","5.32134921367379","461.902488621412","1.85301409655401e-102","9.84805722545511e-100","298077","RGD1305807","ENSRNOG00000010497"
"27","-5.04160585948789","6.3573237090106","460.90776243267","3.05033053957155e-102","1.54603815809023e-99","361730","Tkfc","ENSRNOG00000020704"
"28","8.50443626145178","4.64739222063956","460.854521270276","3.13280275195589e-102","1.54603815809023e-99","NULL"," ","ENSRNOG00000056213"
"29","-7.3091601706372","4.96767257785351","453.923820814181","1.00969856516661e-100","4.81103957705936e-98","25107","Avpr1a","ENSRNOG00000004400"
"30","-5.45741497733038","5.26481429875774","451.028229995546","4.30868599509573e-100","1.98458076934109e-97","64023","Masp1","ENSRNOG00000001827"
"31","3.96399643992433","5.54665880955586","450.694475203725","5.09306029307161e-100","2.27019055256979e-97","297998","Nudt2","ENSRNOG00000013110"
"32","-7.55901882210393","6.58230537484476","447.298414401","2.79292486691396e-99","1.20601986909428e-96","366792","Mettl7b","ENSRNOG00000007927"
"33","4.54291739743219","5.88887431166609","445.809666313529","5.88921656170517e-99","2.46597558938309e-96","171102","Cdc25a","ENSRNOG00000020737"
"34","-7.07380337215214","5.74583112774572","442.978941905074","2.43286809706296e-98","9.88746216624e-96","89776","Slc22a7","ENSRNOG00000018420"
"35","-7.41770969318109","7.92996489431903","440.908825847025","6.86516763777694e-98","2.71036818339434e-95","24862","Ugt2b","ENSRNOG00000046540"
"36","-6.22797379913344","5.57051843908393","439.313058789794","1.52739499072019e-97","5.86265110604766e-95","303861","Cpn2","ENSRNOG00000024384"
"37","-6.08340721311689","4.9668972087608","439.071688293079","1.72378501627023e-97","6.43763820400594e-95","362648","Arhgef19","ENSRNOG00000047967"
"38","-7.008706327542","7.25212879025044","438.785245491303","1.98986877133239e-97","7.23579123217656e-95","24422","Gsta2","ENSRNOG00000000201"
"39","-5.9942014281211","4.56575215674046","438.215879307897","2.64692364208327e-97","9.37825407341194e-95","291760","Dsc2","ENSRNOG00000039969"
"40","-5.47770158188431","5.24874420946722","437.235568309988","4.32610800672319e-97","1.49445401092253e-94","81530","Pdk2","ENSRNOG00000004172"
"41","-6.10464643936957","4.67856552585982","436.496710400722","6.26475233068998e-97","2.11137433427986e-94","300051","Slc39a4","ENSRNOG00000014314"
"42","-5.40051232278201","6.3689759092927","435.884050261607","8.51618292100683e-97","2.80182418101125e-94","309131","Slc22a18","ENSRNOG00000020562"
"43","-4.60163545041041","5.59864630191086","435.694648794825","9.36411922978734e-97","3.00914882598143e-94","289175","Slc19a2","ENSRNOG00000002839"
"44","-5.07037626527861","6.69877815166747","434.19966155366","1.98080748710159e-96","6.2206358765386e-94","192268","Gls2","ENSRNOG00000031612"
"45","-6.2680664918304","5.16235333667627","432.411794784883","4.85248823182875e-96","1.49003738638688e-93","303639","Abca6","ENSRNOG00000046890"
"46","-4.96170101087924","5.18297137583016","431.675561953422","7.01784480223953e-96","2.10809955385534e-93","290648","Pgpep1","ENSRNOG00000019639"
"47","4.53000031963133","6.14640536691959","431.517870798509","7.59495025770021e-96","2.23291537576386e-93","NULL"," ","ENSRNOG00000002874"
"48","8.51617560871458","5.20382559134824","427.463509282091","5.79373709571404e-95","1.66787206642868e-92","289747","Osm","ENSRNOG00000024390"
"49","-6.44516174597983","6.72513385295623","426.809471227899","8.04104149922222e-95","2.26757370278066e-92","286963","Cyp2d5","ENSRNOG00000029128"
"50","4.93921908137558","5.68474301959876","425.339056733152","1.68017558377201e-94","4.64333324331232e-92","406196","Cchcr1","ENSRNOG00000050233"
"51","-6.27540965895017","6.79862828849809","422.633397300637","6.52019244838782e-94","1.76658861278084e-91","296545","C8g","ENSRNOG00000028701"
"52","-5.63048603090133","7.30260313856234","421.134121641457","1.38226739060191e-93","3.67310976987253e-91","24546","Slco2a1","ENSRNOG00000009005"
"53","-7.47041179676615","5.76446647508706","420.107626221972","2.31217208260084e-93","6.02822525233554e-91","291283","Akr1c2","ENSRNOG00000029844"
"54","-5.36390298027379","5.81851848932178","419.959786539234","2.48999916950616e-93","6.37163120819186e-91","81805","Suox","ENSRNOG00000005987"
"55","-5.34622346022753","6.59106323298126","419.215099047388","3.61650954700583e-93","9.08598707645938e-91","79223","Gk","ENSRNOG00000034116"
"56","-5.57709158660669","7.752342928004","417.965028434905","6.7668168774883e-93","1.65096246052139e-90","502970","Angptl3","ENSRNOG00000008638"
