"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"1","-9.76843159900349","6.0291613282262","889.824485272316","1.59907661990389e-195","2.2096040733832e-191","362861","Slc41a2","ENSRNOG00000008713"
"2","-9.78179826100682","4.75599290857374","762.785206415919","6.65991090374944e-168","4.60133244340049e-164","316153","Sult1c2a","ENSRNOG00000042111"
"3","-13.4824561038917","6.58230537484476","751.196189184454","2.20448553234033e-165","1.01538603619595e-161","366792","Mettl7b","ENSRNOG00000007927"
"4","6.89750749654597","5.29748138836873","750.117202396115","3.78370750484413e-165","1.30708175754841e-161","NULL"," ","ENSRNOG00000041744"
"5","-10.5255564129251","4.96767257785351","728.47558013303","1.9216580046482e-160","5.31069406164576e-157","25107","Avpr1a","ENSRNOG00000004400"
"6","-12.1964286550623","5.76446647508706","685.434455880075","4.39667979621861e-151","1.01255535706915e-147","291283","Akr1c2","ENSRNOG00000029844"
"7","-6.84999597917539","6.09506314993618","651.816434627556","8.9964935914821e-144","1.77590783495857e-140","64305","Sult1b1","ENSRNOG00000001967"
"8","-7.85760850201874","4.08935820508644","646.748366147942","1.13836140735343e-142","1.96623474085121e-139","307092","Akr1c1","ENSRNOG00000038331"
"9","-7.17258210441592","4.9668972087608","635.528776299601","3.13596668979316e-140","4.81475419106243e-137","362648","Arhgef19","ENSRNOG00000047967"
"10","-15.2316476414311","6.33085055336924","625.81554504375","4.06356042672051e-138","5.61502779764241e-135","170698","Slco1a4","ENSRNOG00000047493"
"11","-9.86793063588316","4.6869164187545","616.976485039536","3.39909434622989e-136","4.2698805160186e-133","286964","Hsd17b6","ENSRNOG00000002597"
"12","6.18397454955636","5.22038586001524","611.713439105812","4.74322154643121e-135","5.46181961071554e-132","363498","Bex2","ENSRNOG00000032729"
"13","-11.8297806233713","6.92678149872345","599.832265240374","1.82088570244633e-132","1.93546143356949e-129","299276","Serpina3m","ENSRNOG00000009921"
"14","-9.79095212303923","5.3744169520349","561.861241734219","3.30931064682769e-124","3.26628960841893e-121","246266","Aspg","ENSRNOG00000012843"
"15","-8.53432615528926","4.03894778918815","558.837974303164","1.50452412318972e-123","1.38596762228237e-120","498940","Ces2h","ENSRNOG00000039079"
"16","-7.60072395092736","5.88148636341723","549.047859700551","2.02824143042708e-121","1.75164000535258e-118","408236","Mug2","ENSRNOG00000033245"
"17","-12.0194433383801","7.97154673387826","544.497157677647","1.98195039278961e-120","1.61097591338628e-117","24813","Tat","ENSRNOG00000016348"
"18","-6.71914133635623","6.01468035204306","532.945416998265","6.45893195656852e-118","4.95830676532577e-115","501162","Mreg","ENSRNOG00000015774"
"19","-8.23031375222064","5.06021304122757","530.646575812241","2.04306844247195e-117","1.48584840726723e-114","63867","Ugt2a1","ENSRNOG00000001973"
"20","6.45777145194946","5.23012115361134","516.599750405198","2.32442661675164e-114","1.60594634951371e-111","501624","Bex4","ENSRNOG00000060103"
"21","-9.1259983917186","6.26891413503956","511.870364174809","2.48472552443287e-113","1.63494939507683e-110","84493","Fmo3","ENSRNOG00000003620"
"22","-6.90843258349026","5.5679781327385","508.067250250679","1.67004133160642e-112","1.04893777818807e-109","300920","Cldn2","ENSRNOG00000054495"
"23","-8.87862414572173","4.55165411932208","502.060380815305","3.38590557101483e-111","2.03419318175143e-108","303743","Notum","ENSRNOG00000036680"
"24","-8.91763673724365","8.16844551380409","496.128604531603","6.6117176300307e-110","3.80669642549017e-107","140638","Apoa5","ENSRNOG00000018436"
"25","-7.91002014250594","5.21746785034635","481.564047814432","9.75913895970502e-107","5.39407128580816e-104","293779","Glyat","ENSRNOG00000012142"
"26","-7.41711218377895","6.38370959959128","478.841488102247","3.81798219694064e-106","2.02911069220484e-103","690745","Mtarc1","ENSRNOG00000004101"
"27","6.53660780134036","4.10960216088034","477.044664587214","9.3933856137722e-106","4.80732601522608e-103","246235","Slc36a2","ENSRNOG00000011892"
"28","-7.54434964458932","7.92996489431903","472.018990929698","1.16526180880665e-104","5.7505670264608e-102","24862","Ugt2b","ENSRNOG00000046540"
"29","-8.07073653072687","8.52422225540048","471.735116104973","1.34337181644776e-104","6.40093508954314e-102","24346","Ces1c","ENSRNOG00000015438"
"30","-11.6605984874647","10.2684249706758","471.420142697631","1.57302732250165e-104","7.24536384744258e-102","25046","Pigr","ENSRNOG00000004405"
"31","5.43497907057478","6.60025940270152","462.731070772069","1.22339550670108e-102","5.45318681019209e-100","58835","Phgdh","ENSRNOG00000019328"
"32","-17.8673485146816","10.2832839848313","446.812236055238","3.56341697706212e-99","1.53872799340764e-96","619560","Rup2","ENSRNOG00000045799"
"33","-15.4282353003511","7.84911952096616","441.362553501251","5.46893918490705e-98","2.28999398960744e-95","293989","Cyp2c6v1","ENSRNOG00000024016"
