"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"1","6.75933422617152","5.29748138836873","722.960424634931","3.04034326051581e-159","4.20114631738074e-155","NULL"," ","ENSRNOG00000041744"
"2","-7.01530367684221","6.0291613282262","662.195262709905","4.97644691011504e-146","3.43822717019848e-142","362861","Slc41a2","ENSRNOG00000008713"
"3","-7.21057256622523","4.75599290857374","621.040971291828","4.43966287638266e-137","2.04490872086185e-133","316153","Sult1c2a","ENSRNOG00000042111"
"4","6.07285253006455","5.22038586001524","592.176267361125","8.42445144180589e-131","2.91022675057185e-127","363498","Bex2","ENSRNOG00000032729"
"5","-6.06884791043158","6.09506314993618","561.237977084006","4.52186817087603e-124","1.2496634877033e-120","64305","Sult1b1","ENSRNOG00000001967"
"6","-7.03260152503164","4.96767257785351","550.65844598979","9.05214542749462e-122","2.08470909195201e-118","25107","Avpr1a","ENSRNOG00000004400"
"7","-6.18962239391206","4.9668972087608","543.031367519517","4.13017340131083e-120","8.15296229418758e-117","362648","Arhgef19","ENSRNOG00000047967"
"8","-6.34234674827043","4.08935820508644","540.697638754202","1.32942196323052e-119","2.29624408598992e-116","307092","Akr1c1","ENSRNOG00000038331"
"9","6.34007451705919","5.23012115361134","500.369803997186","7.89784249963365e-111","1.21258208511042e-107","501624","Bex4","ENSRNOG00000060103"
"10","-7.02066956483694","4.6869164187545","480.201271725727","1.93173439093999e-106","2.66927058140088e-103","286964","Hsd17b6","ENSRNOG00000002597"
"11","-6.1400357629381","6.01468035204306","475.995518084055","1.5889766803125e-105","1.99604361532347e-102","501162","Mreg","ENSRNOG00000015774"
"12","6.51447885372897","4.10960216088034","473.784796899647","4.81034458179293e-105","5.53911178593456e-102","246235","Slc36a2","ENSRNOG00000011892"
"13","-6.67601498711169","5.88148636341723","473.264352050019","6.24348419886219e-105","6.63634343537521e-102","408236","Mug2","ENSRNOG00000033245"
