"","ENSEMBL"
"Tm4sf4","ENSRNOG00000016437"
"Grn","ENSRNOG00000021031"
"NA","ENSRNOG00000059330"
"Spint2","ENSRNOG00000020636"
"Cacna1b","ENSRNOG00000004560"
"Ebpl","ENSRNOG00000014659"
"Psma5","ENSRNOG00000019868"
"Slc25a5","ENSRNOG00000039980"
"Ctsc","ENSRNOG00000016496"
"Chpf2","ENSRNOG00000010466"
"Slc7a2","ENSRNOG00000011016"
"Serpina3m","ENSRNOG00000009921"
"Skp1","ENSRNOG00000005828"
"Pla2g15","ENSRNOG00000019859"
"Cenpe","ENSRNOG00000009339"
"Aldh3a2","ENSRNOG00000002342"
"Sdc1","ENSRNOG00000059947"
"Cldn3","ENSRNOG00000046007"
"Tmem98","ENSRNOG00000021316"
"Abca4","ENSRNOG00000012892"
"Tapbp","ENSRNOG00000029500"
"Hsd17b10","ENSRNOG00000003049"
"Col20a1","ENSRNOG00000010326"
"Serpina11","ENSRNOG00000011141"
"Ccdc152","ENSRNOG00000039473"
"Chpt1","ENSRNOG00000058271"
"NA","ENSRNOG00000050156"
"NA","ENSRNOG00000053040"
"Psmc6","ENSRNOG00000007203"
"Ostf1","ENSRNOG00000012156"
"Apoc2","ENSRNOG00000018402"
"Rcan2","ENSRNOG00000010350"
"Ptger3","ENSRNOG00000010325"
"Etfa","ENSRNOG00000015233"
"Rpl28","ENSRNOG00000017127"
"Fbp1","ENSRNOG00000017597"
"Col17a1","ENSRNOG00000012110"
"Cpn2","ENSRNOG00000024384"
"Ctsf","ENSRNOG00000019708"
"Prkcq","ENSRNOG00000019057"
"NA","ENSRNOG00000056834"
"Cyp2c7","ENSRNOG00000021405"
"Npc1l1","ENSRNOG00000049955"
"Cd81","ENSRNOG00000020451"
"Vps4b","ENSRNOG00000002705"
"Mipep","ENSRNOG00000013876"
"Nup210l","ENSRNOG00000055790"
"Nr0b2","ENSRNOG00000007229"
"Sesn2","ENSRNOG00000042785"
"Tmem176a","ENSRNOG00000023708"
"Rab5if","ENSRNOG00000020317"
"Fam8a1","ENSRNOG00000026120"
"Cyp3a18","ENSRNOG00000000969"
"Prdx4","ENSRNOG00000003763"
"Acnat1","ENSRNOG00000056688"
"Col6a4","ENSRNOG00000031782"
"Smpd1","ENSRNOG00000017977"
"Sema4f","ENSRNOG00000006784"
"Btg1","ENSRNOG00000004284"
"Slit1","ENSRNOG00000026065"
"Plbd2","ENSRNOG00000001385"
"Pdxk","ENSRNOG00000049937"
"Hadhb","ENSRNOG00000010800"
"Ugt2a1","ENSRNOG00000001973"
"Ank1","ENSRNOG00000018241"
"Psmb8","ENSRNOG00000000456"
"Hgfac","ENSRNOG00000009572"
"Serp1","ENSRNOG00000011763"
"Dnah1","ENSRNOG00000026914"
"Naglu","ENSRNOG00000032381"
"Oplah","ENSRNOG00000011781"
"Icam1","ENSRNOG00000020679"
"Serpina10","ENSRNOG00000050761"
"Mcpt1","ENSRNOG00000020625"
"Atl2","ENSRNOG00000006523"
"Kif2c","ENSRNOG00000019100"
"Aspg","ENSRNOG00000012843"
"Gjb2","ENSRNOG00000008855"
"Myg1","ENSRNOG00000013343"
"Slc66a2","ENSRNOG00000059215"
"Acnat2","ENSRNOG00000051912"
"Spta1","ENSRNOG00000003537"
