"","ENSEMBL","SYMBOL","Dual-Adult_logFC","Dual-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"1","ENSRNOG00000000239","Ccl7",4.72007872964666,1.0674180638226e-05,2.3402092,0.0440924,NA,NA
"2","ENSRNOG00000000277","Tet1",6.09215077883619,1.57515262049461e-13,1.2209543,0.009102492,NA,NA
"3","ENSRNOG00000000456","Psmb8",-4.2516259710439,5.53653046177973e-37,NA,NA,-0.7251868,0.027791901
"4","ENSRNOG00000000522","Cpne5",3.62090360891703,2.43800376997529e-06,1.4485882,0.01947826,NA,NA
"5","ENSRNOG00000000571","Psap",-0.591878556732522,0.0212991541412693,NA,NA,-0.6499477,0.034842153
"6","ENSRNOG00000000938","Ran",1.30809835258804,1.43264016809194e-08,NA,NA,-0.668415,0.046034301
"7","ENSRNOG00000000969","Cyp3a18",-7.37535816905331,2.91558210955484e-27,NA,NA,-0.7611331,0.02345399
"8","ENSRNOG00000001053","Tmed2",-1.85080630116722,4.19673354589329e-19,NA,NA,-0.6995184,0.032516334
"9","ENSRNOG00000001082","Abcb9",1.21088597217577,0.00199374134868864,1.0156599,0.03114329,NA,NA
"10","ENSRNOG00000001103","Sdk1",2.49005405312891,0.000501693654182584,1.4137038,0.008369724,NA,NA
"11","ENSRNOG00000001113","Mmd2",-1.14347769243868,0.0423875365836034,2.1406744,0.01513566,NA,NA
"12","ENSRNOG00000001143","Cit",6.72204727952995,3.74906948490926e-73,0.6693178,0.03888929,NA,NA
"13","ENSRNOG00000001156","Msi1",2.39643620040739,0.000387419629691945,1.4825816,0.04054588,NA,NA
"14","ENSRNOG00000001261","Ftcd",-4.07921885218622,9.19306506395294e-21,NA,NA,-0.5935765,0.032346576
"15","ENSRNOG00000001385","Plbd2",-3.26667380947363,1.26421765082129e-41,NA,NA,-0.6695139,0.026546328
"16","ENSRNOG00000001396","Mospd3",-1.61603316826517,4.88125857261824e-18,NA,NA,-0.7606259,0.035879126
"17","ENSRNOG00000001592","Cct8",1.65113166616735,4.89988694374227e-15,NA,NA,-0.6088164,0.047453826
"18","ENSRNOG00000001640","Tomm70",-2.1486154978038,1.96359413382745e-20,NA,NA,-0.6533957,0.042909069
"19","ENSRNOG00000001692","Chaf1b",3.19739378089553,1.4763457882413e-18,1.2995233,0.02187972,NA,NA
"20","ENSRNOG00000001865","Serpind1",-4.62337889044528,7.05900520983469e-43,NA,NA,-0.6802151,0.035560691
"21","ENSRNOG00000001869","Rab44",8.97071998394039,1.2078224660923e-32,2.6425771,0.007551574,NA,NA
"22","ENSRNOG00000001943","Retnlg",8.5690434912297,9.41308073535463e-25,2.339047,0.03777129,NA,NA
"23","ENSRNOG00000001973","Ugt2a1",-7.29462868319599,4.12302262518692e-84,NA,NA,-0.7272869,0.02732166
"24","ENSRNOG00000001980","Ugt2b35",-5.33061525531601,8.39291839583265e-78,NA,NA,-0.6862121,0.04545837
"25","ENSRNOG00000002342","Aldh3a2",-4.16839169370242,2.6439839362487e-41,NA,NA,-0.7030729,0.014887631
"26","ENSRNOG00000002425","Pctp",-0.565959382749189,0.0332007851571996,NA,NA,-0.6933765,0.049114323
"27","ENSRNOG00000002468","Tnr",1.55103969677284,0.00335465834543943,1.0553339,0.02828495,NA,NA
"28","ENSRNOG00000002607","Sox9",2.22533549789005,5.37980162930773e-06,NA,NA,-1.1556599,0.038515166
"29","ENSRNOG00000002705","Vps4b",-1.53297552684667,2.90458785868716e-16,NA,NA,-0.7715573,0.021879724
"30","ENSRNOG00000002800","Gdpd2",2.64356734330446,7.03560073732061e-07,1.8732666,0.02145313,NA,NA
"31","ENSRNOG00000003028","Dnah17",2.58428132207564,1.37432325183274e-06,0.9143881,0.0251014,NA,NA
"32","ENSRNOG00000003049","Hsd17b10",-3.39815844193918,8.16141500717299e-27,NA,NA,-0.8206879,0.016410923
"33","ENSRNOG00000003104","Trpv2",3.00726568334707,1.60809207835167e-14,1.3529423,0.01869847,NA,NA
"34","ENSRNOG00000003338","Pmp22",1.22961241607524,9.68032722106097e-05,1.2933497,0.03359166,NA,NA
"35","ENSRNOG00000003468","Capn8",8.04543787625116,3.82294706617867e-13,1.2668055,0.03485117,NA,NA
"36","ENSRNOG00000003494","Ppfia4",1.4355158583998,0.0041270155222772,1.0618959,0.01980146,NA,NA
"37","ENSRNOG00000003537","Spta1",6.53496101139622,9.32861476999399e-35,1.5578844,0.00478627,NA,NA
"38","ENSRNOG00000003653","Fh",-1.87531078935082,3.30596165006875e-20,NA,NA,-0.5350949,0.049837056
"39","ENSRNOG00000003763","Prdx4",-2.88623445154971,1.2115441125786e-39,NA,NA,-0.8169477,0.023740733
"40","ENSRNOG00000003815","Slc25a11",-0.926026503243083,1.08288811245608e-07,NA,NA,-0.7038153,0.046379176
"41","ENSRNOG00000003873","Cpd",-2.06167500858134,1.52964327862302e-09,NA,NA,-0.6265154,0.032750231
"42","ENSRNOG00000004234","Mgat2",-1.69202207618133,4.99795077872712e-15,NA,NA,-0.5996389,0.032594662
"43","ENSRNOG00000004242","Pole2",6.29500518212775,1.29010470308962e-48,2.0260366,0.01632281,NA,NA
"44","ENSRNOG00000004284","Btg1",-1.02007455955629,2.18448085783622e-06,NA,NA,-0.6595972,0.025971586
"45","ENSRNOG00000004518","Cacnb1",1.47139673794667,0.0294713268776806,1.4838489,0.01824136,NA,NA
"46","ENSRNOG00000004560","Cacna1b",5.36940536999137,7.77974247405821e-10,1.6795635,0.0001169129,NA,NA
"47","ENSRNOG00000004749","Slc30a1",-1.43351175250766,5.06109880499522e-08,NA,NA,-0.6260833,0.049335601
"48","ENSRNOG00000005451","Dnah11",2.39845520638855,0.00079973835985022,0.7172959,0.03134554,NA,NA
"49","ENSRNOG00000005551","Derl1",-1.0601576142505,1.44524692800323e-09,NA,NA,-0.6294748,0.044896339
"50","ENSRNOG00000005697","Slc6a11",1.3212209612032,0.0271225264680976,1.1748786,0.02712397,NA,NA
"51","ENSRNOG00000005828","Skp1",-1.51820429877271,1.74377024540064e-14,NA,NA,-0.7398082,0.013491905
"52","ENSRNOG00000005960","RGD1311744",2.20213587552562,0.00123622042784458,1.5641001,0.04607877,NA,NA
"53","ENSRNOG00000006030","Ptprz1",1.30313338864447,5.37381214272854e-06,1.0722113,0.03709673,NA,NA
"54","ENSRNOG00000006122","Igf2bp1",4.45821310697796,1.40311418408501e-22,1.2501121,0.04148423,NA,NA
"55","ENSRNOG00000006280","Pcsk9",-2.57880948489794,3.26891221092679e-21,NA,NA,-0.6331291,0.03204264
"56","ENSRNOG00000006314","Zbp1",3.96090348624571,6.80720389406153e-10,1.5421884,0.02345399,NA,NA
"57","ENSRNOG00000006369","Alg2",-0.658552689370971,0.0276369910806046,NA,NA,-0.6522547,0.037348824
"58","ENSRNOG00000006509","Srgap3",3.22997671485103,2.44486108999544e-07,1.1595297,0.0162075,NA,NA
"59","ENSRNOG00000006523","Atl2",-2.31961642955312,1.20428719195431e-24,NA,NA,-0.6195655,0.028433911
"60","ENSRNOG00000006623","Cd302",-4.98264600943169,3.51626229807653e-36,NA,NA,-0.5819807,0.049301898
"61","ENSRNOG00000006784","Sema4f",2.39852285033981,0.00475962937890462,2.0936575,0.003837403,NA,NA
"62","ENSRNOG00000006824","Hdac11",-2.51336892281016,5.12356670017594e-15,NA,NA,-0.8183248,0.044256069
"63","ENSRNOG00000006860","Itk",5.58080916633624,2.6930030779442e-11,1.4218896,0.01513566,NA,NA
"64","ENSRNOG00000006911","Sptb",5.84065697767417,1.95827661352284e-28,0.913819,0.02521874,NA,NA
"65","ENSRNOG00000006956"," ",1.92701958033945,0.00456804096824194,1.0004473,0.03359166,NA,NA
"66","ENSRNOG00000007002","Lif",3.18485092967913,0.00179983523564927,1.7163595,0.02712397,NA,NA
"67","ENSRNOG00000007100","Ccdc136",6.28197062130719,4.79037253694202e-44,1.1906144,0.008804004,NA,NA
"68","ENSRNOG00000007114","Psma6",-0.553037514545522,0.00225469088318546,NA,NA,-0.8299131,0.037277493
"69","ENSRNOG00000007203","Psmc6",-0.793220805956976,1.4042507431506e-05,NA,NA,-0.7372148,0.019391688
"70","ENSRNOG00000007229","Nr0b2",-5.86959299393969,2.72562968007158e-29,NA,NA,-0.9951182,0.022358107
"71","ENSRNOG00000007281","Flnc",1.3565141440491,0.0146929920685735,1.3126675,0.01296085,NA,NA
"72","ENSRNOG00000007769","Marchf2",-0.500687337845784,0.0372204540222301,NA,NA,-0.6016371,0.049390557
"73","ENSRNOG00000007869","Wscd1",3.03954702834971,1.99228068694429e-15,1.2478207,0.00896302,NA,NA
"74","ENSRNOG00000007892","Tram1",-2.4221920174963,1.85080688693397e-25,NA,NA,-0.6026909,0.045139726
"75","ENSRNOG00000008103","Mdh1",-2.4147956724964,5.94071059054582e-19,NA,NA,-0.5840069,0.033764678
"76","ENSRNOG00000008219","Ccdc33",4.80782000997144,0.000947761617271796,1.3357945,0.02603852,NA,NA
"77","ENSRNOG00000008289","Slc25a3",-0.470377324527852,0.031602118364152,NA,NA,-0.6545907,0.034543176
"78","ENSRNOG00000008356","Myo5c",6.16931127402726,2.51027515309255e-33,0.9095075,0.04939056,NA,NA
"79","ENSRNOG00000008569","Ndufa6",-1.71598382210009,2.28886122979835e-15,NA,NA,-0.612259,0.049012641
"80","ENSRNOG00000008600","Sytl1",6.2561208476102,1.02073305630229e-26,2.2654622,0.0162075,NA,NA
"81","ENSRNOG00000008638","Angptl3",-5.57709158660669,1.65096246052139e-90,NA,NA,-0.7353939,0.04131546
"82","ENSRNOG00000008728","Unc79",2.49685864934197,3.81411422834711e-05,1.2047797,0.007551574,NA,NA
"83","ENSRNOG00000008761","Ncs1",3.46928030457383,4.77755395242829e-08,1.5401208,0.03359166,NA,NA
"84","ENSRNOG00000008855","Gjb2",-5.04188497032075,1.21670315764022e-70,NA,NA,-0.6504841,0.028674775
"85","ENSRNOG00000008919","Arpp21",2.64648138673698,4.33796503362763e-08,1.2885591,0.03359166,NA,NA
"86","ENSRNOG00000008937","Csrp1",-1.20278250564076,5.23694949542233e-05,NA,NA,-0.6258943,0.037771289
"87","ENSRNOG00000009043","Piwil4",4.61690284402868,6.09187240250325e-10,1.6101695,0.0289537,NA,NA
"88","ENSRNOG00000009198","Rab6b",1.79158239705692,0.00108285158628017,1.6779609,0.04637918,NA,NA
"89","ENSRNOG00000009339","Cenpe",4.22338927902961,1.00361179553119e-24,1.3197964,0.001788029,NA,NA
"90","ENSRNOG00000009438","Serpina6",-4.65216768499569,1.12629887067725e-14,NA,NA,-0.6821376,0.033764678
"91","ENSRNOG00000009572","Hgfac",-3.8853617629123,4.91193287258179e-45,NA,NA,-0.7279466,0.028036258
