"","ENSEMBL","SYMBOL","LAP-Adult_logFC","LAP-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"1","ENSRNOG00000000239","Ccl7",4.59727563430219,1.36328079365803e-05,2.3402092,0.0440924,NA,NA
"2","ENSRNOG00000000277","Tet1",3.26133405401913,0.00150138791480188,1.2209543,0.009102492,NA,NA
"3","ENSRNOG00000000456","Psmb8",-5.0266773278682,9.32839038495222e-51,NA,NA,-0.7251868,0.027791901
"4","ENSRNOG00000000457","Tap1",-2.19655425841241,1.56069245578889e-26,NA,NA,-0.6036197,0.022358107
"5","ENSRNOG00000000522","Cpne5",2.47200056905587,0.001423206446779,1.4485882,0.01947826,NA,NA
"6","ENSRNOG00000000571","Psap",-0.81038800785276,0.0021825549646538,NA,NA,-0.6499477,0.034842153
"7","ENSRNOG00000000938","Ran",1.41840564895417,1.66110268312581e-09,NA,NA,-0.668415,0.046034301
"8","ENSRNOG00000000969","Cyp3a18",-7.75356889420802,4.09855514826791e-29,NA,NA,-0.7611331,0.02345399
"9","ENSRNOG00000001103","Sdk1",2.11625753800014,0.0011075990539535,1.4137038,0.008369724,NA,NA
"10","ENSRNOG00000001113","Mmd2",-2.62920039748415,4.39977757340685e-06,2.1406744,0.01513566,NA,NA
"11","ENSRNOG00000001143","Cit",3.09255782695007,4.02757421635525e-20,0.6693178,0.03888929,NA,NA
"12","ENSRNOG00000001156","Msi1",4.08535769407303,3.80799524667599e-11,1.4825816,0.04054588,NA,NA
"13","ENSRNOG00000001261","Ftcd",-1.15992018564991,0.00492902462545503,NA,NA,-0.5935765,0.032346576
"14","ENSRNOG00000001385","Plbd2",-1.58386186338294,1.82864017474613e-12,NA,NA,-0.6695139,0.026546328
"15","ENSRNOG00000001396","Mospd3",-1.34160005563805,1.39209010636942e-13,NA,NA,-0.7606259,0.035879126
"16","ENSRNOG00000001592","Cct8",0.605559718408051,0.00567285590859175,NA,NA,-0.6088164,0.047453826
"17","ENSRNOG00000001692","Chaf1b",2.69909284184124,5.87480728321743e-14,1.2995233,0.02187972,NA,NA
"18","ENSRNOG00000001865","Serpind1",-0.810268739880043,0.00874061225474699,NA,NA,-0.6802151,0.035560691
"19","ENSRNOG00000001869","Rab44",5.78894320307305,3.20614164206425e-16,2.6425771,0.007551574,NA,NA
"20","ENSRNOG00000001943","Retnlg",2.74560682307654,0.00097265874100166,2.339047,0.03777129,NA,NA
"21","ENSRNOG00000001973","Ugt2a1",-8.23031375222064,1.48584840726723e-114,NA,NA,-0.7272869,0.02732166
"22","ENSRNOG00000001980","Ugt2b35",-1.70287945281266,3.0516090897845e-12,NA,NA,-0.6862121,0.04545837
"23","ENSRNOG00000002342","Aldh3a2",-2.41825775143447,6.21374093702584e-17,NA,NA,-0.7030729,0.014887631
"24","ENSRNOG00000002607","Sox9",1.66516637312486,0.000531707410603423,NA,NA,-1.1556599,0.038515166
"25","ENSRNOG00000002705","Vps4b",-1.02634781306811,1.14441332376409e-08,NA,NA,-0.7715573,0.021879724
