"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"1","-6.65556493321092","5.27762668531856","599.086624549649","2.64524383323258e-132","3.65519792876078e-128","313373","Cyp2j10","ENSRNOG00000042224"
"2","-7.30934535374165","6.09506314993618","596.948861886183","7.71700261862721e-132","5.33167710920954e-128","64305","Sult1b1","ENSRNOG00000001967"
"3","-7.41307062508134","6.0291613282262","594.281212671996","2.93555782406364e-131","1.35211793376371e-127","362861","Slc41a2","ENSRNOG00000008713"
"4","-6.62163432030393","5.61006245793854","583.410020583853","6.79728629453423e-129","2.34812255044685e-125","301264","Cyp39a1","ENSRNOG00000010519"
"5","-5.51858224458081","5.96000058149326","560.9224466045","5.29609972201641e-124","1.46363011917645e-120","64076","Slc26a1","ENSRNOG00000000041"
"6","-5.79914305821785","6.00967862327859","541.961108947816","7.05990429022848e-120","1.21942196852971e-116","58952","Cpq","ENSRNOG00000005931"
"7","-6.79868698296131","7.28587573169663","516.494883436867","2.44980393464243e-114","3.38513907688891e-111","289178","Dpt","ENSRNOG00000002947"
"8","-5.26199553994946","5.51188493969678","514.786903747638","5.76409206335238e-114","7.24074764830938e-111","25216","Sdc1","ENSRNOG00000059947"
"9","-6.58423225307566","6.73017092010803","514.412961044468","6.95166317416238e-114","8.00484014504798e-111","361228","Adtrp","ENSRNOG00000014481"
"10","-6.21660214517108","7.6612608380646","507.312132346286","2.43792704684573e-112","2.59132891794726e-109","192262","C1s","ENSRNOG00000011971"
"11","-7.39825792190541","7.38160883860342","505.70041527604","5.46624241668086e-112","5.39518126526401e-109","297073","Rarres2","ENSRNOG00000024705"
"12","-7.85916045481804","4.75599290857374","502.894549496152","2.22935046175115e-111","2.05367764536516e-108","316153","Sult1c2a","ENSRNOG00000042111"
"13","-8.16844651306355","5.88148636341723","495.678981975785","8.28218048742533e-110","7.1526981234527e-107","408236","Mug2","ENSRNOG00000033245"
"14","-7.01293088753407","6.01468035204306","488.687071117216","2.75100423914473e-108","2.1118542542501e-105","501162","Mreg","ENSRNOG00000015774"
"15","-5.5668458040205","5.18405529750709","487.370201419224","5.32144334493125e-108","3.87008969159263e-105","295971","Depdc7","ENSRNOG00000012262"
"16","-7.42180269874186","5.34094040198459","481.237142133516","1.14959540932883e-106","7.56433779338373e-104","308129","Iyd","ENSRNOG00000016286"
"17","-4.78861563452267","6.40727100112689","471.858560456665","1.262798492178e-104","7.93152252950708e-102","116479","F11r","ENSRNOG00000004414"
"18","-6.50252879468722","7.41242685771193","464.767888423889","4.4088760657398e-103","2.53841039484969e-100","83569","Abcb11","ENSRNOG00000050860"
"19","-7.44863292428837","5.5679781327385","464.216821734992","5.81094847615819e-103","3.21182744174216e-100","300920","Cldn2","ENSRNOG00000054495"
"20","-5.29127664410848","5.32134921367379","461.902488621412","1.85301409655401e-102","9.84805722545511e-100","298077","RGD1305807","ENSRNOG00000010497"
"21","-5.04160585948789","6.3573237090106","460.90776243267","3.05033053957155e-102","1.54603815809023e-99","361730","Tkfc","ENSRNOG00000020704"
"22","-7.3091601706372","4.96767257785351","453.923820814181","1.00969856516661e-100","4.81103957705936e-98","25107","Avpr1a","ENSRNOG00000004400"
"23","-5.45741497733038","5.26481429875774","451.028229995546","4.30868599509573e-100","1.98458076934109e-97","64023","Masp1","ENSRNOG00000001827"
"24","-7.55901882210393","6.58230537484476","447.298414401","2.79292486691396e-99","1.20601986909428e-96","366792","Mettl7b","ENSRNOG00000007927"
"25","-7.07380337215214","5.74583112774572","442.978941905074","2.43286809706296e-98","9.88746216624e-96","89776","Slc22a7","ENSRNOG00000018420"
"26","-7.41770969318109","7.92996489431903","440.908825847025","6.86516763777694e-98","2.71036818339434e-95","24862","Ugt2b","ENSRNOG00000046540"
"27","-6.22797379913344","5.57051843908393","439.313058789794","1.52739499072019e-97","5.86265110604766e-95","303861","Cpn2","ENSRNOG00000024384"
"28","-6.08340721311689","4.9668972087608","439.071688293079","1.72378501627023e-97","6.43763820400594e-95","362648","Arhgef19","ENSRNOG00000047967"
"29","-7.008706327542","7.25212879025044","438.785245491303","1.98986877133239e-97","7.23579123217656e-95","24422","Gsta2","ENSRNOG00000000201"
"30","-5.9942014281211","4.56575215674046","438.215879307897","2.64692364208327e-97","9.37825407341194e-95","291760","Dsc2","ENSRNOG00000039969"
"31","-5.47770158188431","5.24874420946722","437.235568309988","4.32610800672319e-97","1.49445401092253e-94","81530","Pdk2","ENSRNOG00000004172"
"32","-6.10464643936957","4.67856552585982","436.496710400722","6.26475233068998e-97","2.11137433427986e-94","300051","Slc39a4","ENSRNOG00000014314"
"33","-5.40051232278201","6.3689759092927","435.884050261607","8.51618292100683e-97","2.80182418101125e-94","309131","Slc22a18","ENSRNOG00000020562"
"34","-4.60163545041041","5.59864630191086","435.694648794825","9.36411922978734e-97","3.00914882598143e-94","289175","Slc19a2","ENSRNOG00000002839"
"35","-5.07037626527861","6.69877815166747","434.19966155366","1.98080748710159e-96","6.2206358765386e-94","192268","Gls2","ENSRNOG00000031612"
"36","-6.2680664918304","5.16235333667627","432.411794784883","4.85248823182875e-96","1.49003738638688e-93","303639","Abca6","ENSRNOG00000046890"
"37","-4.96170101087924","5.18297137583016","431.675561953422","7.01784480223953e-96","2.10809955385534e-93","290648","Pgpep1","ENSRNOG00000019639"
"38","-6.44516174597983","6.72513385295623","426.809471227899","8.04104149922222e-95","2.26757370278066e-92","286963","Cyp2d5","ENSRNOG00000029128"
"39","-6.27540965895017","6.79862828849809","422.633397300637","6.52019244838782e-94","1.76658861278084e-91","296545","C8g","ENSRNOG00000028701"
"40","-5.63048603090133","7.30260313856234","421.134121641457","1.38226739060191e-93","3.67310976987253e-91","24546","Slco2a1","ENSRNOG00000009005"
"41","-7.47041179676615","5.76446647508706","420.107626221972","2.31217208260084e-93","6.02822525233554e-91","291283","Akr1c2","ENSRNOG00000029844"
"42","-5.36390298027379","5.81851848932178","419.959786539234","2.48999916950616e-93","6.37163120819186e-91","81805","Suox","ENSRNOG00000005987"
"43","-5.34622346022753","6.59106323298126","419.215099047388","3.61650954700583e-93","9.08598707645938e-91","79223","Gk","ENSRNOG00000034116"
"44","-5.57709158660669","7.752342928004","417.965028434905","6.7668168774883e-93","1.65096246052139e-90","502970","Angptl3","ENSRNOG00000008638"
"45","-4.68012187010821","5.28750970506523","417.952245256562","6.81030975898965e-93","1.65096246052139e-90","289392","Plxna2","ENSRNOG00000007324"
"46","-4.82799565488457","4.61583340175228","413.862685261516","5.28845221492128e-92","1.25992815009969e-89","304023","St3gal6","ENSRNOG00000001653"
"47","-6.64569265683639","5.42538669280185","413.760664946283","5.56589864915278e-92","1.30355233108463e-89","83711","Inhbe","ENSRNOG00000007601"
"48","-5.79246299008418","6.10149126134796","413.513771103983","6.2990724461559e-92","1.4506763843497e-89","288985","Insig2","ENSRNOG00000002478"
"49","-7.79235267493533","4.6869164187545","409.537357299008","4.62202234801951e-91","1.04700171811367e-88","286964","Hsd17b6","ENSRNOG00000002597"
"50","-6.50199132170474","4.08935820508644","409.064641972588","5.85774483462066e-91","1.30552126007723e-88","307092","Akr1c1","ENSRNOG00000038331"
"51","-4.90783056620888","6.37938848122714","405.683507379467","3.18953998643109e-90","6.99572437023885e-88","314800","Acss3","ENSRNOG00000004448"
"52","-4.96807628360717","4.33767229436867","405.384995548808","3.70431690762287e-90","7.9978517233645e-88","85496","Enpp1","ENSRNOG00000013994"
"53","-6.95639748289667","6.38370959959128","400.781978968983","3.72141473077847e-89","7.56213363969072e-87","690745","Mtarc1","ENSRNOG00000004101"
"54","-5.17367251442018","6.1708029615093","398.958393742453","9.28282087198598e-89","1.85898577984206e-86","171436","Mk1","ENSRNOG00000019657"
"55","-7.66752735402802","8.16844551380409","396.669494971361","2.92382396120549e-88","5.77162849941965e-86","140638","Apoa5","ENSRNOG00000018436"
"56","-7.20997670009714","8.52422225540048","396.489868031801","3.19929715707492e-88","6.22646311499455e-86","24346","Ces1c","ENSRNOG00000015438"
