"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"1","-7.01530367684221","6.0291613282262","662.195262709905","4.97644691011504e-146","3.43822717019848e-142","362861","Slc41a2","ENSRNOG00000008713"
"2","-7.21057256622523","4.75599290857374","621.040971291828","4.43966287638266e-137","2.04490872086185e-133","316153","Sult1c2a","ENSRNOG00000042111"
"3","-6.06884791043158","6.09506314993618","561.237977084006","4.52186817087603e-124","1.2496634877033e-120","64305","Sult1b1","ENSRNOG00000001967"
"4","-7.03260152503164","4.96767257785351","550.65844598979","9.05214542749462e-122","2.08470909195201e-118","25107","Avpr1a","ENSRNOG00000004400"
"5","-6.18962239391206","4.9668972087608","543.031367519517","4.13017340131083e-120","8.15296229418758e-117","362648","Arhgef19","ENSRNOG00000047967"
"6","-6.34234674827043","4.08935820508644","540.697638754202","1.32942196323052e-119","2.29624408598992e-116","307092","Akr1c1","ENSRNOG00000038331"
"7","-7.02066956483694","4.6869164187545","480.201271725727","1.93173439093999e-106","2.66927058140088e-103","286964","Hsd17b6","ENSRNOG00000002597"
"8","-6.1400357629381","6.01468035204306","475.995518084055","1.5889766803125e-105","1.99604361532347e-102","501162","Mreg","ENSRNOG00000015774"
"9","-6.67601498711169","5.88148636341723","473.264352050019","6.24348419886219e-105","6.63634343537521e-102","408236","Mug2","ENSRNOG00000033245"
"10","-6.74873006143494","4.03894778918815","467.605796367587","1.06357405915669e-103","1.04974759638765e-100","498940","Ces2h","ENSRNOG00000039079"
"11","-7.16665724912165","6.58230537484476","464.085720359418","6.20549456122619e-103","5.71650158980157e-100","366792","Mettl7b","ENSRNOG00000007927"
"12","-6.96123717173853","5.76446647508706","449.569631483839","8.94902614438962e-100","7.27397901548093e-97","291283","Akr1c2","ENSRNOG00000029844"
"13","-6.79505643972409","5.06021304122757","439.750630845076","1.22664414739256e-97","9.41653823815025e-95","63867","Ugt2a1","ENSRNOG00000001973"
"14","-6.0754614667272","5.5679781327385","434.847225267229","1.43186955981432e-96","1.04134597776391e-93","300920","Cldn2","ENSRNOG00000054495"
"15","-6.45479507390464","6.38370959959128","402.654031716164","1.45609605959139e-89","9.14560697792449e-87","690745","Mtarc1","ENSRNOG00000004101"
"16","-6.72758976349053","5.3744169520349","397.456251037643","1.97097532805635e-88","1.0893974833233e-85","246266","Aspg","ENSRNOG00000012843"
"17","-6.70337612637883","4.55165411932208","392.141516110897","2.82924034606778e-87","1.34808424489533e-84","303743","Notum","ENSRNOG00000036680"
"18","-6.44486400844906","5.21746785034635","385.764291727026","6.9184506044727e-86","3.18663834842012e-83","293779","Glyat","ENSRNOG00000012142"
"19","-3.96655839747191","5.27762668531856","383.431140272653","2.22821351647506e-85","9.74513990125029e-83","313373","Cyp2j10","ENSRNOG00000042224"
