"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"1","1.4152589"," 6.968567535","36.950846","1.211451e-09","2.266504e-05","ENSRNOG00000054834"
"2","1.4429276"," 4.377469889","32.607896","1.127557e-08","8.652008e-05","ENSRNOG00000039601"
"3","4.9526317"," 0.886798790","32.204969","1.387355e-08","8.652008e-05","ENSRNOG00000055225"
"4","1.6795635"," 3.625191344","31.061656","2.499607e-08","1.169129e-04","ENSRNOG00000004560"
"5","3.6537832"," 3.941368436","29.745299","4.926995e-08","1.843583e-04","ENSRNOG00000051257"
"6","1.3244481"," 3.651388953","28.166370","1.113221e-07","3.471209e-04","ENSRNOG00000061154"
"7","1.7762118"," 2.762272676","26.018600","3.381439e-07","9.037619e-04","ENSRNOG00000059551"
"8","2.3382954"," 1.635697677","25.237158","5.069599e-07","1.185589e-03","ENSRNOG00000016429"
"9","1.3102272"," 3.530558727","24.767216","6.468840e-07","1.251041e-03","ENSRNOG00000048230"
"10","1.4629497"," 3.262798933","24.485472","7.487225e-07","1.251041e-03","ENSRNOG00000046231"
"11","1.3060385"," 4.098090877","24.365890","7.966688e-07","1.251041e-03","ENSRNOG00000002863"
"12","1.2768410"," 3.681272714","24.218516","8.600150e-07","1.251041e-03","ENSRNOG00000001777"
"13","1.7224913"," 2.284898206","24.197858","8.692892e-07","1.251041e-03","ENSRNOG00000027505"
"14","1.3197964"," 3.309815231","23.279472","1.400872e-06","1.788029e-03","ENSRNOG00000009339"
"15","3.8592160"," 0.385392902","23.149878","1.498527e-06","1.788029e-03","ENSRNOG00000006476"
"16","3.6441523"," 0.182388704","23.111007","1.529128e-06","1.788029e-03","ENSRNOG00000002303"
"17","1.7383036"," 2.417836247","22.848182","1.753151e-06","1.888686e-03","ENSRNOG00000059734"
"18","1.7121335"," 2.255816079","22.698040","1.895612e-06","1.888686e-03","ENSRNOG00000014370"
"19","2.6976741"," 1.550724014","22.675415","1.918063e-06","1.888686e-03","ENSRNOG00000014302"
"20","1.1686873"," 3.834141036","22.407333","2.205304e-06","2.062951e-03","ENSRNOG00000012892"
"21","2.8078292"," 1.613518216","22.199565","2.457295e-06","2.088466e-03","ENSRNOG00000012591"
"22","1.5682924"," 2.942689125","22.179412","2.483224e-06","2.088466e-03","ENSRNOG00000010326"
"23","2.3447990"," 1.263822792","22.115364","2.567466e-06","2.088466e-03","ENSRNOG00000027920"
"24","1.4543900"," 3.276839015","21.998510","2.728622e-06","2.127074e-03","ENSRNOG00000017410"
"25","1.9419456"," 1.655279701","21.879751","2.902809e-06","2.172346e-03","ENSRNOG00000007061"
"26","1.3009038"," 4.331116723","21.690471","3.203787e-06","2.305371e-03","ENSRNOG00000052688"
"27","1.7872566"," 2.186137227","21.217533","4.099967e-06","2.685940e-03","ENSRNOG00000012759"
"28","1.4129352"," 3.274759378","21.134496","4.281510e-06","2.685940e-03","ENSRNOG00000032884"
"29","1.3317418"," 3.044852406","21.107477","4.342304e-06","2.685940e-03","ENSRNOG00000057141"
"30","1.3409227"," 3.145347257","21.093060","4.375098e-06","2.685940e-03","ENSRNOG00000049843"
"31","1.5743326"," 2.381718238","20.873896","4.905341e-06","2.685940e-03","ENSRNOG00000018790"
"32","1.3127017"," 4.001427198","20.865705","4.926363e-06","2.685940e-03","ENSRNOG00000042971"
"33","1.1291499"," 4.061703229","20.857974","4.946288e-06","2.685940e-03","ENSRNOG00000007057"
"34","1.6792691"," 2.937321924","20.846249","4.976659e-06","2.685940e-03","ENSRNOG00000030016"
"35","1.1243999"," 4.360200021","20.825090","5.031943e-06","2.685940e-03","ENSRNOG00000055570"
"36","1.8385413"," 2.209933025","20.740481","5.259237e-06","2.685940e-03","ENSRNOG00000050134"
"37","1.2576100"," 3.483072109","20.663458","5.475099e-06","2.685940e-03","ENSRNOG00000012110"
"38","1.5073221"," 2.975571396","20.635053","5.556932e-06","2.685940e-03","ENSRNOG00000058870"
"39","1.4268923"," 2.741761441","20.620615","5.598998e-06","2.685940e-03","ENSRNOG00000019057"
"40","1.8167156"," 2.185655029","20.514699","5.917508e-06","2.749328e-03","ENSRNOG00000050831"
"41","2.1933425"," 2.282134469","20.456533","6.100096e-06","2.749328e-03","ENSRNOG00000049955"
"42","2.9951122"," 0.764220338","20.434109","6.171990e-06","2.749328e-03","ENSRNOG00000031246"
"43","1.6961236"," 2.352821608","20.379243","6.351499e-06","2.763493e-03","ENSRNOG00000049942"
"44","1.5057159"," 2.835234514","20.295738","6.634821e-06","2.821156e-03","ENSRNOG00000011028"
"45","1.8624601"," 2.401796644","20.188841","7.016102e-06","2.916984e-03","ENSRNOG00000020685"
"46","1.4806232"," 2.566300104","20.135633","7.214010e-06","2.934063e-03","ENSRNOG00000055790"
"47","1.5672467"," 3.039804150","20.055272","7.523586e-06","2.945826e-03","ENSRNOG00000059013"
"48","1.3708447"," 3.439302739","20.046584","7.557840e-06","2.945826e-03","ENSRNOG00000046276"
"49","2.3358606"," 1.446820245","19.951452","7.943359e-06","3.032904e-03","ENSRNOG00000003183"
"50","1.8508357"," 1.770039966","19.870796","8.285646e-06","3.100323e-03","ENSRNOG00000005206"
"51","2.0360844"," 1.765495605","19.757765","8.790382e-06","3.174153e-03","ENSRNOG00000014253"
"52","1.0532742"," 4.059104779","19.750843","8.822276e-06","3.174153e-03","ENSRNOG00000029659"
"53","2.2124619"," 1.194100753","19.540820","9.847280e-06","3.424369e-03","ENSRNOG00000048975"
"54","1.5146378"," 2.370794693","19.515810","9.977052e-06","3.424369e-03","ENSRNOG00000032375"
"55","1.3091951"," 2.863209495","19.498698","1.006683e-05","3.424369e-03","ENSRNOG00000008169"
"56","1.5081786"," 2.825399779","19.246872","1.148584e-05","3.837296e-03","ENSRNOG00000031782"
"57","2.0936575"," 2.368529818","19.213029","1.169127e-05","3.837403e-03","ENSRNOG00000006784"
"58","1.4510019"," 2.798144573","19.084546","1.250534e-05","3.902677e-03","ENSRNOG00000026065"
"59","1.5808142"," 2.323389312","19.064855","1.263504e-05","3.902677e-03","ENSRNOG00000033942"
"60","3.6695441","-0.222097609","19.021308","1.292669e-05","3.902677e-03","ENSRNOG00000033022"
"61","1.6484144"," 2.098194614","19.016045","1.296239e-05","3.902677e-03","ENSRNOG00000048818"
"62","1.4908016"," 3.320558737","18.998538","1.308187e-05","3.902677e-03","ENSRNOG00000018241"
"63","1.9931608"," 1.593604372","18.989826","1.314173e-05","3.902677e-03","ENSRNOG00000017424"
"64","1.9237337"," 1.499858831","18.904635","1.374184e-05","4.017126e-03","ENSRNOG00000026176"
"65","1.1097795"," 3.942269902","18.815429","1.439975e-05","4.124342e-03","ENSRNOG00000019846"
"66","1.6845341"," 2.366988174","18.795697","1.454950e-05","4.124342e-03","ENSRNOG00000032828"
"67","0.9697333"," 4.504056588","18.732728","1.503792e-05","4.199171e-03","ENSRNOG00000026914"
"68","1.2421784"," 3.445025018","18.582240","1.627296e-05","4.477217e-03","ENSRNOG00000051598"
"69","1.5679136"," 2.345351148","18.493531","1.704820e-05","4.622532e-03","ENSRNOG00000058420"
"70","1.8122520"," 2.235733732","18.424813","1.767415e-05","4.650212e-03","ENSRNOG00000006174"
"71","1.6849194"," 2.206389697","18.413255","1.778167e-05","4.650212e-03","ENSRNOG00000020625"
"72","1.7036030"," 2.042571786","18.401049","1.789595e-05","4.650212e-03","ENSRNOG00000019100"
"73","1.7344336"," 2.510298350","18.351909","1.836349e-05","4.689155e-03","ENSRNOG00000028225"
"74","2.1267314"," 1.506752804","18.314272","1.872987e-05","4.689155e-03","ENSRNOG00000005104"
"75","2.0801774"," 1.460758443","18.300114","1.886959e-05","4.689155e-03","ENSRNOG00000018694"
"76","1.3659513"," 2.961667857","18.277236","1.909758e-05","4.689155e-03","ENSRNOG00000003781"
"77","1.3014291"," 4.070518414","18.257250","1.929900e-05","4.689155e-03","ENSRNOG00000053751"
"78","1.5578844"," 3.177820198","18.193630","1.995452e-05","4.786270e-03","ENSRNOG00000003537"
"79","2.9010921"," 1.111016639","18.098718","2.097426e-05","4.923233e-03","ENSRNOG00000046377"
"80","1.5828243"," 3.121242990","18.091689","2.105183e-05","4.923233e-03","ENSRNOG00000058560"
"81","3.5535203","-0.066890841","18.028537","2.176182e-05","5.026443e-03","ENSRNOG00000025957"
"82","1.7156627"," 1.901058826","17.974711","2.238592e-05","5.107539e-03","ENSRNOG00000054643"
"83","1.5105362"," 3.170379993","17.951501","2.266056e-05","5.107909e-03","ENSRNOG00000048430"
"84","2.4199709"," 1.597274918","17.901228","2.326710e-05","5.177482e-03","ENSRNOG00000052188"
"85","1.6475492"," 2.765820056","17.880436","2.352269e-05","5.177482e-03","ENSRNOG00000013428"
"86","2.1634417"," 1.116330643","17.840659","2.401954e-05","5.206322e-03","ENSRNOG00000015418"
"87","3.0190319"," 0.754598764","17.825609","2.421028e-05","5.206322e-03","ENSRNOG00000017890"
"88","1.5314622"," 2.464952181","17.762082","2.503227e-05","5.237392e-03","ENSRNOG00000046212"
"89","1.1441361"," 3.852379202","17.749787","2.519457e-05","5.237392e-03","ENSRNOG00000059091"
"90","1.4222912"," 2.928092815","17.689165","2.601040e-05","5.327057e-03","ENSRNOG00000058645"
"91","2.8827723"," 0.702098889","17.675686","2.619538e-05","5.327057e-03","ENSRNOG00000055204"
"92","1.5539985"," 2.488556334","17.617026","2.701588e-05","5.406578e-03","ENSRNOG00000022007"
"93","4.0715144","-0.581098720","17.606601","2.716438e-05","5.406578e-03","ENSRNOG00000060178"
"94","3.4609421"," 0.012314020","17.468322","2.921351e-05","5.753216e-03","ENSRNOG00000062237"
"95","1.7078092"," 2.188594364","17.448414","2.952105e-05","5.753221e-03","ENSRNOG00000011092"
