"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"1","5.51248820486122","6.25490802892166","549.251939158643","1.83115012821251e-121","4.21713874527342e-118","363017","Taf1d","ENSRNOG00000010921"
"2","5.84849815019546","6.72497860970632","545.786327554563","1.03906196493232e-120","2.0511083187764e-117","83508","Timeless","ENSRNOG00000031916"
"3","4.95514571588124","4.97273904701316","526.224908280892","1.87174202027101e-116","2.87374791512276e-113","308568","Fv1","ENSRNOG00000019132"
"4","4.7894735247336","5.10361400353027","494.515813061074","1.48330933899439e-109","1.20566873213085e-106","690422","Tedc1","ENSRNOG00000005153"
"5","4.52389746551936","5.02345935045313","483.574554269619","3.56397452892544e-107","2.46235000203459e-104","171439","Bzw2","ENSRNOG00000005096"
"6","7.4004327561729","5.1963377816022","465.524604060668","3.01757045220688e-103","1.81290384819977e-100","690288","Dnah14","ENSRNOG00000051880"
"7","8.50443626145178","4.64739222063956","460.854521270276","3.13280275195589e-102","1.54603815809023e-99","NULL"," ","ENSRNOG00000056213"
"8","3.96399643992433","5.54665880955586","450.694475203725","5.09306029307161e-100","2.27019055256979e-97","297998","Nudt2","ENSRNOG00000013110"
"9","4.54291739743219","5.88887431166609","445.809666313529","5.88921656170517e-99","2.46597558938309e-96","171102","Cdc25a","ENSRNOG00000020737"
"10","4.53000031963133","6.14640536691959","431.517870798509","7.59495025770021e-96","2.23291537576386e-93","NULL"," ","ENSRNOG00000002874"
"11","8.51617560871458","5.20382559134824","427.463509282091","5.79373709571404e-95","1.66787206642868e-92","289747","Osm","ENSRNOG00000024390"
"12","4.93921908137558","5.68474301959876","425.339056733152","1.68017558377201e-94","4.64333324331232e-92","406196","Cchcr1","ENSRNOG00000050233"
"13","4.16644909229221","5.73546654211884","404.795715064098","4.97717723886822e-90","1.05807130902586e-87","689581","Eif5b-ps1","ENSRNOG00000046621"
"14","5.06207954535665","5.72716308898443","403.464314620474","9.70074148007752e-90","2.03098251169259e-87","310749","Rsbn1","ENSRNOG00000019671"
"15","4.08583905800362","4.38898916263134","401.041547180771","3.26741014604071e-89","6.73866767134187e-87","315746","Cln6","ENSRNOG00000007164"
"16","7.3260940794273","4.69547562329866","395.350731967744","5.66286866978961e-88","1.05742593620477e-85","362770","Ccdc88c","ENSRNOG00000004482"
"17","5.39676588561789","4.55515050802633","395.322503191519","5.74356735600106e-88","1.05819484966963e-85","NULL"," ","ENSRNOG00000053469"
"18","6.44443673090047","4.95594943649154","393.445410999811","1.47168701880782e-87","2.67575937182716e-85","287961","Cdc45","ENSRNOG00000050071"
"19","5.7990875935027","5.80158882679982","387.268452363089","3.25494595534998e-86","5.48498087939341e-84","315843","Phip","ENSRNOG00000008652"
"20","4.17473219617496","5.19825298445957","378.50068754706","2.63868045541889e-84","4.23968448057886e-82","362320","Fam133b","ENSRNOG00000009163"
"21","4.63636709804594","5.47333531496864","376.875595375876","5.9593724204604e-84","9.46512736849676e-82","NULL"," ","ENSRNOG00000055096"
"22","4.41429150700401","6.65083329997336","369.886689343417","1.98091279735291e-82","2.9752448949807e-80","313308","Thoc2","ENSRNOG00000007315"
"23","4.96143145090033","4.19442998868619","369.517548806215","2.38363013253144e-82","3.54161302917413e-80","307511","Cdc25c","ENSRNOG00000024008"
"24","10.2211370405925","6.92645168844752","367.65165515401","6.07443530883036e-82","8.7433903226477e-80","303414","Epx","ENSRNOG00000008707"
"25","4.468209136309","7.49166553201104","366.48483308215","1.09034680129131e-81","1.55323836084983e-79","60373","Nop58","ENSRNOG00000016486"
"26","7.29136123630526","5.70772842449422","364.775617592291","2.56877287007981e-81","3.58538419381443e-79","246781","Ptpn7","ENSRNOG00000005807"
"27","4.98550104566881","6.98495809083301","364.196179631548","3.43472838651374e-81","4.74610768448469e-79","313449","Upf3b","ENSRNOG00000039994"
"28","5.93119241560007","6.02806220432128","363.473092744937","4.93557710696058e-81","6.7524558875229e-79","362187","Ccdc34","ENSRNOG00000005902"
"29","3.79747018058614","6.04952110062155","360.403932168398","2.29947677654869e-80","3.08487088333494e-78","310612","Ilf2","ENSRNOG00000014154"
"30","7.68892845259083","5.64723468166713","359.837311290264","3.05498428313381e-80","4.02035931660409e-78","288272","Mis18a","ENSRNOG00000021555"
"31","5.11857964810689","7.57685431812197","358.286690736605","6.64744207771404e-80","8.39291839583265e-78","497865","Rbm25l1","ENSRNOG00000002871"
"32","6.37800481694557","4.98346254277207","358.087805709067","7.34449272078966e-80","9.1429009383668e-78","NULL"," ","ENSRNOG00000007219"
"33","7.12560017205977","3.02198170816285","357.947655346907","7.87915430448239e-80","9.72090662315514e-78","359959","Rhebl1","ENSRNOG00000054385"
"34","3.80148816611953","7.03292642737664","355.887612732728","2.2133932134564e-79","2.68286556346846e-77","315792","Sltm","ENSRNOG00000054446"
"35","7.61739504784734","6.69658430081918","354.813914216896","3.79194227247491e-79","4.51698778629813e-77","65196","B4galt6","ENSRNOG00000015895"
"36","4.00894790825939","6.44469368889958","346.745830190564","2.16665876666573e-77","2.30299160290669e-75","266688","Rab8b","ENSRNOG00000018009"
"37","7.48485871916672","4.30675262453474","345.814554150036","3.45617087312728e-77","3.64560069655518e-75","50662","Runx1","ENSRNOG00000001704"
"38","6.59306731992693","6.01379911831105","344.141778576054","7.99614614231827e-77","8.30757499207172e-75","299609","Abca7","ENSRNOG00000012939"
"39","3.2253394122698","5.30600659206175","340.345774370736","5.3649688770581e-76","5.4509661722933e-74","298508","Ppie","ENSRNOG00000014762"
"40","4.08215371412531","5.36997374532368","337.864073380345","1.86226579660281e-75","1.85127976816242e-73","362990","Zcrb1","ENSRNOG00000004996"
"41","6.72204727952995","5.51074351297347","336.414380970263","3.85271288795134e-75","3.74906948490926e-73","83620","Cit","ENSRNOG00000001143"
"42","4.14688904618838","6.50186492332413","335.381205582309","6.46817597902342e-75","6.20675386653789e-73","56763","Srek1","ENSRNOG00000032735"
"43","4.24412124865748","4.68583944568892","334.671532223004","9.2329972901391e-75","8.79872803828566e-73","295228","Gpatch4","ENSRNOG00000018969"
"44","4.13941237526118","4.35625096448041","330.88760754678","6.1583734978625e-74","5.67309366623094e-72","171460","Hspbap1","ENSRNOG00000002241"
"45","3.55545912397599","5.92585563483706","330.426946471977","7.75886197348587e-74","7.10012945361773e-72","360503","Luc7l","ENSRNOG00000020488"
