"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"1","6.89750749654597","5.29748138836873","750.117202396115","3.78370750484413e-165","1.30708175754841e-161","NULL"," ","ENSRNOG00000041744"
"2","6.18397454955636","5.22038586001524","611.713439105812","4.74322154643121e-135","5.46181961071554e-132","363498","Bex2","ENSRNOG00000032729"
"3","6.45777145194946","5.23012115361134","516.599750405198","2.32442661675164e-114","1.60594634951371e-111","501624","Bex4","ENSRNOG00000060103"
"4","6.53660780134036","4.10960216088034","477.044664587214","9.3933856137722e-106","4.80732601522608e-103","246235","Slc36a2","ENSRNOG00000011892"
"5","5.43497907057478","6.60025940270152","462.731070772069","1.22339550670108e-102","5.45318681019209e-100","58835","Phgdh","ENSRNOG00000019328"
"6","4.28992430812092","5.64027073514437","425.536789644522","1.52165801354607e-94","5.39135139261015e-92","117089","Bex3","ENSRNOG00000028822"
"7","4.57230536851557","4.80450207940473","409.876034294647","3.90041331672781e-91","1.28323598120345e-88","498662","Tdrp","ENSRNOG00000027245"
"8","6.64885187677437","8.70277568811116","409.247207485147","5.34552578960797e-91","1.71777849676286e-88","498416","Grb10","ENSRNOG00000004290"
"9","5.03732699951863","4.01624031684233","400.552601723392","4.1748455160444e-89","1.28195589646003e-86","106146145","Baiap3","ENSRNOG00000017893"
"10","5.02661302972576","6.93400999799284","389.39512400464","1.1208816397039e-86","3.29539202072947e-84","290558","Nt5dc2","ENSRNOG00000018358"
"11","5.48386215033667","4.24632700962027","385.337373847619","8.56943321500969e-86","2.46692558677091e-83","303824","Igf2bp2","ENSRNOG00000025946"
"12","4.5734170721986","6.39650639401863","380.950322149705","7.72790637097258e-85","2.05354250450191e-82","299923","Ndrg1","ENSRNOG00000007393"
"13","4.86629487966762","5.71512501992714","358.088154592789","7.34320808802959e-80","1.84488089746169e-77","24539","Lpl","ENSRNOG00000012181"
"14","6.81546295096857","8.45026632800062","355.080123319983","3.31812841871381e-79","8.04384184031359e-77","NULL"," ","ENSRNOG00000059660"
"15","4.86196082912092","7.00071104882954","353.128212515311","8.82948843098073e-79","2.06789612100495e-76","293820","Psat1","ENSRNOG00000013971"
"16","6.25823860457909","7.71617272627123","349.58025514221","5.23052339559631e-78","1.20458953800583e-75","25236","Gpc3","ENSRNOG00000060179"
"17","4.97777932960676","7.59956285349354","335.205902270259","7.06254653935556e-75","1.54905187429865e-72","56611","Anxa2","ENSRNOG00000010362"
"18","4.72619518985721","4.40429995892347","332.382989060779","2.90920770622415e-74","6.18452801301619e-72","294790","Skp2","ENSRNOG00000059059"
"19","9.41512993742687","4.56664050745421","330.924539873357","6.04536017316545e-74","1.26567858898182e-71","54269","Mcpt10","ENSRNOG00000049096"
"20","6.25543570376952","2.96872384975581","326.903061423671","4.54270169591149e-73","9.36881373643357e-71","NULL"," ","ENSRNOG00000059277"
"21","6.52433652139786","2.80630415229462","310.771618485412","1.48297374591801e-69","2.76915286771556e-67","NULL"," ","ENSRNOG00000056115"
"22","4.81500093530499","5.07012983895381","305.68596947812","1.90120152365484e-68","3.32541805745095e-66","25361","Vcam1","ENSRNOG00000014333"
"23","6.49453494862769","3.70889968276981","304.494250406151","3.45660214701049e-68","5.97041605842387e-66","685560","Mogat3","ENSRNOG00000029211"
"24","7.57774895447341","2.94443580475908","303.078841914513","7.03083051558164e-68","1.19940760573219e-65","364303","Rnase1l1","ENSRNOG00000025615"
"25","5.93976075198394","3.21680611436183","299.331201479356","4.60766159124762e-67","7.76447169120239e-65","501625","Bex1","ENSRNOG00000033844"
"26","4.41828704203766","4.37494400378065","297.961820634436","9.15855531898327e-67","1.48885785173778e-64","366960","Maff","ENSRNOG00000012886"
"27","5.73647469155803","3.02937778169984","295.998352989067","2.45253214084717e-66","3.94059175839839e-64","65031","Doc2a","ENSRNOG00000019920"
"28","5.05233615747289","7.70754982052271","289.621546432981","6.01198798401839e-65","9.12897252342485e-63","85333","Slc25a4","ENSRNOG00000010830"
"29","4.54554211416864","3.59717676422066","286.95379750887","2.29249376488727e-64","3.36996583438429e-62","291002","Cdhr2","ENSRNOG00000017917"
"30","5.48963384025943","8.56914897663483","286.510699736244","2.86324747710117e-64","4.16466880406148e-62","83792","Scd2","ENSRNOG00000046005"
"31","6.11228817998428","3.57110180974957","279.738892321247","8.56044059958738e-63","1.23216841880311e-60","25711","Gucy2c","ENSRNOG00000009031"
"32","5.84923743211539","3.57890693425994","278.692272693247","1.44735450032228e-62","2.06180870984055e-60","24153","A2m","ENSRNOG00000028896"
"33","3.71682242299541","5.58305845324248","276.38816521362","4.59933959402618e-62","6.33511811790072e-60","680354","Tceal9","ENSRNOG00000034198"
"34","5.85314880092116","3.57683697932313","274.074726243658","1.46846826265295e-61","1.96307495247376e-59","685007","Unc93a","ENSRNOG00000047027"
"35","6.00767357723749","9.62114245195746","274.062518558978","1.47749164175186e-61","1.96307495247376e-59","296654","Gsn","ENSRNOG00000018991"
"36","6.09901468451538","3.97159267491869","273.720611490705","1.75403532911719e-61","2.30831049311822e-59","NULL"," ","ENSRNOG00000045772"
"37","4.44867231831648","3.55978554590965","272.547302694908","3.16042291661373e-61","4.11987960960081e-59","363259","Obsl1","ENSRNOG00000015346"
"38","3.93113537986479","4.13850746218186","270.064032064807","1.0988888060163e-60","1.39306839647094e-58","290986","Agtpbp1","ENSRNOG00000018651"
"39","6.21889288031079","3.78303003191098","266.254180819011","7.43558253335098e-60","9.0924672075968e-58","289337","Tlr5","ENSRNOG00000022067"
