"","logFC","logCPM","LR","PValue","FDR","geneid","genesymbol","ENSEMBL"
"1","6.75933422617152","5.29748138836873","722.960424634931","3.04034326051581e-159","4.20114631738074e-155","NULL"," ","ENSRNOG00000041744"
"2","6.07285253006455","5.22038586001524","592.176267361125","8.42445144180589e-131","2.91022675057185e-127","363498","Bex2","ENSRNOG00000032729"
"3","6.34007451705919","5.23012115361134","500.369803997186","7.89784249963365e-111","1.21258208511042e-107","501624","Bex4","ENSRNOG00000060103"
"4","6.51447885372897","4.10960216088034","473.784796899647","4.81034458179293e-105","5.53911178593456e-102","246235","Slc36a2","ENSRNOG00000011892"
"5","5.35718824191937","6.60025940270152","452.292363238725","2.28684482468522e-100","1.97497636171877e-97","58835","Phgdh","ENSRNOG00000019328"
"6","4.19539992185564","5.64027073514437","409.50105474611","4.70689160150688e-91","3.25199140748111e-88","117089","Bex3","ENSRNOG00000028822"
"7","5.6252041881083","4.24632700962027","404.619293357366","5.43734375954707e-90","3.57777219378197e-87","303824","Igf2bp2","ENSRNOG00000025946"
"8","4.50837094191161","4.80450207940473","399.531993770223","6.96328021520486e-89","4.1834176527696e-86","498662","Tdrp","ENSRNOG00000027245"
"9","6.52051165565318","8.70277568811116","398.054052215093","1.46064801751373e-88","8.40968096083529e-86","498416","Grb10","ENSRNOG00000004290"
"10","4.69080254583427","6.39650639401863","397.117041715072","2.33627541178786e-88","1.24164052461864e-85","299923","Ndrg1","ENSRNOG00000007393"
"11","5.01372750722","4.01624031684233","396.892503205846","2.61459339307182e-88","1.33809079649875e-85","106146145","Baiap3","ENSRNOG00000017893"
"12","5.07477431853561","6.93400999799284","395.279221233102","5.86953819765073e-88","2.89661710054064e-85","290558","Nt5dc2","ENSRNOG00000018358"
"13","4.92279115907575","5.71512501992714","364.944551108231","2.36016443364359e-81","9.31792918402489e-79","24539","Lpl","ENSRNOG00000012181"
"14","6.27220319617079","7.71617272627123","350.714919233434","2.96112173641761e-78","9.29926821677693e-76","25236","Gpc3","ENSRNOG00000060179"
