"","ENSEMBL","SYMBOL","Single-Adult_logFC","Single-Adult_FDR","Colony_Host_logFC","Colony_Host_FDR","Colony_Host_logFC","Colony_Host_FDR"
"1","ENSRNOG00000000239","Ccl7",4.6343066363741,1.1543926564645e-05,2.3402092,0.0440924,NA,NA
"2","ENSRNOG00000000277","Tet1",3.58117619841481,0.000290738934545743,1.2209543,0.009102492,NA,NA
"3","ENSRNOG00000000456","Psmb8",-4.87912036015788,1.254064869659e-48,NA,NA,-0.7251868,0.027791901
"4","ENSRNOG00000000457","Tap1",-2.06249163022905,8.84598272110701e-24,NA,NA,-0.6036197,0.022358107
"5","ENSRNOG00000000522","Cpne5",3.0273077304888,3.90970339616428e-05,1.4485882,0.01947826,NA,NA
"6","ENSRNOG00000000571","Psap",-1.19505254710431,4.9160911345037e-06,NA,NA,-0.6499477,0.034842153
"7","ENSRNOG00000000938","Ran",1.49681620917512,1.98472888099959e-10,NA,NA,-0.668415,0.046034301
"8","ENSRNOG00000000969","Cyp3a18",-6.24328624311998,5.28377973149881e-22,NA,NA,-0.7611331,0.02345399
"9","ENSRNOG00000001103","Sdk1",2.43299369700471,0.000109332504984408,1.4137038,0.008369724,NA,NA
"10","ENSRNOG00000001113","Mmd2",-2.56177485396898,7.37756174150883e-06,2.1406744,0.01513566,NA,NA
"11","ENSRNOG00000001143","Cit",3.4430234556506,2.33680307130344e-24,0.6693178,0.03888929,NA,NA
"12","ENSRNOG00000001156","Msi1",4.01667316217021,7.91432858043923e-11,1.4825816,0.04054588,NA,NA
"13","ENSRNOG00000001261","Ftcd",-1.23082921047742,0.0028329581812792,NA,NA,-0.5935765,0.032346576
"14","ENSRNOG00000001385","Plbd2",-1.57521776206235,2.36993621678277e-12,NA,NA,-0.6695139,0.026546328
"15","ENSRNOG00000001396","Mospd3",-1.34201207027702,1.36922316216242e-13,NA,NA,-0.7606259,0.035879126
"16","ENSRNOG00000001592","Cct8",0.59721770324803,0.00650381793748693,NA,NA,-0.6088164,0.047453826
"17","ENSRNOG00000001692","Chaf1b",2.76035679538693,1.53901243272102e-14,1.2995233,0.02187972,NA,NA
"18","ENSRNOG00000001865","Serpind1",-0.802616154146382,0.00956923902809612,NA,NA,-0.6802151,0.035560691
"19","ENSRNOG00000001869","Rab44",2.94707683419785,4.93683685861553e-05,2.6425771,0.007551574,NA,NA
"20","ENSRNOG00000001973","Ugt2a1",-6.79505643972409,9.41653823815025e-95,NA,NA,-0.7272869,0.02732166
"21","ENSRNOG00000001980","Ugt2b35",-1.65666263064847,1.11173708393872e-11,NA,NA,-0.6862121,0.04545837
"22","ENSRNOG00000002342","Aldh3a2",-2.42496180987677,5.16483228753733e-17,NA,NA,-0.7030729,0.014887631
"23","ENSRNOG00000002607","Sox9",1.24644776897996,0.011490863030033,NA,NA,-1.1556599,0.038515166
"24","ENSRNOG00000002705","Vps4b",-0.889155441255465,7.97023415289602e-07,NA,NA,-0.7715573,0.021879724
"25","ENSRNOG00000003028","Dnah17",1.13555432736734,0.0418963003506887,0.9143881,0.0251014,NA,NA
"26","ENSRNOG00000003183","Fmod",2.3932441171734,0.00541634994889403,2.3358606,0.003032904,NA,NA
"27","ENSRNOG00000003338","Pmp22",2.01513742068353,1.18995068803441e-11,1.2933497,0.03359166,NA,NA
