"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"1","-0.7872932"," 6.059849","17.795601","2.459512e-05","0.005228979","ENSRNOG00000016437"
"2","-0.7415063"," 6.351967","15.941947","6.531507e-05","0.008369724","ENSRNOG00000021031"
"3","-0.8524906"," 6.191326","15.610691","7.781340e-05","0.008804004","ENSRNOG00000059330"
"4","-0.7272714"," 6.474390","15.585962","7.883773e-05","0.008826043","ENSRNOG00000020636"
"5","-0.9746137"," 4.144136","15.562028","7.984208e-05","0.008826043","ENSRNOG00000014659"
"6","-2.5298732"," 9.859697","15.104615","1.017143e-04","0.009610974","ENSRNOG00000061096"
"7","-0.9296122"," 4.262685","14.974596","1.089683e-04","0.010042799","ENSRNOG00000019868"
"8","-0.8033434"," 6.241761","14.852194","1.162728e-04","0.010167354","ENSRNOG00000039980"
"9","-0.7445126"," 7.932848","14.528861","1.380287e-04","0.011179130","ENSRNOG00000016496"
"10","-0.8008321"," 5.284364","14.409823","1.470333e-04","0.011597687","ENSRNOG00000010466"
"11","-0.6730438"," 8.380900","14.050625","1.779547e-04","0.012960850","ENSRNOG00000011016"
"12","-0.7490956"," 7.839469","13.925691","1.901812e-04","0.013375569","ENSRNOG00000009921"
"13","-0.7398082"," 6.088126","13.888439","1.939881e-04","0.013491905","ENSRNOG00000005828"
"14","-0.7742939"," 4.418938","13.623963","2.233167e-04","0.014841353","ENSRNOG00000019859"
"15","-0.7030729"," 8.039306","13.601606","2.259922e-04","0.014887631","ENSRNOG00000002342"
"16","-0.7253607"," 6.998150","13.527822","2.350527e-04","0.015135656","ENSRNOG00000059947"
"17","-0.6470464"," 5.944333","13.503144","2.381641e-04","0.015135656","ENSRNOG00000046007"
"18","-0.6916756"," 4.865198","13.461064","2.435656e-04","0.015342990","ENSRNOG00000021316"
"19","-2.3302862","10.386217","13.314910","2.633040e-04","0.016011337","ENSRNOG00000058083"
"20","-1.8166832"," 2.925240","13.311468","2.637877e-04","0.016011337","ENSRNOG00000056898"
"21","-0.7401605"," 5.901150","13.257653","2.714694e-04","0.016207499","ENSRNOG00000029500"
"22","-0.8206879"," 4.236573","13.120406","2.920967e-04","0.016410923","ENSRNOG00000003049"
"23","-0.6520046"," 6.497388","12.940006","3.216340e-04","0.017441885","ENSRNOG00000011141"
"24","-0.9605391"," 6.999284","12.882711","3.316315e-04","0.017829005","ENSRNOG00000039473"
"25","-0.9159864"," 4.910455","12.833699","3.404321e-04","0.018067442","ENSRNOG00000058271"
"26","-0.9442783"," 6.682568","12.829994","3.411068e-04","0.018067442","ENSRNOG00000050156"
"27","-0.9011569"," 3.801877","12.793094","3.479013e-04","0.018241360","ENSRNOG00000053040"
"28","-0.7372148"," 4.220848","12.551261","3.959391e-04","0.019391688","ENSRNOG00000007203"
"29","-0.8734264"," 4.106873","12.543312","3.976268e-04","0.019423500","ENSRNOG00000012156"
"30","-0.7188000"," 5.331477","12.519356","4.027577e-04","0.019478259","ENSRNOG00000002642"
"31","-0.7063241"," 6.957177","12.501416","4.066437e-04","0.019478259","ENSRNOG00000018402"
"32","-0.8003672"," 3.780124","12.496248","4.077701e-04","0.019478259","ENSRNOG00000010350"
"33","-3.1602129"," 1.756200","12.458469","4.161008e-04","0.019708430","ENSRNOG00000056003"
"34","-0.7273601"," 4.255493","12.441946","4.197981e-04","0.019733676","ENSRNOG00000010325"
"35","-0.7150694"," 6.135900","12.379201","4.341429e-04","0.019936322","ENSRNOG00000015233"
"36","-0.7327230"," 4.839766","12.372412","4.357243e-04","0.019936322","ENSRNOG00000017127"
"37","-0.6495410"," 7.841133","12.334129","4.447517e-04","0.020147358","ENSRNOG00000017597"
"38","-0.6528369"," 6.946092","12.304220","4.519353e-04","0.020325138","ENSRNOG00000024384"
"39","-0.6623708"," 5.769458","12.183782","4.820681e-04","0.021023337","ENSRNOG00000019708"
"40","-1.3030919"," 5.385317","12.144678","4.922813e-04","0.021236207","ENSRNOG00000056834"
"41","-0.9086852"," 8.929395","12.128113","4.966736e-04","0.021263767","ENSRNOG00000021405"
"42","-0.7328258"," 7.072607","12.084547","5.084146e-04","0.021564359","ENSRNOG00000020451"
"43","-0.7715573"," 5.381306","12.029375","5.236863e-04","0.021879724","ENSRNOG00000002705"
"44","-1.0377388"," 3.091949","12.025939","5.246526e-04","0.021879724","ENSRNOG00000061779"
"45","-0.7610933"," 4.986014","12.016417","5.273399e-04","0.021879724","ENSRNOG00000013876"
"46","-0.6036197"," 6.052638","11.941868","5.488641e-04","0.022358107","ENSRNOG00000000457"
"47","-0.9951182"," 3.860136","11.935811","5.506514e-04","0.022358107","ENSRNOG00000007229"
"48","-0.6684890"," 5.382166","11.926350","5.534552e-04","0.022365516","ENSRNOG00000042785"
"49","-0.8424692"," 5.206678","11.914206","5.570749e-04","0.022461885","ENSRNOG00000023708"
"50","-0.7395859"," 4.961939","11.808030","5.897580e-04","0.023453990","ENSRNOG00000020317"
"51","-0.7319099"," 4.397558","11.800137","5.922637e-04","0.023453990","ENSRNOG00000026120"
"52","-0.7611331"," 8.545902","11.788266","5.960523e-04","0.023453990","ENSRNOG00000000969"
"53","-0.8169477"," 4.746833","11.751987","6.077831e-04","0.023740733","ENSRNOG00000003763"
"54","-0.6321113"," 6.638096","11.564429","6.722552e-04","0.025218743","ENSRNOG00000056688"
"55","-1.6408677"," 4.239869","11.528178","6.854916e-04","0.025414228","ENSRNOG00000060374"
"56","-0.8076938"," 4.149081","11.514968","6.903801e-04","0.025480961","ENSRNOG00000050563"
"57","-0.7151843"," 6.430255","11.514605","6.905151e-04","0.025480961","ENSRNOG00000017977"
"58","-0.6595972"," 5.725876","11.458473","7.116874e-04","0.025971586","ENSRNOG00000004284"
"59","-0.6695139"," 6.124128","11.401260","7.339430e-04","0.026546328","ENSRNOG00000001385"
"60","-0.7826492"," 5.040252","11.370760","7.460935e-04","0.026792061","ENSRNOG00000049937"
"61","-0.6321272"," 5.253627","11.357164","7.515752e-04","0.026885698","ENSRNOG00000010800"
"62","-0.7272869"," 5.304719","11.292124","7.783657e-04","0.027321660","ENSRNOG00000001973"
"63","-0.7251868"," 4.609248","11.225944","8.066172e-04","0.027791901","ENSRNOG00000000456"
"64","-0.7279466"," 7.850646","11.199475","8.182050e-04","0.028036258","ENSRNOG00000009572"
"65","-0.6449806"," 6.476462","11.187699","8.234140e-04","0.028163166","ENSRNOG00000011763"
"66","-1.2615944"," 4.762134","11.175275","8.289463e-04","0.028267770","ENSRNOG00000053462"
"67","-2.3687191"," 1.340052","11.174049","8.294941e-04","0.028267770","ENSRNOG00000046615"
"68","-0.7734286"," 4.333678","11.153762","8.386144e-04","0.028320643","ENSRNOG00000032381"
"69","-0.6158048"," 7.672767","11.149227","8.406672e-04","0.028338815","ENSRNOG00000011781"
"70","-0.6230665"," 6.884806","11.131765","8.486181e-04","0.028397313","ENSRNOG00000020679"
"71","-0.9097047"," 3.349671","11.120483","8.537955e-04","0.028397313","ENSRNOG00000050761"
"72","-0.6195655"," 5.954497","11.103336","8.617258e-04","0.028433911","ENSRNOG00000006523"
"73","-0.7214049"," 7.787189","11.091262","8.673546e-04","0.028519046","ENSRNOG00000012843"
"74","-0.6504841"," 5.359346","11.059416","8.823794e-04","0.028674775","ENSRNOG00000008855"
"75","-0.9299575"," 3.297063","11.018152","9.022400e-04","0.028953701","ENSRNOG00000013343"
"76","-0.5937989"," 5.937749","11.010070","9.061820e-04","0.028959013","ENSRNOG00000059215"
"77","-0.6742611"," 5.148307","11.008298","9.070491e-04","0.028959013","ENSRNOG00000051912"
"78","-0.7273296"," 5.080895","10.937911","9.421632e-04","0.029775223","ENSRNOG00000004621"
"79","-0.6413063"," 5.216225","10.919116","9.517701e-04","0.030028105","ENSRNOG00000042771"
"80","-0.6784657"," 6.793336","10.905262","9.589150e-04","0.030189989","ENSRNOG00000012751"
"81","-0.6448705"," 8.261036","10.869362","9.776821e-04","0.030638952","ENSRNOG00000016271"
"82","-0.7775760"," 3.857425","10.859429","9.829402e-04","0.030690491","ENSRNOG00000011119"
"83","-0.7976846"," 8.165110","10.822677","1.002644e-03","0.030954570","ENSRNOG00000046540"
"84","-2.3896288"," 1.781146","10.766675","1.033440e-03","0.031336509","ENSRNOG00000054690"
"85","-0.6603048"," 6.367337","10.707796","1.066850e-03","0.031935519","ENSRNOG00000023856"
"86","-0.6331291"," 8.268357","10.694013","1.074828e-03","0.032042640","ENSRNOG00000006280"
"87","-0.5935765"," 7.965176","10.666462","1.090956e-03","0.032346576","ENSRNOG00000001261"
"88","-0.6995184"," 7.572304","10.653732","1.098490e-03","0.032516334","ENSRNOG00000001053"
"89","-0.5996389"," 5.915889","10.617491","1.120229e-03","0.032594662","ENSRNOG00000004234"
"90","-0.6265154"," 6.069994","10.601768","1.129796e-03","0.032750231","ENSRNOG00000003873"
"91","-0.6077473"," 7.552023","10.561938","1.154401e-03","0.033086250","ENSRNOG00000046307"
"92","-0.6787434"," 5.326893","10.561285","1.154809e-03","0.033086250","ENSRNOG00000017396"
"93","-1.0159842"," 3.299318","10.533937","1.172023e-03","0.033374994","ENSRNOG00000015304"
"94","-0.7709804"," 3.575238","10.506093","1.189816e-03","0.033591657","ENSRNOG00000019290"
"95","-0.6821376"," 6.782455","10.464070","1.217188e-03","0.033764678","ENSRNOG00000009438"
"96","-0.5840069"," 6.213271","10.462547","1.218192e-03","0.033764678","ENSRNOG00000008103"
"97","-0.8427777"," 4.296887","10.457229","1.221704e-03","0.033778387","ENSRNOG00000021177"
"98","-0.6545907"," 5.233640","10.393287","1.264743e-03","0.034543176","ENSRNOG00000008289"
"99","-0.6499477"," 9.294819","10.369307","1.281276e-03","0.034842153","ENSRNOG00000000571"
"100","-0.6454889"," 5.107904","10.354213","1.291795e-03","0.035026376","ENSRNOG00000054352"
"101","-0.6802151"," 7.709518","10.312943","1.321005e-03","0.035560691","ENSRNOG00000001865"
"102","-0.7606259"," 4.176835","10.283264","1.342423e-03","0.035879126","ENSRNOG00000001396"
"103","-0.7248979"," 4.069471","10.254866","1.363246e-03","0.036177252","ENSRNOG00000017496"
"104","-0.6768711"," 4.402467","10.233529","1.379106e-03","0.036493219","ENSRNOG00000012804"
"105","-0.6714536"," 5.923315","10.218756","1.390196e-03","0.036581110","ENSRNOG00000060005"
"106","-0.6217903"," 5.293972","10.166432","1.430208e-03","0.037224187","ENSRNOG00000018735"
"107","-0.8299131"," 3.989958","10.143452","1.448147e-03","0.037277493","ENSRNOG00000007114"
"108","-0.6522547"," 4.313643","10.130657","1.458235e-03","0.037348824","ENSRNOG00000006369"
"109","-0.6044820"," 4.806182","10.088398","1.492058e-03","0.037693179","ENSRNOG00000011063"
"110","-0.6258943"," 6.279013","10.069602","1.507356e-03","0.037771289","ENSRNOG00000008937"
"111","-0.6065203"," 8.653880","10.066221","1.510125e-03","0.037771289","ENSRNOG00000017120"
"112","-0.5788496"," 5.934084","10.027712","1.542025e-03","0.038161033","ENSRNOG00000011421"
"113","-1.1556599"," 2.755634","10.000980","1.564569e-03","0.038515166","ENSRNOG00000002607"
"114","-1.1896771"," 6.946636"," 9.987164","1.576352e-03","0.038703374","ENSRNOG00000059255"
"115","-0.6361925"," 5.950083"," 9.971049","1.590209e-03","0.038889294","ENSRNOG00000042224"
"116","-0.6153462"," 5.061870"," 9.946565","1.611498e-03","0.039003258","ENSRNOG00000019424"
"117","-0.8238938"," 5.452148"," 9.902222","1.650793e-03","0.039705369","ENSRNOG00000038933"
"118","-1.1315405"," 2.462061"," 9.848547","1.699660e-03","0.040302833","ENSRNOG00000054091"
"119","-0.8187421"," 3.708428"," 9.823552","1.722913e-03","0.040545883","ENSRNOG00000026616"
"120","-0.5801661"," 5.290650"," 9.799625","1.745475e-03","0.040922411","ENSRNOG00000020345"
"121","-0.6256551"," 7.667119"," 9.791561","1.753146e-03","0.041013737","ENSRNOG00000024705"
"122","-0.7353939"," 7.675936"," 9.775148","1.768864e-03","0.041315460","ENSRNOG00000008638"
"123","-0.6747071"," 8.256852"," 9.737779","1.805189e-03","0.041966814","ENSRNOG00000011612"
"124","-2.2659397"," 3.007266"," 9.734953","1.807967e-03","0.041966814","ENSRNOG00000056054"
"125","-0.6086952"," 6.603792"," 9.712783","1.829907e-03","0.042263532","ENSRNOG00000011592"
"126","-0.6304358"," 9.098487"," 9.665494","1.877613e-03","0.042787159","ENSRNOG00000018445"
"127","-1.1831947"," 3.905773"," 9.648111","1.895464e-03","0.042909069","ENSRNOG00000053795"
"128","-0.6533957"," 5.345455"," 9.645076","1.898598e-03","0.042909069","ENSRNOG00000001640"
"129","-0.5687165"," 6.578015"," 9.640353","1.903487e-03","0.042958179","ENSRNOG00000020607"
"130","-0.6429616"," 7.336315"," 9.634469","1.909594e-03","0.043044085","ENSRNOG00000031612"
"131","-0.5593927"," 5.652146"," 9.604402","1.941115e-03","0.043388665","ENSRNOG00000030126"
"132","-0.9799094"," 8.888868"," 9.596364","1.949630e-03","0.043473966","ENSRNOG00000055569"
"133","-0.8869588"," 5.319164"," 9.534884","2.016029e-03","0.044256069","ENSRNOG00000052604"
"134","-0.8183248"," 3.699037"," 9.533301","2.017768e-03","0.044256069","ENSRNOG00000006824"
"135","-0.6935861"," 5.464081"," 9.511613","2.041757e-03","0.044573191","ENSRNOG00000012457"
"136","-0.6294748"," 5.638342"," 9.479100","2.078259e-03","0.044896339","ENSRNOG00000005551"
"137","-0.6365512"," 9.099119"," 9.469176","2.089532e-03","0.045038079","ENSRNOG00000009741"
"138","-0.6602996"," 4.663168"," 9.463130","2.096430e-03","0.045134772","ENSRNOG00000011053"
"139","-0.6026909"," 6.730446"," 9.460819","2.099073e-03","0.045139726","ENSRNOG00000007892"
"140","-0.5683299"," 7.450932"," 9.449247","2.112358e-03","0.045321217","ENSRNOG00000014064"
"141","-0.6862121"," 7.304782"," 9.439503","2.123610e-03","0.045458370","ENSRNOG00000001980"
"142","-0.6632137"," 7.135652"," 9.415994","2.151009e-03","0.045782966","ENSRNOG00000019573"
"143","-0.6684150"," 4.496610"," 9.395556","2.175120e-03","0.046034301","ENSRNOG00000000938"
"144","-0.5361109"," 6.289255"," 9.383877","2.189021e-03","0.046152473","ENSRNOG00000009778"
"145","-0.7626123"," 8.434298"," 9.376774","2.197520e-03","0.046152473","ENSRNOG00000019481"
"146","-0.7038153"," 4.697241"," 9.361456","2.215961e-03","0.046379176","ENSRNOG00000003815"
"147","-0.5754214"," 8.057040"," 9.309043","2.280255e-03","0.047191697","ENSRNOG00000055295"
"148","-0.7449106"," 6.023723"," 9.303147","2.287606e-03","0.047291510","ENSRNOG00000026488"
"149","-0.7701021"," 3.605969"," 9.294724","2.298147e-03","0.047352461","ENSRNOG00000024809"
"150","-0.6088164"," 5.297722"," 9.288791","2.305603e-03","0.047453826","ENSRNOG00000001592"
"151","-0.9559558"," 3.258100"," 9.230789","2.379790e-03","0.048500543","ENSRNOG00000032840"
"152","-0.6815147"," 4.379014"," 9.227954","2.383478e-03","0.048522843","ENSRNOG00000011158"
"153","-0.6376692"," 5.184608"," 9.193113","2.429274e-03","0.049012641","ENSRNOG00000056524"
"154","-0.6122590"," 4.900114"," 9.190427","2.432841e-03","0.049012641","ENSRNOG00000008569"
"155","-0.5789580"," 5.384692"," 9.186410","2.438186e-03","0.049027058","ENSRNOG00000027797"
"156","-0.6933765"," 4.575375"," 9.180061","2.446659e-03","0.049114323","ENSRNOG00000002425"
"157","-0.6495262"," 5.581675"," 9.167292","2.463789e-03","0.049299490","ENSRNOG00000014481"
"158","-0.5819807"," 6.141283"," 9.164838","2.467095e-03","0.049301898","ENSRNOG00000006623"
"159","-0.5810887"," 5.688557"," 9.161744","2.471269e-03","0.049301898","ENSRNOG00000036742"
"160","-0.9020072"," 3.583143"," 9.161340","2.471815e-03","0.049301898","ENSRNOG00000061536"
"161","-0.6260833"," 6.591084"," 9.155778","2.479339e-03","0.049335601","ENSRNOG00000004749"
"162","-1.0434246"," 3.118529"," 9.151728","2.484833e-03","0.049335601","ENSRNOG00000057290"
"163","-0.6016371"," 5.109316"," 9.138719","2.502563e-03","0.049390557","ENSRNOG00000007769"
"164","-0.6483766"," 7.787031"," 9.118852","2.529887e-03","0.049837056","ENSRNOG00000054077"
