"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"6947",-5.96419875219091,5.23137911338171,947.87712265907,3.83888515966784e-208,7.10232143390147e-204,"6947"
"10322",-5.68517757569913,4.66422410889796,717.247084471257,5.31222897586323e-158,4.91407741412228e-154,"10322"
"1400",-5.72960580463119,6.27985923363395,697.687040567028,9.52080267038665e-154,5.87147900682744e-150,"1400"
"22467",-6.12882199445993,7.07825528611858,688.095156068025,1.1601717359719e-151,5.36608432180403e-148,"22467"
"7861",-5.12458941419407,5.01820167091224,677.837435834317,1.97337635941826e-149,7.30188720511945e-146,"7861"
"28673",-7.71070083617125,5.37595364218058,668.315858688154,2.32197189463408e-147,7.15980033710418e-144,"28673"
"9351",-5.77763228864736,8.15599650004964,654.208549497684,2.71543301618872e-144,7.17688946178678e-141,"9351"
"16403",-5.84134261253506,5.49529570211839,628.411847291222,1.107211756142e-138,2.56056558754789e-135,"16403"
"10112",-8.63407434828616,9.29804307085336,618.751247185093,1.39751597529934e-136,2.872827006557e-133,"10112"
"28764",-8.22286745660067,7.54893912941094,605.105141784361,1.29836810915188e-133,2.0017590322849e-130,"28764"
"8786",-6.09997569460214,7.18456016629983,601.883191541289,6.51914962538728e-133,9.27775286302231e-130,"8786"
"11259",-4.97277851860146,5.60616789912084,592.241023753578,8.1556070851004e-131,1.00591257787628e-127,"11259"
"4033",-5.53667197380074,8.38748880978654,588.55187050387,5.17485347640605e-130,5.98374776043677e-127,"4033"
"9305",-5.57999565917959,4.67905615529869,588.01831213218,6.76013032241627e-130,7.35701006441314e-127,"9305"
"8420",-5.43837077215966,6.48524220821714,586.441149662209,1.489404923023e-129,1.53086002671381e-126,"8420"
"10631",-6.10712748713321,6.34169364796132,566.051460993125,4.05728239715974e-125,3.9507253489396e-122,"10631"
"10570",-5.44486540553156,5.07898213326998,565.685042578685,4.87463499401102e-125,4.5092811012099e-122,"10570"
"8432",-4.99602849309276,6.14294647829276,556.129540650944,5.84223835566045e-123,4.91305690082155e-120,"8432"
"11389",-4.47176264368079,6.78748067927326,550.726530317768,8.74863803334455e-122,7.03732835890902e-119,"11389"
"2699",-4.48224337338005,4.75618470853248,532.140296242003,9.6675745809008e-118,7.4524915550519e-115,"2699"
"29932",-9.30406226916932,8.1537872078854,531.417866260421,1.38830570114583e-117,1.02740175107596e-114,"29932"
"10763",-4.93073266634793,6.56232385795608,529.507682668108,3.61455823317409e-117,2.57203622584438e-114,"10763"
"6329",-9.19528177685609,3.28301961958141,512.313330373497,1.9902261340045e-113,1.31504191804347e-110,"6329"
"6245",-4.2394302953813,5.7774295442908,509.554180489903,7.92888843512629e-113,4.73201177220231e-110,"6245"
"11986",-4.21352476451874,5.38842005163982,504.916478443241,8.09569560812349e-112,4.40524895429096e-109,"11986"
"10008",-3.92528193076235,5.27409068777711,499.522728428791,1.20729959180197e-110,6.38178564226522e-108,"10008"
"15309",-8.66746485966296,3.45495781724633,496.195503998534,6.39378606906684e-110,3.2858732239946e-107,"15309"
"795",-4.01944948980562,6.76880521793764,495.24024547867,1.03182638446601e-109,5.15941079432584e-107,"795"
"20146",-12.470800930857,4.16699602844991,490.719320236649,9.9379420495671e-109,4.83847015418528e-106,"20146"
"5729",-4.2807340118711,5.42733613247087,489.603490607876,1.73815344803757e-108,8.24553254926744e-106,"5729"
"5970",-4.80281538499593,4.58536787561247,488.654562901522,2.79617736563292e-108,1.29330193603937e-105,"5970"
"2651",-5.2586886441526,5.0784230726326,488.459778822901,3.08281714244261e-108,1.39110243786173e-105,"2651"
"7518",-3.91363186210208,5.83045031422721,488.084145959159,3.72118945503365e-108,1.63918395494232e-105,"7518"
"3717",-6.80599264782318,7.50229430616815,487.089306264501,6.12561546501366e-108,2.63558166786553e-105,"3717"
"17525",-6.87535963167816,8.09916718360588,482.04970838301,7.65127241213273e-107,3.21718615674699e-104,"17525"
"5414",-6.15725548928802,7.40386804085182,481.877150160012,8.34221988746525e-107,3.42976466973321e-104,"5414"
"2853",-5.74065898012097,7.72964358563021,481.04545679354,1.26547951238974e-106,5.08970357798317e-104,"2853"
"30370",-7.96462335258227,4.93389481913076,480.139574831224,1.99238153553011e-106,7.84277676358354e-104,"30370"
"2369",-5.87925473064568,5.50860672478279,474.817468139931,2.86723748758023e-105,1.1051408491192e-102,"2369"
"6771",-4.04422065133015,4.54576354184781,465.587078702408,2.92457125100472e-103,1.08214985429677e-100,"6771"
"15756",-5.76839291797602,6.63995511723902,460.38866181696,3.95650591836713e-102,1.40767915376366e-99,"15756"
"3145",-4.65606495712483,7.36830861797456,459.024079502698,7.83914875404962e-102,2.73645454903155e-99,"3145"
"11161",-4.8849385784376,8.38866266596214,457.213721509321,1.94194778931594e-101,6.65332889817302e-99,"11161"
"8768",-4.45977811599342,7.58097134105937,454.341158187648,8.19161242112719e-101,2.75550948005953e-98,"8768"
"9171",-4.65394761066759,8.25288635647988,451.613551463598,3.21339059068932e-100,1.06162391639899e-97,"9171"
"98",-4.84967200563338,8.26499612647622,450.40751705226,5.88069537682537e-100,1.90874991520432e-97,"98"
"10055",-5.32825508261226,8.02919542002603,448.462418149329,1.55860905482661e-99,4.97169415919777e-97,"10055"
"7477",-4.41489031443747,6.80052247226198,447.61116257713,2.38778788999055e-99,7.48753622927376e-97,"7477"
"2720",-4.48657931712516,4.43815163266633,441.174296653978,6.01000418708059e-98,1.76493789627267e-95,"2720"
"17713",-6.83231291071053,4.72363283527976,438.846029085605,1.93016974299808e-97,5.57969850237615e-95,"17713"
"5763",-5.38608938850477,5.96952655882939,438.654807602051,2.12428574179651e-97,6.04637084753497e-95,"5763"
