"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"1","-6.6555649"," 5.2776266853","599.086625","2.645244e-132","3.655198e-128","ENSRNOG00000042224"
"2","-7.3093454"," 6.0950631499","596.948862","7.717003e-132","5.331677e-128","ENSRNOG00000001967"
"3","-7.4130706"," 6.0291613282","594.281213","2.935558e-131","1.352118e-127","ENSRNOG00000008713"
"4","-6.6216343"," 5.6100624579","583.410021","6.797286e-129","2.348123e-125","ENSRNOG00000010519"
"5","-5.5185822"," 5.9600005815","560.922447","5.296100e-124","1.463630e-120","ENSRNOG00000000041"
"6","-5.7991431"," 6.0096786233","541.961109","7.059904e-120","1.219422e-116","ENSRNOG00000005931"
"7","-6.7986870"," 7.2858757317","516.494883","2.449804e-114","3.385139e-111","ENSRNOG00000002947"
"8","-5.2619955"," 5.5118849397","514.786904","5.764092e-114","7.240748e-111","ENSRNOG00000059947"
"9","-6.5842323"," 6.7301709201","514.412961","6.951663e-114","8.004840e-111","ENSRNOG00000014481"
"10","-6.2166021"," 7.6612608381","507.312132","2.437927e-112","2.591329e-109","ENSRNOG00000011971"
"11","-7.3982579"," 7.3816088386","505.700415","5.466242e-112","5.395181e-109","ENSRNOG00000024705"
"12","-7.8591605"," 4.7559929086","502.894549","2.229350e-111","2.053678e-108","ENSRNOG00000042111"
"13","-8.1684465"," 5.8814863634","495.678982","8.282180e-110","7.152698e-107","ENSRNOG00000033245"
"14","-7.0129309"," 6.0146803520","488.687071","2.751004e-108","2.111854e-105","ENSRNOG00000015774"
"15","-5.5668458"," 5.1840552975","487.370201","5.321443e-108","3.870090e-105","ENSRNOG00000012262"
"16","-7.4218027"," 5.3409404020","481.237142","1.149595e-106","7.564338e-104","ENSRNOG00000016286"
"17","-4.7886156"," 6.4072710011","471.858560","1.262798e-104","7.931523e-102","ENSRNOG00000004414"
"18","-6.5025288"," 7.4124268577","464.767888","4.408876e-103","2.538410e-100","ENSRNOG00000050860"
"19","-7.4486329"," 5.5679781327","464.216822","5.810948e-103","3.211827e-100","ENSRNOG00000054495"
"20","-5.2912766"," 5.3213492137","461.902489","1.853014e-102","9.848057e-100","ENSRNOG00000010497"
"21","-5.0416059"," 6.3573237090","460.907762","3.050331e-102"," 1.546038e-99","ENSRNOG00000020704"
"22","-7.3091602"," 4.9676725779","453.923821","1.009699e-100"," 4.811040e-98","ENSRNOG00000004400"
"23","-5.4574150"," 5.2648142988","451.028230","4.308686e-100"," 1.984581e-97","ENSRNOG00000001827"
"24","-7.5590188"," 6.5823053748","447.298414"," 2.792925e-99"," 1.206020e-96","ENSRNOG00000007927"
"25","-7.0738034"," 5.7458311277","442.978942"," 2.432868e-98"," 9.887462e-96","ENSRNOG00000018420"
"26","-7.4177097"," 7.9299648943","440.908826"," 6.865168e-98"," 2.710368e-95","ENSRNOG00000046540"
"27","-6.2279738"," 5.5705184391","439.313059"," 1.527395e-97"," 5.862651e-95","ENSRNOG00000024384"
"28","-6.0834072"," 4.9668972088","439.071688"," 1.723785e-97"," 6.437638e-95","ENSRNOG00000047967"
"29","-7.0087063"," 7.2521287903","438.785245"," 1.989869e-97"," 7.235791e-95","ENSRNOG00000000201"
"30","-5.9942014"," 4.5657521567","438.215879"," 2.646924e-97"," 9.378254e-95","ENSRNOG00000039969"
"31","-5.4777016"," 5.2487442095","437.235568"," 4.326108e-97"," 1.494454e-94","ENSRNOG00000004172"
"32","-6.1046464"," 4.6785655259","436.496710"," 6.264752e-97"," 2.111374e-94","ENSRNOG00000014314"
"33","-5.4005123"," 6.3689759093","435.884050"," 8.516183e-97"," 2.801824e-94","ENSRNOG00000020562"
"34","-4.6016355"," 5.5986463019","435.694649"," 9.364119e-97"," 3.009149e-94","ENSRNOG00000002839"
"35","-5.0703763"," 6.6987781517","434.199662"," 1.980807e-96"," 6.220636e-94","ENSRNOG00000031612"
"36","-6.2680665"," 5.1623533367","432.411795"," 4.852488e-96"," 1.490037e-93","ENSRNOG00000046890"
"37","-4.9617010"," 5.1829713758","431.675562"," 7.017845e-96"," 2.108100e-93","ENSRNOG00000019639"
"38","-6.4451617"," 6.7251338530","426.809471"," 8.041041e-95"," 2.267574e-92","ENSRNOG00000029128"
"39","-6.2754097"," 6.7986282885","422.633397"," 6.520192e-94"," 1.766589e-91","ENSRNOG00000028701"
"40","-5.6304860"," 7.3026031386","421.134122"," 1.382267e-93"," 3.673110e-91","ENSRNOG00000009005"
"41","-7.4704118"," 5.7644664751","420.107626"," 2.312172e-93"," 6.028225e-91","ENSRNOG00000029844"
"42","-5.3639030"," 5.8185184893","419.959787"," 2.489999e-93"," 6.371631e-91","ENSRNOG00000005987"
