"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"1","-7.0153037"," 6.029161328","662.195263","4.976447e-146","3.438227e-142","ENSRNOG00000008713"
"2","-7.2105726"," 4.755992909","621.040971","4.439663e-137","2.044909e-133","ENSRNOG00000042111"
"3","-6.0688479"," 6.095063150","561.237977","4.521868e-124","1.249663e-120","ENSRNOG00000001967"
"4","-7.0326015"," 4.967672578","550.658446","9.052145e-122","2.084709e-118","ENSRNOG00000004400"
"5","-6.1896224"," 4.966897209","543.031368","4.130173e-120","8.152962e-117","ENSRNOG00000047967"
"6","-6.3423467"," 4.089358205","540.697639","1.329422e-119","2.296244e-116","ENSRNOG00000038331"
"7","-7.0206696"," 4.686916419","480.201272","1.931734e-106","2.669271e-103","ENSRNOG00000002597"
"8","-6.1400358"," 6.014680352","475.995518","1.588977e-105","1.996044e-102","ENSRNOG00000015774"
"9","-6.6760150"," 5.881486363","473.264352","6.243484e-105","6.636343e-102","ENSRNOG00000033245"
"10","-6.7487301"," 4.038947789","467.605796","1.063574e-103","1.049748e-100","ENSRNOG00000039079"
"11","-7.1666572"," 6.582305375","464.085720","6.205495e-103","5.716502e-100","ENSRNOG00000007927"
"12","-6.9612372"," 5.764466475","449.569631","8.949026e-100"," 7.273979e-97","ENSRNOG00000029844"
"13","-6.7950564"," 5.060213041","439.750631"," 1.226644e-97"," 9.416538e-95","ENSRNOG00000001973"
"14","-6.0754615"," 5.567978133","434.847225"," 1.431870e-96"," 1.041346e-93","ENSRNOG00000054495"
"15","-6.4547951"," 6.383709600","402.654032"," 1.456096e-89"," 9.145607e-87","ENSRNOG00000004101"
"16","-6.7275898"," 5.374416952","397.456251"," 1.970975e-88"," 1.089397e-85","ENSRNOG00000012843"
"17","-6.7033761"," 4.551654119","392.141516"," 2.829240e-87"," 1.348084e-84","ENSRNOG00000036680"
"18","-6.4448640"," 5.217467850","385.764292"," 6.918451e-86"," 3.186638e-83","ENSRNOG00000012142"
"19","-3.9665584"," 5.277626685","383.431140"," 2.228214e-85"," 9.745140e-83","ENSRNOG00000042224"
"20","-5.2134466"," 7.285875732","383.405712"," 2.256799e-85"," 9.745140e-83","ENSRNOG00000002947"
"21","-7.2913810"," 6.926781499","377.780363"," 3.786297e-84"," 1.585426e-81","ENSRNOG00000009921"
"22","-6.3047938"," 7.929964894","371.740478"," 7.820607e-83"," 3.178387e-80","ENSRNOG00000046540"
"23","-4.9551194"," 6.101491261","364.261430"," 3.324182e-81"," 1.275932e-78","ENSRNOG00000002478"
"24","-6.9658046"," 6.330850553","362.449872"," 8.243970e-81"," 3.078788e-78","ENSRNOG00000047493"
"25","-6.9041384"," 8.168445514","359.213733"," 4.176301e-80"," 1.518635e-77","ENSRNOG00000018436"
"26","-6.6512193"," 6.268914135","358.898413"," 4.891616e-80"," 1.733137e-77","ENSRNOG00000003620"
"27","-6.5553430"," 8.524222255","358.518336"," 5.918531e-80"," 2.044557e-77","ENSRNOG00000015438"
"28","-3.9876239"," 5.610062458","355.238869"," 3.064260e-79"," 1.032730e-76","ENSRNOG00000010519"
"29","-6.4255277"," 4.370960594","353.199006"," 8.521570e-79"," 2.803596e-76","ENSRNOG00000061527"
"30","-4.5744943"," 5.104636243","351.713718"," 1.794551e-78"," 5.766769e-76","ENSRNOG00000020533"
"31","-6.1550440"," 2.968392954","335.997327"," 4.748938e-75"," 1.426540e-72","ENSRNOG00000007905"
"32","-4.1257602"," 4.678565526","331.364018"," 4.849582e-74"," 1.396073e-71","ENSRNOG00000014314"
"33","-5.0845551"," 7.381608839","325.459166"," 9.371466e-73"," 2.642754e-70","ENSRNOG00000024705"
"34","-5.1661218"," 4.803799859","323.932211"," 2.015564e-72"," 5.570213e-70","ENSRNOG00000009715"
"35","-6.2338155"," 4.591021246","318.116848"," 3.724743e-71"," 9.897787e-69","ENSRNOG00000036984"
"36","-4.5842124"," 6.980693095","317.609859"," 4.803212e-71"," 1.252279e-68","ENSRNOG00000014338"
"37","-5.1851706"," 4.486041872","317.201580"," 5.894759e-71"," 1.508403e-68","ENSRNOG00000016099"
"38","-4.4139540"," 3.539916308","316.969365"," 6.622910e-71"," 1.663916e-68","ENSRNOG00000007529"
"39","-3.6707296"," 6.357323709","308.388351"," 4.901337e-69"," 1.128778e-66","ENSRNOG00000020704"
"40","-7.0108938"," 7.971546734","300.229322"," 2.936365e-67"," 6.544304e-65","ENSRNOG00000016348"
"41","-3.3141629"," 5.960000581","298.021012"," 8.890595e-67"," 1.950004e-64","ENSRNOG00000000041"
"42","-4.6497879"," 5.745831128","295.881826"," 2.600179e-66"," 5.613949e-64","ENSRNOG00000018420"
"43","-6.0122973"," 8.162754211","288.641072"," 9.832336e-65"," 1.997989e-62","ENSRNOG00000029179"
"44","-3.4806050"," 5.845011910","288.049388"," 1.323067e-64"," 2.611735e-62","ENSRNOG00000003235"
"45","-6.7318689"," 3.568237456","287.733647"," 1.550175e-64"," 3.016946e-62","ENSRNOG00000054181"
"46","-4.4579059"," 5.425386693","286.262173"," 3.243493e-64"," 6.056566e-62","ENSRNOG00000007601"
"47","-5.2490040"," 8.060065687","282.439998"," 2.207427e-63"," 3.961328e-61","ENSRNOG00000000158"
"48","-3.2024001"," 5.598646302","280.972177"," 4.610448e-63"," 8.064199e-61","ENSRNOG00000002839"
"49","-3.6055885"," 6.722428128","276.389221"," 4.596903e-62"," 7.653013e-60","ENSRNOG00000009243"
"50","-3.3184907"," 5.182971376","276.169025"," 5.133956e-62"," 8.445357e-60","ENSRNOG00000019639"
"51","-4.0869155"," 5.340940402","271.457161"," 5.461734e-61"," 8.878852e-59","ENSRNOG00000016286"
"52","-3.0707245"," 5.511884940","269.379305"," 1.549486e-60"," 2.433045e-58","ENSRNOG00000059947"
"53","-4.0330554"," 3.934727579","265.074389"," 1.344191e-59"," 2.041102e-57","ENSRNOG00000023109"
