"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"1"," 5.5124882"," 6.2549080289","549.251939","1.831150e-121","4.217139e-118","ENSRNOG00000010921"
"2"," 5.8484982"," 6.7249786097","545.786328","1.039062e-120","2.051108e-117","ENSRNOG00000031916"
"3"," 4.9551457"," 4.9727390470","526.224908","1.871742e-116","2.873748e-113","ENSRNOG00000019132"
"4"," 4.7894735"," 5.1036140035","494.515813","1.483309e-109","1.205669e-106","ENSRNOG00000005153"
"5"," 4.5238975"," 5.0234593505","483.574554","3.563975e-107","2.462350e-104","ENSRNOG00000005096"
"6"," 7.4004328"," 5.1963377816","465.524604","3.017570e-103","1.812904e-100","ENSRNOG00000051880"
"7"," 8.5044363"," 4.6473922206","460.854521","3.132803e-102"," 1.546038e-99","ENSRNOG00000056213"
"8"," 3.9639964"," 5.5466588096","450.694475","5.093060e-100"," 2.270191e-97","ENSRNOG00000013110"
"9"," 4.5429174"," 5.8888743117","445.809666"," 5.889217e-99"," 2.465976e-96","ENSRNOG00000020737"
"10"," 4.5300003"," 6.1464053669","431.517871"," 7.594950e-96"," 2.232915e-93","ENSRNOG00000002874"
"11"," 8.5161756"," 5.2038255913","427.463509"," 5.793737e-95"," 1.667872e-92","ENSRNOG00000024390"
"12"," 4.9392191"," 5.6847430196","425.339057"," 1.680176e-94"," 4.643333e-92","ENSRNOG00000050233"
"13"," 4.1664491"," 5.7354665421","404.795715"," 4.977177e-90"," 1.058071e-87","ENSRNOG00000046621"
"14"," 5.0620795"," 5.7271630890","403.464315"," 9.700741e-90"," 2.030983e-87","ENSRNOG00000019671"
"15"," 4.0858391"," 4.3889891626","401.041547"," 3.267410e-89"," 6.738668e-87","ENSRNOG00000007164"
"16"," 7.3260941"," 4.6954756233","395.350732"," 5.662869e-88"," 1.057426e-85","ENSRNOG00000004482"
"17"," 5.3967659"," 4.5551505080","395.322503"," 5.743567e-88"," 1.058195e-85","ENSRNOG00000053469"
"18"," 6.4444367"," 4.9559494365","393.445411"," 1.471687e-87"," 2.675759e-85","ENSRNOG00000050071"
"19"," 5.7990876"," 5.8015888268","387.268452"," 3.254946e-86"," 5.484981e-84","ENSRNOG00000008652"
"20"," 4.1747322"," 5.1982529845","378.500688"," 2.638680e-84"," 4.239684e-82","ENSRNOG00000009163"
"21"," 4.6363671"," 5.4733353150","376.875595"," 5.959372e-84"," 9.465127e-82","ENSRNOG00000055096"
"22"," 4.4142915"," 6.6508333000","369.886689"," 1.980913e-82"," 2.975245e-80","ENSRNOG00000007315"
"23"," 4.9614315"," 4.1944299887","369.517549"," 2.383630e-82"," 3.541613e-80","ENSRNOG00000024008"
"24","10.2211370"," 6.9264516884","367.651655"," 6.074435e-82"," 8.743390e-80","ENSRNOG00000008707"
"25"," 4.4682091"," 7.4916655320","366.484833"," 1.090347e-81"," 1.553238e-79","ENSRNOG00000016486"
"26"," 7.2913612"," 5.7077284245","364.775618"," 2.568773e-81"," 3.585384e-79","ENSRNOG00000005807"
"27"," 4.9855010"," 6.9849580908","364.196180"," 3.434728e-81"," 4.746108e-79","ENSRNOG00000039994"
"28"," 5.9311924"," 6.0280622043","363.473093"," 4.935577e-81"," 6.752456e-79","ENSRNOG00000005902"
"29"," 3.7974702"," 6.0495211006","360.403932"," 2.299477e-80"," 3.084871e-78","ENSRNOG00000014154"
"30"," 7.6889285"," 5.6472346817","359.837311"," 3.054984e-80"," 4.020359e-78","ENSRNOG00000021555"
"31"," 5.1185796"," 7.5768543181","358.286691"," 6.647442e-80"," 8.392918e-78","ENSRNOG00000002871"
"32"," 6.3780048"," 4.9834625428","358.087806"," 7.344493e-80"," 9.142901e-78","ENSRNOG00000007219"
"33"," 7.1256002"," 3.0219817082","357.947655"," 7.879154e-80"," 9.720907e-78","ENSRNOG00000054385"
"34"," 3.8014882"," 7.0329264274","355.887613"," 2.213393e-79"," 2.682866e-77","ENSRNOG00000054446"
"35"," 7.6173950"," 6.6965843008","354.813914"," 3.791942e-79"," 4.516988e-77","ENSRNOG00000015895"
"36"," 4.0089479"," 6.4446936889","346.745830"," 2.166659e-77"," 2.302992e-75","ENSRNOG00000018009"
"37"," 7.4848587"," 4.3067526245","345.814554"," 3.456171e-77"," 3.645601e-75","ENSRNOG00000001704"
"38"," 6.5930673"," 6.0137991183","344.141779"," 7.996146e-77"," 8.307575e-75","ENSRNOG00000012939"
"39"," 3.2253394"," 5.3060065921","340.345774"," 5.364969e-76"," 5.450966e-74","ENSRNOG00000014762"
"40"," 4.0821537"," 5.3699737453","337.864073"," 1.862266e-75"," 1.851280e-73","ENSRNOG00000004996"
"41"," 6.7220473"," 5.5107435130","336.414381"," 3.852713e-75"," 3.749069e-73","ENSRNOG00000001143"
"42"," 4.1468890"," 6.5018649233","335.381206"," 6.468176e-75"," 6.206754e-73","ENSRNOG00000032735"
"43"," 4.2441212"," 4.6858394457","334.671532"," 9.232997e-75"," 8.798728e-73","ENSRNOG00000018969"
"44"," 4.1394124"," 4.3562509645","330.887608"," 6.158373e-74"," 5.673094e-72","ENSRNOG00000002241"
"45"," 3.5554591"," 5.9258556348","330.426946"," 7.758862e-74"," 7.100129e-72","ENSRNOG00000020488"
"46"," 3.5542584"," 5.4767869508","326.532837"," 5.469555e-73"," 4.876020e-71","ENSRNOG00000015676"
"47"," 5.1300841"," 3.3756345371","320.241335"," 1.283315e-71"," 1.108303e-69","ENSRNOG00000005034"
"48"," 6.4035600"," 5.2576925459","319.822033"," 1.583676e-71"," 1.359207e-69","ENSRNOG00000060356"
