"","logFC","logCPM","LR","PValue","FDR","ENSEMBL"
"1","6.7593342"," 5.297481388","722.960425","3.040343e-159","4.201146e-155","ENSRNOG00000041744"
"2","6.0728525"," 5.220385860","592.176267","8.424451e-131","2.910227e-127","ENSRNOG00000032729"
"3","6.3400745"," 5.230121154","500.369804","7.897842e-111","1.212582e-107","ENSRNOG00000060103"
"4","6.5144789"," 4.109602161","473.784797","4.810345e-105","5.539112e-102","ENSRNOG00000011892"
"5","5.3571882"," 6.600259403","452.292363","2.286845e-100"," 1.974976e-97","ENSRNOG00000019328"
"6","4.1953999"," 5.640270735","409.501055"," 4.706892e-91"," 3.251991e-88","ENSRNOG00000028822"
"7","5.6252042"," 4.246327010","404.619293"," 5.437344e-90"," 3.577772e-87","ENSRNOG00000025946"
"8","4.5083709"," 4.804502079","399.531994"," 6.963280e-89"," 4.183418e-86","ENSRNOG00000027245"
"9","6.5205117"," 8.702775688","398.054052"," 1.460648e-88"," 8.409681e-86","ENSRNOG00000004290"
"10","4.6908025"," 6.396506394","397.117042"," 2.336275e-88"," 1.241641e-85","ENSRNOG00000007393"
"11","5.0137275"," 4.016240317","396.892503"," 2.614593e-88"," 1.338091e-85","ENSRNOG00000017893"
"12","5.0747743"," 6.934009998","395.279221"," 5.869538e-88"," 2.896617e-85","ENSRNOG00000018358"
"13","4.9227912"," 5.715125020","364.944551"," 2.360164e-81"," 9.317929e-79","ENSRNOG00000012181"
"14","6.2722032"," 7.716172726","350.714919"," 2.961122e-78"," 9.299268e-76","ENSRNOG00000060179"
"15","4.8003978"," 7.000711049","346.077990"," 3.028491e-77"," 9.299488e-75","ENSRNOG00000013971"
"16","6.4992159"," 8.450266328","331.872985"," 3.757096e-74"," 1.104586e-71","ENSRNOG00000059660"
"17","4.8680263"," 7.599562853","323.753425"," 2.204645e-72"," 5.973290e-70","ENSRNOG00000010362"
"18","4.5455413"," 4.374944004","313.736534"," 3.351671e-70"," 8.270249e-68","ENSRNOG00000012886"
"19","4.5571493"," 4.404299959","311.097380"," 1.259416e-69"," 3.053089e-67","ENSRNOG00000059059"
"20","6.0459374"," 3.216806114","310.831772"," 1.438897e-69"," 3.428047e-67","ENSRNOG00000033844"
"21","6.1134147"," 2.968723850","310.488363"," 1.709379e-69"," 4.003424e-67","ENSRNOG00000059277"
"22","6.4857438"," 3.708899683","303.680343"," 5.199536e-68"," 1.177823e-65","ENSRNOG00000029211"
"23","4.6100544"," 3.559785546","292.743462"," 1.255423e-65"," 2.668837e-63","ENSRNOG00000015346"
"24","5.5372105"," 4.988774462","292.708668"," 1.277530e-65"," 2.674684e-63","ENSRNOG00000045821"
"25","6.3548211"," 2.806304152","292.353388"," 1.526797e-65"," 3.148848e-63","ENSRNOG00000056115"
"26","4.5591333"," 3.597176764","288.595920"," 1.005762e-64"," 2.014147e-62","ENSRNOG00000017917"
"27","5.4929655"," 8.569148977","286.770073"," 2.513863e-64"," 4.824522e-62","ENSRNOG00000046005"
"28","7.3989058"," 2.944435805","286.541629"," 2.819158e-64"," 5.336318e-62","ENSRNOG00000025615"
"29","6.2489667"," 3.971592675","285.905782"," 3.878564e-64"," 7.145866e-62","ENSRNOG00000045772"
"30","4.9890922"," 7.707549821","284.048459"," 9.848929e-64"," 1.790691e-61","ENSRNOG00000010830"
"31","5.9390566"," 3.576836979","281.735876"," 3.142843e-63"," 5.567667e-61","ENSRNOG00000047027"
"32","5.5609611"," 3.029377782","276.988604"," 3.402859e-62"," 5.877588e-60","ENSRNOG00000019920"
"33","5.8275081"," 3.578906934","276.742701"," 3.849750e-62"," 6.567389e-60","ENSRNOG00000028896"
"34","6.0747027"," 3.571101810","276.442098"," 4.476535e-62"," 7.543508e-60","ENSRNOG00000009031"
"35","3.9327586"," 4.138507462","270.269556"," 9.911989e-61"," 1.592603e-58","ENSRNOG00000018651"
"36","5.9471324"," 9.621142452","270.076200"," 1.092199e-60"," 1.734714e-58","ENSRNOG00000018991"
"37","3.6411654"," 5.583058453","266.691120"," 5.971472e-60"," 9.271213e-58","ENSRNOG00000034198"
"38","7.7295845"," 2.335092292","265.507137"," 1.081781e-59"," 1.660894e-57","ENSRNOG00000053633"
"39","7.4044346"," 3.913417903","264.837405"," 1.513959e-59"," 2.249450e-57","ENSRNOG00000017198"
"40","6.2005543"," 3.783030032","264.814369"," 1.531563e-59"," 2.251398e-57","ENSRNOG00000022067"
"41","4.3625914"," 5.070129839","258.752872"," 3.208948e-58"," 4.618880e-56","ENSRNOG00000014333"
"42","6.2587473"," 4.814303327","256.165930"," 1.175643e-57"," 1.640912e-55","ENSRNOG00000007600"
"43","6.2440802"," 8.110354211","255.979995"," 1.290646e-57"," 1.783414e-55","ENSRNOG00000046667"
"44","5.3560604"," 5.841100304","255.082984"," 2.024636e-57"," 2.742787e-55","ENSRNOG00000007102"
"45","5.9869118"," 4.183658129","243.168053"," 8.015801e-55"," 9.801977e-53","ENSRNOG00000006076"
"46","4.6133133"," 4.149753535","240.471189"," 3.104314e-54"," 3.730035e-52","ENSRNOG00000001514"
"47","6.3516017"," 4.130950922","225.734931"," 5.075984e-51"," 5.566662e-49","ENSRNOG00000005705"
"48","4.9180588"," 3.395472453","224.042455"," 1.187563e-50"," 1.254065e-48","ENSRNOG00000043182"
"49","6.4689470"," 3.174865734","223.290877"," 1.732140e-50"," 1.799602e-48","ENSRNOG00000002917"
"50","5.7902230"," 2.581987325","221.361712"," 4.564189e-50"," 4.671701e-48","ENSRNOG00000038496"
"51","5.1215008"," 8.557102398","216.359184"," 5.630771e-49"," 5.518156e-47","ENSRNOG00000038047"
"52","5.2343662"," 6.119424460","214.759850"," 1.257348e-48"," 1.206530e-46","ENSRNOG00000008676"
"53","6.6610179"," 6.746433877","214.368397"," 1.530562e-48"," 1.448583e-46","ENSRNOG00000003443"
"54","5.3040791"," 8.815754422","213.138620"," 2.838779e-48"," 2.632634e-46","ENSRNOG00000043098"
"55","6.5312461"," 8.409937588","212.908706"," 3.186315e-48"," 2.935234e-46","ENSRNOG00000020165"
"56","5.4751698"," 2.449727986","210.465099"," 1.087414e-47"," 9.820839e-46","ENSRNOG00000019902"
"57","3.0786041"," 4.366430707","209.228919"," 2.023463e-47"," 1.803884e-45","ENSRNOG00000007462"
"58","6.5228596"," 5.872464259","208.897650"," 2.389847e-47"," 2.116853e-45","ENSRNOG00000017130"
"59","6.7782469","11.531003432","205.409912"," 1.378302e-46"," 1.205404e-44","ENSRNOG00000020369"
"60","7.6856295"," 2.876901749","203.546461"," 3.515182e-46"," 3.016943e-44","ENSRNOG00000012557"
"61","4.6470736"," 4.912333786","200.112097"," 1.974103e-45"," 1.643262e-43","ENSRNOG00000060329"
"62","4.7846070"," 9.288714535","197.401104"," 7.708808e-45"," 6.121857e-43","ENSRNOG00000042499"
"63","6.5688148"," 8.584164006","196.525837"," 1.196753e-44"," 9.342788e-43","ENSRNOG00000019584"
"64","6.5903237","11.314021770","194.844406"," 2.785928e-44"," 2.138664e-42","ENSRNOG00000010262"
"65","6.4570057"," 7.919180941","194.250375"," 3.755073e-44"," 2.850967e-42","ENSRNOG00000009073"
"66","5.8176336"," 3.058648791","192.354795"," 9.735236e-44"," 7.193662e-42","ENSRNOG00000047894"
"67","3.9337432"," 3.932341028","188.079160"," 8.348720e-43"," 5.855970e-41","ENSRNOG00000000614"
"68","6.7285827","10.506202940","187.953977"," 8.890906e-43"," 6.204774e-41","ENSRNOG00000061299"
"69","4.6953316"," 9.429049063","187.774610"," 9.729719e-43"," 6.722263e-41","ENSRNOG00000049075"
"70","6.4711648"," 6.722767788","186.617816"," 1.740295e-42"," 1.190465e-40","ENSRNOG00000009436"
"71","5.8569854"," 5.500319365","185.869078"," 2.535555e-42"," 1.725926e-40","ENSRNOG00000011649"
"72","6.0818494"," 4.539686528","183.448156"," 8.562222e-42"," 5.633942e-40","ENSRNOG00000006963"
"73","3.8435529"," 3.017523157","183.328538"," 9.092879e-42"," 5.954758e-40","ENSRNOG00000012634"
"74","3.1354351"," 4.701585645","181.121002"," 2.758444e-41"," 1.756506e-39","ENSRNOG00000007345"
"75","6.0807052"," 4.717694924","180.607397"," 3.571101e-41"," 2.263554e-39","ENSRNOG00000043419"
"76","4.7851398"," 2.084615028","179.629614"," 5.838362e-41"," 3.633986e-39","ENSRNOG00000000017"
"77","2.6370318"," 4.696013197","179.467525"," 6.334061e-41"," 3.924845e-39","ENSRNOG00000017857"
"78","5.6239125"," 7.638452145","178.974415"," 8.116161e-41"," 4.984405e-39","ENSRNOG00000000033"
"79","6.6318069"," 3.886854525","178.755526"," 9.060344e-41"," 5.539638e-39","ENSRNOG00000028114"
"80","4.1095842"," 7.784533249","177.989502"," 1.331702e-40"," 8.035569e-39","ENSRNOG00000017854"
"81","6.2258944"," 1.932965306","177.400322"," 1.790845e-40"," 1.067502e-38","ENSRNOG00000027936"
"82","4.8088226"," 5.301408140","175.821289"," 3.961508e-40"," 2.319497e-38","ENSRNOG00000017260"
"83","6.5860319"," 8.084761742","174.024714"," 9.776592e-40"," 5.605516e-38","ENSRNOG00000013932"
"84","6.4974823"," 1.758649564","173.222958"," 1.463113e-39"," 8.354255e-38","ENSRNOG00000002429"
"85","6.5922186"," 5.577281031","170.946801"," 4.595989e-39"," 2.602761e-37","ENSRNOG00000050121"
"86","6.9195560"," 1.641930129","169.948054"," 7.594725e-39"," 4.283425e-37","ENSRNOG00000056648"
"87","6.3196380"," 5.710518343","168.410941"," 1.645289e-38"," 9.204291e-37","ENSRNOG00000015903"
"88","6.8794297","10.315139825","167.950942"," 2.073561e-38"," 1.150701e-36","ENSRNOG00000040350"
"89","5.7991298"," 6.956345581","167.579384"," 2.499625e-38"," 1.376089e-36","ENSRNOG00000021248"
"90","3.8038067"," 5.928355316","166.374433"," 4.582214e-38"," 2.483021e-36","ENSRNOG00000014936"
"91","3.7739569"," 2.317736926","164.447241"," 1.207981e-37"," 6.419954e-36","ENSRNOG00000019217"
"92","6.2127661"," 3.877827135","163.742172"," 1.722209e-37"," 9.083011e-36","ENSRNOG00000015403"
"93","6.2852280"," 8.326005868","163.516446"," 1.929290e-37"," 1.009808e-35","ENSRNOG00000000167"
"94","5.7349795"," 3.081164468","162.568188"," 3.108546e-37"," 1.614808e-35","ENSRNOG00000003927"
"95","6.0293267"," 7.308922966","162.276282"," 3.600223e-37"," 1.863217e-35","ENSRNOG00000019440"
"96","2.9558474"," 6.060365860","162.259017"," 3.631627e-37"," 1.872456e-35","ENSRNOG00000011814"
"97","5.6118223"," 4.843254102","161.072487"," 6.596712e-37"," 3.363593e-35","ENSRNOG00000015948"
"98","6.5928342"," 5.481529700","161.044029"," 6.691831e-37"," 3.399549e-35","ENSRNOG00000036802"
"99","4.2148930"," 2.067960168","157.630439"," 3.727284e-36"," 1.839414e-34","ENSRNOG00000060061"
"100","5.6187114"," 3.999860809","156.521544"," 6.511783e-36"," 3.190774e-34","ENSRNOG00000009079"
"101","3.3420649"," 4.823670164","155.655783"," 1.006669e-35"," 4.829916e-34","ENSRNOG00000019556"
"102","3.3217513"," 8.030672527","155.627155"," 1.021276e-35"," 4.883040e-34","ENSRNOG00000005387"
"103","4.1294634"," 4.810255651","155.205574"," 1.262611e-35"," 5.995451e-34","ENSRNOG00000002950"
"104","5.9927009"," 4.850067322","153.998204"," 2.318042e-35"," 1.085787e-33","ENSRNOG00000011353"
"105","5.4303022"," 6.122644656","153.191481"," 3.478766e-35"," 1.596996e-33","ENSRNOG00000003031"
"106","5.1953748"," 5.855155651","152.845434"," 4.140504e-35"," 1.888234e-33","ENSRNOG00000007805"
"107","3.1877045"," 4.555150508","152.509415"," 4.903324e-35"," 2.228754e-33","ENSRNOG00000053469"
"108","2.3837059"," 4.841777755","152.406539"," 5.163861e-35"," 2.339483e-33","ENSRNOG00000001501"
"109","6.4131447"," 7.368414243","152.011323"," 6.300154e-35"," 2.835685e-33","ENSRNOG00000003537"
"110","4.9183363"," 2.935848005","151.748879"," 7.189699e-35"," 3.215122e-33","ENSRNOG00000008936"
"111","6.1507703"," 2.579436977","151.472498"," 8.262602e-35"," 3.659379e-33","ENSRNOG00000008979"
"112","6.5847958"," 7.227641503","150.623930"," 1.266442e-34"," 5.555460e-33","ENSRNOG00000006911"
"113","5.4512571"," 3.404313560","150.581790"," 1.293588e-34"," 5.656581e-33","ENSRNOG00000018266"
"114","4.5031916"," 2.833805440","150.370764"," 1.438534e-34"," 6.270556e-33","ENSRNOG00000005970"
"115","3.8480786"," 6.941255546","150.117793"," 1.633853e-34"," 7.055181e-33","ENSRNOG00000056038"
"116","6.3197042"," 3.434025401","149.633685"," 2.084626e-34"," 8.973634e-33","ENSRNOG00000004870"
"117","6.5880000"," 5.017191127","149.470578"," 2.262977e-34"," 9.651178e-33","ENSRNOG00000009797"
"118","6.1236700"," 6.687238688","148.958940"," 2.927627e-34"," 1.240919e-32","ENSRNOG00000060130"
"119","3.5655199"," 3.027282021","148.949544"," 2.941506e-34"," 1.242989e-32","ENSRNOG00000009157"
"120","4.7883628"," 3.078808904","148.934829"," 2.963371e-34"," 1.248411e-32","ENSRNOG00000016603"
"121","3.5436922"," 4.745721822","148.666460"," 3.391940e-34"," 1.422977e-32","ENSRNOG00000046086"
"122","6.5617588","14.156403532","148.460877"," 3.761722e-34"," 1.570377e-32","ENSRNOG00000002889"
"123","3.7655048"," 6.417259207","147.458506"," 6.230179e-34"," 2.562161e-32","ENSRNOG00000003703"
"124","3.6584683"," 4.955949436","146.732118"," 8.980321e-34"," 3.639005e-32","ENSRNOG00000050071"
"125","3.9941551"," 5.257692546","146.266971"," 1.134953e-33"," 4.532594e-32","ENSRNOG00000060356"
"126","2.3113760"," 4.715969519","146.202626"," 1.172315e-33"," 4.654899e-32","ENSRNOG00000012349"
"127","4.6621806"," 5.775921715","145.590019"," 1.595769e-33"," 6.318146e-32","ENSRNOG00000010098"
"128","4.7492329"," 5.668049530","145.263881"," 1.880487e-33"," 7.424161e-32","ENSRNOG00000027787"
"129","3.9560025"," 2.544323530","145.235792"," 1.907266e-33"," 7.508433e-32","ENSRNOG00000001414"
"130","6.9176805"," 5.654003676","145.215833"," 1.926526e-33"," 7.562708e-32","ENSRNOG00000029286"
"131","6.1370221"," 7.851882458","145.176593"," 1.964959e-33"," 7.691728e-32","ENSRNOG00000015682"
"132","4.6239051"," 5.203825591","145.059498"," 2.084266e-33"," 8.135704e-32","ENSRNOG00000024390"
"133","6.3759475"," 5.184139794","144.770596"," 2.410542e-33"," 9.330214e-32","ENSRNOG00000000335"
"134","3.7990849"," 5.299088261","144.560022"," 2.680106e-33"," 1.034461e-31","ENSRNOG00000060846"
"135","4.7883166"," 1.760016104","144.252504"," 3.128852e-33"," 1.204303e-31","ENSRNOG00000046655"
"136","6.0426199"," 1.643692650","143.555525"," 4.443955e-33"," 1.682372e-31","ENSRNOG00000003452"
"137","4.5924053"," 1.510576524","142.905180"," 6.165424e-33"," 2.327700e-31","ENSRNOG00000016544"
"138","5.8538670"," 2.567896630","142.864710"," 6.292330e-33"," 2.369139e-31","ENSRNOG00000002365"
"139","4.8742290"," 1.908697661","142.849219"," 6.341597e-33"," 2.381201e-31","ENSRNOG00000016853"
"140","3.9067811"," 3.541266800","142.369371"," 8.074524e-33"," 3.023679e-31","ENSRNOG00000014963"
"141","2.4322312"," 7.209819694","141.984264"," 9.802168e-33"," 3.650845e-31","ENSRNOG00000014997"
"142","4.5204187"," 2.076155568","141.720802"," 1.119257e-32"," 4.135267e-31","ENSRNOG00000010473"
"143","6.8503748"," 3.516577267","141.515524"," 1.241126e-32"," 4.573302e-31","ENSRNOG00000045889"
"144","4.6914231"," 5.272604962","141.348024"," 1.350336e-32"," 4.949321e-31","ENSRNOG00000007546"
"145","4.5382649"," 1.998259616","141.105428"," 1.525769e-32"," 5.577533e-31","ENSRNOG00000009686"
"146","5.3239041"," 4.415044508","141.018323"," 1.594173e-32"," 5.812213e-31","ENSRNOG00000015232"
"147","6.4013147"," 6.364400043","140.759585"," 1.815988e-32"," 6.603507e-31","ENSRNOG00000018241"
"148","5.9257729"," 4.946975305","140.740972"," 1.833088e-32"," 6.648190e-31","ENSRNOG00000008356"
"149","4.4055109"," 2.574796333","140.719689"," 1.852837e-32"," 6.702225e-31","ENSRNOG00000017208"
"150","4.2537922"," 3.457019552","140.504129"," 2.065255e-32"," 7.451095e-31","ENSRNOG00000019536"
"151","4.9905125"," 2.201405045","140.319014"," 2.267009e-32"," 8.157691e-31","ENSRNOG00000006122"
"152","5.5033561"," 5.595228698","140.302616"," 2.285805e-32"," 8.203960e-31","ENSRNOG00000012619"
"153","2.5151490"," 6.254908029","140.221165"," 2.381498e-32"," 8.503241e-31","ENSRNOG00000010921"
"154","4.7787854"," 3.991879319","140.163522"," 2.451633e-32"," 8.731100e-31","ENSRNOG00000047098"
"155","3.4299824"," 3.709756183","139.819225"," 2.915717e-32"," 1.035717e-30","ENSRNOG00000018716"
"156","5.4709946"," 2.812683158","139.738278"," 3.037013e-32"," 1.073285e-30","ENSRNOG00000033496"
"157","6.5937936","12.649113967","138.918525"," 4.588952e-32"," 1.613490e-30","ENSRNOG00000058105"
"158","3.5319132"," 5.972304878","138.071949"," 7.028364e-32"," 2.458682e-30","ENSRNOG00000016316"
