"","x"
"1","ENSRNOG00000042224"
"2","ENSRNOG00000059947"
"3","ENSRNOG00000014481"
"4","ENSRNOG00000024705"
"5","ENSRNOG00000046540"
"6","ENSRNOG00000024384"
"7","ENSRNOG00000031612"
"8","ENSRNOG00000008638"
"9","ENSRNOG00000001973"
"10","ENSRNOG00000009921"
"11","ENSRNOG00000001980"
"12","ENSRNOG00000012843"
"13","ENSRNOG00000001143"
"14","ENSRNOG00000008855"
"15","ENSRNOG00000020451"
"16","ENSRNOG00000016496"
"17","ENSRNOG00000019573"
"18","ENSRNOG00000014659"
"19","ENSRNOG00000046307"
"20","ENSRNOG00000037865"
"21","ENSRNOG00000058271"
"22","ENSRNOG00000017120"
"23","ENSRNOG00000016437"
"24","ENSRNOG00000012543"
"25","ENSRNOG00000027797"
"26","ENSRNOG00000004242"
"27","ENSRNOG00000018445"
"28","ENSRNOG00000017130"
"29","ENSRNOG00000009741"
"30","ENSRNOG00000009572"
"31","ENSRNOG00000028926"
"32","ENSRNOG00000011612"
"33","ENSRNOG00000007100"
"34","ENSRNOG00000001865"
"35","ENSRNOG00000050761"
"36","ENSRNOG00000001385"
"37","ENSRNOG00000002342"
"38","ENSRNOG00000017977"
"39","ENSRNOG00000046007"
"40","ENSRNOG00000019057"
"41","ENSRNOG00000003763"
"42","ENSRNOG00000054077"
"43","ENSRNOG00000021713"
"44","ENSRNOG00000042771"
"45","ENSRNOG00000000456"
"46","ENSRNOG00000019100"
"47","ENSRNOG00000021316"
"48","ENSRNOG00000006623"
"49","ENSRNOG00000011821"
"50","ENSRNOG00000010899"
"51","ENSRNOG00000052604"
"52","ENSRNOG00000018402"
"53","ENSRNOG00000003537"
"54","ENSRNOG00000009797"
"55","ENSRNOG00000014970"
"56","ENSRNOG00000023856"
"57","ENSRNOG00000019708"
"58","ENSRNOG00000008356"
"59","ENSRNOG00000015957"
"60","ENSRNOG00000016753"
"61","ENSRNOG00000001869"
"62","ENSRNOG00000061085"
"63","ENSRNOG00000030126"
"64","ENSRNOG00000011141"
"65","ENSRNOG00000015751"
"66","ENSRNOG00000060005"
"67","ENSRNOG00000012835"
"68","ENSRNOG00000011016"
"69","ENSRNOG00000022261"
"70","ENSRNOG00000015913"
"71","ENSRNOG00000007229"
"72","ENSRNOG00000028844"
"73","ENSRNOG00000019424"
"74","ENSRNOG00000006911"
"75","ENSRNOG00000009778"
"76","ENSRNOG00000013069"
"77","ENSRNOG00000026488"
"78","ENSRNOG00000018241"
"79","ENSRNOG00000019372"
"80","ENSRNOG00000000969"
"81","ENSRNOG00000049991"
"82","ENSRNOG00000003049"
"83","ENSRNOG00000008600"
"84","ENSRNOG00000010325"
"85","ENSRNOG00000053040"
"86","ENSRNOG00000056524"
"87","ENSRNOG00000007892"
"88","ENSRNOG00000001943"
"89","ENSRNOG00000009339"
"90","ENSRNOG00000006523"
"91","ENSRNOG00000055295"
"92","ENSRNOG00000014896"
"93","ENSRNOG00000010350"
"94","ENSRNOG00000011659"
"95","ENSRNOG00000006122"
"96","ENSRNOG00000021560"
"97","ENSRNOG00000022499"
"98","ENSRNOG00000056688"
"99","ENSRNOG00000013876"
"100","ENSRNOG00000006280"
"101","ENSRNOG00000023708"
"102","ENSRNOG00000001261"
"103","ENSRNOG00000026120"
"104","ENSRNOG00000010466"
"105","ENSRNOG00000010929"
"106","ENSRNOG00000001640"
"107","ENSRNOG00000003653"
"108","ENSRNOG00000036742"
"109","ENSRNOG00000057867"
"110","ENSRNOG00000011781"
"111","ENSRNOG00000029055"
"112","ENSRNOG00000039473"
"113","ENSRNOG00000001053"
"114","ENSRNOG00000008103"
"115","ENSRNOG00000027037"
"116","ENSRNOG00000020625"
"117","ENSRNOG00000001692"
"118","ENSRNOG00000021405"
"119","ENSRNOG00000049937"
"120","ENSRNOG00000015233"
"121","ENSRNOG00000001396"
"122","ENSRNOG00000042912"
"123","ENSRNOG00000016505"
"124","ENSRNOG00000020317"
"125","ENSRNOG00000057290"
"126","ENSRNOG00000020525"
"127","ENSRNOG00000039980"
"128","ENSRNOG00000051912"
"129","ENSRNOG00000059330"
"130","ENSRNOG00000019481"
"131","ENSRNOG00000052310"
"132","ENSRNOG00000038933"
"133","ENSRNOG00000002705"
"134","ENSRNOG00000021177"
"135","ENSRNOG00000007869"
"136","ENSRNOG00000013679"
"137","ENSRNOG00000008569"
"138","ENSRNOG00000001592"
"139","ENSRNOG00000004234"
"140","ENSRNOG00000020607"
"141","ENSRNOG00000006824"
"142","ENSRNOG00000017597"
"143","ENSRNOG00000024277"
"144","ENSRNOG00000029500"
"145","ENSRNOG00000011688"
"146","ENSRNOG00000009438"
"147","ENSRNOG00000012110"
"148","ENSRNOG00000003104"
"149","ENSRNOG00000014064"
"150","ENSRNOG00000005828"
"151","ENSRNOG00000030145"
"152","ENSRNOG00000032778"
"153","ENSRNOG00000013280"
"154","ENSRNOG00000011680"
"155","ENSRNOG00000000277"
"156","ENSRNOG00000011763"
"157","ENSRNOG00000011158"
"158","ENSRNOG00000055790"
"159","ENSRNOG00000003468"
"160","ENSRNOG00000025110"
"161","ENSRNOG00000061147"
"162","ENSRNOG00000042785"
"163","ENSRNOG00000031782"
"164","ENSRNOG00000018735"
"165","ENSRNOG00000011592"
"166","ENSRNOG00000011300"
"167","ENSRNOG00000056174"
"168","ENSRNOG00000012892"
"169","ENSRNOG00000026065"
"170","ENSRNOG00000032381"
"171","ENSRNOG00000012751"
"172","ENSRNOG00000016271"
"173","ENSRNOG00000025518"
"174","ENSRNOG00000013586"
"175","ENSRNOG00000031766"
"176","ENSRNOG00000006860"
"177","ENSRNOG00000016544"
"178","ENSRNOG00000027911"
"179","ENSRNOG00000019290"
