"","x"
"1","ENSRNOG00000014659"
"2","ENSRNOG00000009572"
"3","ENSRNOG00000028926"
"4","ENSRNOG00000050761"
"5","ENSRNOG00000011821"
"6","ENSRNOG00000014970"
"7","ENSRNOG00000011141"
"8","ENSRNOG00000015751"
"9","ENSRNOG00000019372"
"10","ENSRNOG00000049991"
"11","ENSRNOG00000003049"
"12","ENSRNOG00000007892"
"13","ENSRNOG00000001943"
"14","ENSRNOG00000006523"
"15","ENSRNOG00000013876"
"16","ENSRNOG00000010466"
"17","ENSRNOG00000001640"
"18","ENSRNOG00000036742"
"19","ENSRNOG00000001053"
"20","ENSRNOG00000008103"
"21","ENSRNOG00000015233"
"22","ENSRNOG00000052310"
"23","ENSRNOG00000038933"
"24","ENSRNOG00000021177"
"25","ENSRNOG00000020607"
"26","ENSRNOG00000006824"
"27","ENSRNOG00000024277"
"28","ENSRNOG00000009438"
"29","ENSRNOG00000003104"
"30","ENSRNOG00000014064"
"31","ENSRNOG00000005828"
"32","ENSRNOG00000030145"
"33","ENSRNOG00000011680"
"34","ENSRNOG00000011763"
"35","ENSRNOG00000011158"
"36","ENSRNOG00000025110"
"37","ENSRNOG00000016271"
"38","ENSRNOG00000025518"
"39","ENSRNOG00000013586"
"40","ENSRNOG00000006860"
"41","ENSRNOG00000049955"
"42","ENSRNOG00000026616"
"43","ENSRNOG00000009043"
"44","ENSRNOG00000052080"
"45","ENSRNOG00000006314"
"46","ENSRNOG00000004560"
"47","ENSRNOG00000012457"
"48","ENSRNOG00000019249"
"49","ENSRNOG00000011809"
"50","ENSRNOG00000014375"
"51","ENSRNOG00000019959"
"52","ENSRNOG00000008919"
"53","ENSRNOG00000003815"
"54","ENSRNOG00000011076"
"55","ENSRNOG00000019868"
"56","ENSRNOG00000006509"
"57","ENSRNOG00000002800"
"58","ENSRNOG00000039405"
"59","ENSRNOG00000017396"
"60","ENSRNOG00000030629"
"61","ENSRNOG00000026914"
"62","ENSRNOG00000050325"
"63","ENSRNOG00000039656"
"64","ENSRNOG00000029450"
"65","ENSRNOG00000033923"
"66","ENSRNOG00000050156"
"67","ENSRNOG00000056358"
"68","ENSRNOG00000024651"
"69","ENSRNOG00000013658"
"70","ENSRNOG00000053334"
"71","ENSRNOG00000026928"
"72","ENSRNOG00000020829"
"73","ENSRNOG00000001082"
"74","ENSRNOG00000007114"
"75","ENSRNOG00000052707"
"76","ENSRNOG00000058316"
"77","ENSRNOG00000023861"
"78","ENSRNOG00000002468"
"79","ENSRNOG00000003494"
"80","ENSRNOG00000006956"
"81","ENSRNOG00000006784"
"82","ENSRNOG00000020345"
"83","ENSRNOG00000013343"
"84","ENSRNOG00000005697"
"85","ENSRNOG00000006369"
"86","ENSRNOG00000061731"
"87","ENSRNOG00000004518"
"88","ENSRNOG00000008289"
"89","ENSRNOG00000002425"
"90","ENSRNOG00000016292"
"91","ENSRNOG00000031997"
"92","ENSRNOG00000021031"
"93","ENSRNOG00000012058"
"94","ENSRNOG00000010867"
