"","x"
"1","ENSRNOG00000042224"
"2","ENSRNOG00000059947"
"3","ENSRNOG00000014481"
"4","ENSRNOG00000024705"
"5","ENSRNOG00000046540"
"6","ENSRNOG00000024384"
"7","ENSRNOG00000031612"
"8","ENSRNOG00000008638"
"9","ENSRNOG00000001973"
"10","ENSRNOG00000009921"
"11","ENSRNOG00000001980"
"12","ENSRNOG00000012843"
"13","ENSRNOG00000001143"
"14","ENSRNOG00000008855"
"15","ENSRNOG00000020451"
"16","ENSRNOG00000016496"
"17","ENSRNOG00000019573"
"18","ENSRNOG00000046307"
"19","ENSRNOG00000037865"
"20","ENSRNOG00000058271"
"21","ENSRNOG00000017120"
"22","ENSRNOG00000016437"
"23","ENSRNOG00000012543"
"24","ENSRNOG00000027797"
"25","ENSRNOG00000004242"
"26","ENSRNOG00000018445"
"27","ENSRNOG00000017130"
"28","ENSRNOG00000009741"
"29","ENSRNOG00000011612"
"30","ENSRNOG00000007100"
"31","ENSRNOG00000001865"
"32","ENSRNOG00000001385"
"33","ENSRNOG00000002342"
"34","ENSRNOG00000017977"
"35","ENSRNOG00000046007"
"36","ENSRNOG00000019057"
"37","ENSRNOG00000003763"
"38","ENSRNOG00000054077"
"39","ENSRNOG00000021713"
"40","ENSRNOG00000042771"
"41","ENSRNOG00000000456"
"42","ENSRNOG00000019100"
"43","ENSRNOG00000021316"
"44","ENSRNOG00000006623"
"45","ENSRNOG00000010899"
"46","ENSRNOG00000052604"
"47","ENSRNOG00000018402"
"48","ENSRNOG00000003537"
"49","ENSRNOG00000009797"
"50","ENSRNOG00000023856"
"51","ENSRNOG00000019708"
"52","ENSRNOG00000008356"
"53","ENSRNOG00000015957"
"54","ENSRNOG00000016753"
"55","ENSRNOG00000001869"
"56","ENSRNOG00000061085"
"57","ENSRNOG00000030126"
"58","ENSRNOG00000060005"
"59","ENSRNOG00000012835"
"60","ENSRNOG00000011016"
"61","ENSRNOG00000022261"
"62","ENSRNOG00000015913"
"63","ENSRNOG00000007229"
"64","ENSRNOG00000028844"
"65","ENSRNOG00000019424"
"66","ENSRNOG00000006911"
"67","ENSRNOG00000009778"
"68","ENSRNOG00000013069"
"69","ENSRNOG00000026488"
"70","ENSRNOG00000018241"
"71","ENSRNOG00000000969"
"72","ENSRNOG00000008600"
"73","ENSRNOG00000010325"
"74","ENSRNOG00000053040"
"75","ENSRNOG00000056524"
"76","ENSRNOG00000009339"
"77","ENSRNOG00000055295"
"78","ENSRNOG00000014896"
"79","ENSRNOG00000010350"
"80","ENSRNOG00000011659"
"81","ENSRNOG00000006122"
"82","ENSRNOG00000021560"
"83","ENSRNOG00000022499"
"84","ENSRNOG00000056688"
"85","ENSRNOG00000006280"
"86","ENSRNOG00000023708"
"87","ENSRNOG00000001261"
"88","ENSRNOG00000026120"
"89","ENSRNOG00000010929"
"90","ENSRNOG00000003653"
"91","ENSRNOG00000057867"
"92","ENSRNOG00000011781"
"93","ENSRNOG00000029055"
"94","ENSRNOG00000039473"
"95","ENSRNOG00000027037"
"96","ENSRNOG00000020625"
"97","ENSRNOG00000001692"
"98","ENSRNOG00000021405"
"99","ENSRNOG00000049937"
"100","ENSRNOG00000001396"
"101","ENSRNOG00000042912"
"102","ENSRNOG00000016505"
"103","ENSRNOG00000020317"
"104","ENSRNOG00000057290"
"105","ENSRNOG00000020525"
"106","ENSRNOG00000039980"
"107","ENSRNOG00000051912"
"108","ENSRNOG00000059330"
"109","ENSRNOG00000019481"
"110","ENSRNOG00000002705"
"111","ENSRNOG00000007869"
"112","ENSRNOG00000013679"
"113","ENSRNOG00000008569"
"114","ENSRNOG00000001592"
"115","ENSRNOG00000004234"
"116","ENSRNOG00000017597"
"117","ENSRNOG00000029500"
"118","ENSRNOG00000011688"
"119","ENSRNOG00000012110"
"120","ENSRNOG00000032778"
"121","ENSRNOG00000013280"
"122","ENSRNOG00000000277"
"123","ENSRNOG00000055790"
"124","ENSRNOG00000003468"
"125","ENSRNOG00000061147"
"126","ENSRNOG00000042785"
"127","ENSRNOG00000031782"
"128","ENSRNOG00000018735"
"129","ENSRNOG00000011592"
"130","ENSRNOG00000011300"
"131","ENSRNOG00000056174"
"132","ENSRNOG00000012892"
"133","ENSRNOG00000026065"
"134","ENSRNOG00000032381"
"135","ENSRNOG00000012751"
"136","ENSRNOG00000031766"
"137","ENSRNOG00000016544"
"138","ENSRNOG00000027911"
"139","ENSRNOG00000019290"
"140","ENSRNOG00000017118"
"141","ENSRNOG00000010800"
"142","ENSRNOG00000015394"
"143","ENSRNOG00000010067"
"144","ENSRNOG00000053889"
"145","ENSRNOG00000020013"
"146","ENSRNOG00000011705"
"147","ENSRNOG00000005551"
"148","ENSRNOG00000017283"
"149","ENSRNOG00000011892"
"150","ENSRNOG00000003873"
"151","ENSRNOG00000045626"
"152","ENSRNOG00000029938"
"153","ENSRNOG00000058386"
"154","ENSRNOG00000000938"
"155","ENSRNOG00000020350"
"156","ENSRNOG00000019271"
"157","ENSRNOG00000027936"
"158","ENSRNOG00000033026"
"159","ENSRNOG00000014164"
"160","ENSRNOG00000008761"
"161","ENSRNOG00000059215"
"162","ENSRNOG00000004749"
"163","ENSRNOG00000019859"
"164","ENSRNOG00000047647"
"165","ENSRNOG00000020636"
"166","ENSRNOG00000030515"
"167","ENSRNOG00000020679"
"168","ENSRNOG00000011119"
"169","ENSRNOG00000024650"
"170","ENSRNOG00000010423"
"171","ENSRNOG00000056834"
"172","ENSRNOG00000003028"
"173","ENSRNOG00000004284"
"174","ENSRNOG00000000522"
"175","ENSRNOG00000016550"
"176","ENSRNOG00000006030"
"177","ENSRNOG00000002607"
"178","ENSRNOG00000000239"
"179","ENSRNOG00000007203"
