"","x"
"1","ENSRNOG00000011892"
"2","ENSRNOG00000001973"
"3","ENSRNOG00000012843"
"4","ENSRNOG00000042224"
"5","ENSRNOG00000009921"
"6","ENSRNOG00000046540"
"7","ENSRNOG00000024705"
"8","ENSRNOG00000059947"
"9","ENSRNOG00000056524"
"10","ENSRNOG00000014481"
"11","ENSRNOG00000017120"
"12","ENSRNOG00000000456"
"13","ENSRNOG00000017130"
"14","ENSRNOG00000011612"
"15","ENSRNOG00000046007"
"16","ENSRNOG00000010325"
"17","ENSRNOG00000027936"
"18","ENSRNOG00000007229"
"19","ENSRNOG00000011781"
"20","ENSRNOG00000003537"
"21","ENSRNOG00000006911"
"22","ENSRNOG00000009797"
"23","ENSRNOG00000031612"
"24","ENSRNOG00000016544"
"25","ENSRNOG00000009686"
"26","ENSRNOG00000018241"
"27","ENSRNOG00000008356"
"28","ENSRNOG00000006122"
"29","ENSRNOG00000012543"
"30","ENSRNOG00000019573"
"31","ENSRNOG00000020451"
"32","ENSRNOG00000011053"
"33","ENSRNOG00000016753"
"34","ENSRNOG00000017027"
"35","ENSRNOG00000010350"
"36","ENSRNOG00000042771"
"37","ENSRNOG00000001143"
"38","ENSRNOG00000000457"
"39","ENSRNOG00000053040"
"40","ENSRNOG00000021713"
"41","ENSRNOG00000000969"
"42","ENSRNOG00000008855"
"43","ENSRNOG00000037865"
"44","ENSRNOG00000058271"
"45","ENSRNOG00000020625"
"46","ENSRNOG00000004882"
"47","ENSRNOG00000016496"
"48","ENSRNOG00000024384"
"49","ENSRNOG00000054077"
"50","ENSRNOG00000022261"
"51","ENSRNOG00000042785"
"52","ENSRNOG00000008638"
"53","ENSRNOG00000004242"
"54","ENSRNOG00000022499"
"55","ENSRNOG00000021405"
"56","ENSRNOG00000008761"
"57","ENSRNOG00000002342"
"58","ENSRNOG00000017237"
"59","ENSRNOG00000059330"
"60","ENSRNOG00000018445"
"61","ENSRNOG00000012835"
"62","ENSRNOG00000016812"
"63","ENSRNOG00000001692"
"64","ENSRNOG00000015913"
"65","ENSRNOG00000023708"
"66","ENSRNOG00000015794"
"67","ENSRNOG00000017908"
"68","ENSRNOG00000011659"
"69","ENSRNOG00000001396"
"70","ENSRNOG00000015304"
"71","ENSRNOG00000027037"
"72","ENSRNOG00000011592"
"73","ENSRNOG00000009339"
"74","ENSRNOG00000009778"
"75","ENSRNOG00000001385"
"76","ENSRNOG00000056688"
"77","ENSRNOG00000015581"
"78","ENSRNOG00000051912"
"79","ENSRNOG00000020013"
"80","ENSRNOG00000046307"
"81","ENSRNOG00000017424"
"82","ENSRNOG00000039754"
"83","ENSRNOG00000004284"
"84","ENSRNOG00000018735"
"85","ENSRNOG00000001980"
"86","ENSRNOG00000003338"
"87","ENSRNOG00000061085"
"88","ENSRNOG00000006623"
"89","ENSRNOG00000027797"
"90","ENSRNOG00000016437"
"91","ENSRNOG00000008219"
"92","ENSRNOG00000016505"
"93","ENSRNOG00000001156"
"94","ENSRNOG00000019100"
"95","ENSRNOG00000015957"
"96","ENSRNOG00000000938"
"97","ENSRNOG00000053948"
"98","ENSRNOG00000019708"
"99","ENSRNOG00000011119"
"100","ENSRNOG00000058645"
"101","ENSRNOG00000023856"
"102","ENSRNOG00000017977"
"103","ENSRNOG00000024824"
"104","ENSRNOG00000005960"
"105","ENSRNOG00000018254"
"106","ENSRNOG00000007203"
"107","ENSRNOG00000010899"
"108","ENSRNOG00000017127"
"109","ENSRNOG00000032778"
"110","ENSRNOG00000025300"
"111","ENSRNOG00000005451"
"112","ENSRNOG00000015394"
"113","ENSRNOG00000031782"
"114","ENSRNOG00000021207"
"115","ENSRNOG00000010067"
"116","ENSRNOG00000049937"
"117","ENSRNOG00000021316"
"118","ENSRNOG00000053889"
