"","x"
"1","ENSRNOG00000009686"
"2","ENSRNOG00000000457"
"3","ENSRNOG00000004882"
"4","ENSRNOG00000016812"
"5","ENSRNOG00000015304"
"6","ENSRNOG00000017424"
"7","ENSRNOG00000053948"
"8","ENSRNOG00000025300"
"9","ENSRNOG00000032840"
"10","ENSRNOG00000015991"
"11","ENSRNOG00000007206"
"12","ENSRNOG00000053317"
"13","ENSRNOG00000006527"
"14","ENSRNOG00000003183"
"15","ENSRNOG00000018111"
"16","ENSRNOG00000051257"
"17","ENSRNOG00000053795"
"18","ENSRNOG00000011421"
"19","ENSRNOG00000017496"
"20","ENSRNOG00000008082"
"21","ENSRNOG00000025848"
