"","x"
"1","Slc36a2"
"2","Ugt2a3"
"3","Aspg"
"4","Cyp2j10"
"5","Serpina3m"
"6","Ugt2b37"
"7","Rarres2"
"8","Sdc1"
"9","Abcd1"
"10","Adtrp"
"11","Abhd2"
"12","Psmb8"
"13","Rhd"
"14","Tdo2"
"15","Cldn3"
"16","Ptger3"
"17","Ccdc8"
"18","Nr0b2"
"19","Oplah"
"20","Spta1"
"21","Sptb"
"22","Aqp3"
"23","Gls2"
"24","Arhgef28"
"25","Aqp7"
"26","Ank1"
"27","Myo5c"
"28","Igf2bp1"
"29","Mcm3"
"30","Lcat"
"31","Cd81"
"32","Cyp2u1"
"33","Slc14a1"
"34","Adam2"
"35","Rcan2"
"36","Apol3"
"37","Cit"
"38","Tap1"
"39","Kif18b"
"40","Cyp3a18"
"41","Gjb2"
"42","Hormad2"
"43","Chpt1"
"44","Mcpt2"
"45","Capn6"
"46","Ctsc"
"47","Cpn2"
"48","Cenpu"
"49","Sesn2"
"50","Angptl3"
"51","Pole2"
"52","Sgo1"
"53","Cyp2c7"
"54","Aldh3a2"
"55","Lama1"
"56","Cyp2c6_v1-ps2"
"57","Agt"
"58","Espl1"
"59","Adamts16"
"60","Chaf1b"
"61","Tspan5"
"62","Tmem176a"
"63","Fam83d"
"64","Pnliprp1"
"65","Alpk3"
"66","Mospd3"
"67","Tmem160"
"68","Alox12"
"69","Lrp10"
"70","Cenpe"
"71","Tmem59"
"72","Plbd2"
"73","Dnah6"
"74","Acnat2"
"75","Psrc1"
"76","Glyctk"
"77","Chrna2"
"78","Rab7b"
"79","Btg1"
"80","Cd74"
"81","Ugt2b35"
"82","Pmp22"
"83","Fancd2"
"84","Cd302"
"85","Nit2"
"86","Tm4sf4"
"87","Ccdc33"
"88","Fam169a"
"89","Msi1"
"90","Kif2c"
"91","F13a1"
"92","Ran"
"93","Ctsf"
"94","Tnc"
"95","Agxt"
"96","Smpd1"
"97","Col22a1"
"98","RGD1311744"
"99","Sncaip"
"100","Psmc6"
"101","Bfsp2"
"102","Rpl28"
"103","Bub1"
"104","Fer1l6"
"105","Dnah11"
"106","Trpv5"
"107","Col6a4"
"108","Lgals12"
"109","Lypla2"
"110","Pdxk"
"111","Tmem98"
"112","Celsr3"
"113","Pik3c2b"
"114","Mgat2"
"115","Cyp8b1"
"116","Slc66a2"
"117","Lif"
"118","Vps4b"
"119","Prkcq"
"120","Hmcn1"
"121","Slc4a3"
"122","Csrp1"
"123","Ppp4r4"
"124","Slc30a1"
"125","Abca4"
"126","Flnc"
"127","Il2ra"
"128","Fam8a1"
"129","Psap"
"130","Col17a1"
"131","Neil3"
"132","Mmd2"
"133","Ttk"
"134","Wscd1"
"135","Pacs1"
"136","Ccl7"
"137","Tmem168"
"138","Sapcd2"
"139","Aox4"
"140","Col5a3"
"141","Naglu"
"142","Efs"
"143","Rab5if"
"144","Golt1b"
"145","Sema4d"
"146","Ccdc136"
"147","Misp"
"148","Pdzd4"
"149","Slc7a2"
"150","Cpne5"
"151","Rab44"
"152","Unc79"
"153","Adgrg3"
"154","Entrep1"
"155","Npr2"
"156","LOC120095726"
"157","Stmn2"
"158","Spint2"
"159","Pla2g15"
"160","Capn8"
"161","Sdk1"
"162","Cfap20dc"
"163","Derl1"
"164","Dclk3"
"165","Iqgap3"
"166","Tet1"
"167","Hadhb"
"168","Mns1"
"169","Cpd"
"170","Nup210l"
"171","Icam1"
"172","Aspdh"
"173","Slc9a5"
"174","Efcab11"
"175","Pecr"
"176","Surf1"
"177","Ckap2"
"178","Dennd1b"
"179","Ndufa6"
"180","Tapbp"
"181","Slc30a2"
"182","Lama3"
"183","Slc6a1"
"184","Ptprz1"
"185","Slc25a5"
"186","Cass4"
"187","Fbp1"
"188","Stkld1"
"189","Dclk2"
"190","Pcsk9"
"191","Ftcd"
"192","Marchf2"
"193","Col20a1"
"194","LOC100361907"
"195","Fmod"
"196","Cct8"
"197","Nfasc"
"198","Sytl1"
"199","Kcnt1"
"200","Slc12a5"
"201","Slit1"
"202","Ccdc152"
"203","Olfm4"
"204","Il1rl1"
"205","Mycbpap"
"206","Apoc2"
"207","Serpind1"
"208","Snord45a"
"209","Entpd3"
"210","Prdx4"
"211","Ostf1"
"212","Sox9"
"213","Paqr5"
"214","Smap2"
"215","Tcam1"
"216","P4ha3"
"217","Cnp"
"218","CYTB"
"219","Pkd1l2"
"220","Tm9sf2"
"221","Rgs6"
"222","Dnah17"
"223","Rab6b"
"224","Sspo"
"225","Fh"
"226","Clk3"
"227","Cpt1c"
"228","Ulk4"
