"","x"
"1","Cyp2j10"
"2","Sdc1"
"3","Adtrp"
"4","Rarres2"
"5","Ugt2b37"
"6","Cpn2"
"7","Gls2"
"8","Angptl3"
"9","Ugt2a3"
"10","Serpina3m"
"11","Ugt2b35"
"12","Aspg"
"13","Cit"
"14","Gjb2"
"15","Cd81"
"16","Ctsc"
"17","Lcat"
"18","Ebpl"
"19","Glyctk"
"20","Hormad2"
"21","Chpt1"
"22","Abhd2"
"23","Tm4sf4"
"24","Mcm3"
"25","Nit2"
"26","Pole2"
"27","Agt"
"28","Rhd"
"29","Hgfac"
"30","Tdo2"
"31","Ccdc136"
"32","Serpind1"
"33","Serpina10"
"34","Plbd2"
"35","Aldh3a2"
"36","Smpd1"
"37","Cldn3"
"38","Prkcq"
"39","Prdx4"
"40","Kif18b"
"41","Apol3"
"42","Psmb8"
"43","Kif2c"
"44","Tmem98"
"45","Cd302"
"46","S100a4"
"47","Bfsp2"
"48","LOC100361907"
"49","Apoc2"
"50","Spta1"
"51","Aqp3"
"52","Kif17"
"53","Agxt"
"54","Ctsf"
"55","Myo5c"
"56","F13a1"
"57","Slc14a1"
"58","Rab44"
"59","Fancd2"
"60","Clk3"
"61","Serpina11"
"62","Cyp4f18"
"63","Surf1"
"64","Espl1"
"65","Slc7a2"
"66","Cenpu"
"67","Tspan5"
"68","Nr0b2"
"69","Slc9a5"
"70","Aspdh"
"71","Sptb"
"72","Tmem59"
"73","Sapcd2"
"74","Ank1"
"75","Pc"
"76","Cyp3a18"
"77","Hsd17b10"
"78","Sytl1"
"79","Ptger3"
"80","Abcd1"
"81","Tram1"
"82","Retnlg"
"83","Cenpe"
"84","Atl2"
"85","Pecr"
"86","Adgrg3"
"87","Rcan2"
"88","Alpk3"
"89","Igf2bp1"
"90","Cass4"
"91","Sgo1"
"92","Mipep"
"93","Pcsk9"
"94","Tmem176a"
"95","Ftcd"
"96","Fam8a1"
"97","Chpf2"
"98","Tcam1"
"99","Tomm70"
"100","Fh"
"101","Uqcrc2"
"102","Mns1"
"103","Oplah"
"104","Ttk"
"105","Ccdc152"
"106","Tmed2"
"107","Mdh1"
"108","Alox12"
"109","Mcpt2"
"110","Chaf1b"
"111","Cyp2c7"
"112","Pdxk"
"113","Etfa"
"114","Mospd3"
"115","Mycbpap"
"116","Fam169a"
"117","Rab5if"
"118","Tmem168"
"119","Col5a3"
"120","Slc25a5"
"121","Acnat2"
"122","Cyp2c6_v1-ps2"
"123","Cyp8b1"
"124","Pkd1l3"
"125","Spcs3"
"126","Vps4b"
"127","Wscd1"
"128","Sema4d"
"129","Ndufa6"
"130","Cct8"
"131","Mgat2"
"132","Bckdha"
"133","Hdac11"
"134","Fbp1"
"135","Card11"
"136","Tapbp"
"137","Neil3"
"138","Serpina6"
"139","Col17a1"
"140","Trpv2"
"141","Ctsh"
"142","Skp1"
"143","Bub1"
"144","Olfm4"
"145","Il16"
"146","Tet1"
"147","Serp1"
"148","Ppp2r2a"
"149","Nup210l"
"150","Capn8"
"151","Vwa3a"
"152","Entrep1"
"153","Sesn2"
"154","Col6a4"
"155","Cd74"
"156","Lrp10"
"157","Lama3"
"158","Pdzd4"
"159","Abca4"
"160","Slit1"
"161","Naglu"
"162","Tm9sf2"
"163","Itm2b"
"164","Carmil3"
"165","Snai3"
"166","CYTB"
"167","Itk"
"168","Arhgef28"
"169","Stkld1"
"170","P4ha3"
"171","Hadhb"
"172","Npc1l1"
"173","Trpv5"
"174","Lypla2"
"175","Piwil4"
"176","Camk2b"
"177","Zbp1"
"178","Cacna1b"
"179","Cyc1"
"180","Celsr3"
"181","Psrc1"
"182","Stmn2"
"183","Derl1"
"184","Kcnt1"
"185","Slc36a2"
"186","Cpd"
"187","Pkd1l2"
"188","Pik3c2b"
"189","Ap3b2"
"190","Golt1b"
"191","Rpgrip1"
"192","Adgrb2"
"193","Ran"
"194","Pacs1"
"195","Ulk4"
"196","Ccdc8"
"197","Dclk3"
"198","Paqr5"
"199","Kcnc3"
"200","Arpp21"
"201","Slc66a2"
"202","Slc30a1"
"203","Pla2g15"
"204","Il2ra"
"205","Slc25a11"
"206","Ank2"
"207","Psma5"
"208","Srgap3"
"209","Spint2"
"210","Nfasc"
"211","Icam1"
"212","Ckap2"
"213","Gdpd2"
"214","Misp"
"215","Prss29"
"216","LOC120095726"
"217","Dnah17"
"218","Btg1"
"219","Cpne5"
"220","Dclk2"
"221","Ptprz1"
"222","Sox9"
"223","Ccl7"
"224","Psmc6"
"225","Marchf5"
"226","Camkmt"
"227","Iqgap3"
"228","Dnah1"
"229","Unc79"
"230","Csrp1"
"231","Lama1"
"232","Adgre4"
"233","Abca17"
"234","Adgrb1"
"235","Lgals12"
"236","Pmp22"
"237","Aox2"
"238","Dennd1b"
"239","Il1rl1"
"240","Dnah6"
"241","Hmcn1"
"242","Msi1"
"243","Slc30a2"
"244","Slc4a3"
"245","Ccdc27"
"246","Greb1"
"247","Sdk1"
"248","Ppp4r4"
"249","Nefl"
"250","Efs"
"251","Dnah11"
"252","Ccdc33"
"253","Rab6b"
"254","Rpl28"
"255","RGD1311744"
"256","Entpd3"
"257","Fam83d"
"258","Cyp2u1"
"259","Stmn4"
"260","RGD1560402"
"261","Lif"
"262","Them4"
"263","Tnc"
"264","Abcb9"
"265","Psma6"
"266","Pnliprp1"
"267","Cacna1a"
"268","LOC686087"
"269","Snap91"
"270","Tnr"
"271","Col20a1"
"272","Ppfia4"
"273","Adam2"
"274","Adamtsl1"
"275","Sema4f"
"276","Ostf1"
"277","Slc25a42"
"278","Sncaip"
"279","Col22a1"
"280","Myg1"
"281","Rab7b"
"282","Flnc"
"283","Psap"
"284","Slc6a11"
"285","Alg2"
"286","Aox4"
"287","Plxnb3"
"288","Cacnb1"
"289","Pctp"
"290","Cpt1c"
"291","Marchf2"
"292","Pdzd9"
"293","Ttll7"
"294","Mmd2"
"295","Grn"
"296","Egflam"
