"","x"
"1","Cyp2j10"
"2","Sdc1"
"3","Adtrp"
"4","Rarres2"
"5","Ugt2b37"
"6","Cpn2"
"7","Gls2"
"8","Angptl3"
"9","Ugt2a3"
"10","Serpina3m"
"11","Ugt2b35"
"12","Aspg"
"13","Cit"
"14","Gjb2"
"15","Cd81"
"16","Ctsc"
"17","Lcat"
"18","Glyctk"
"19","Hormad2"
"20","Chpt1"
"21","Abhd2"
"22","Tm4sf4"
"23","Mcm3"
"24","Nit2"
"25","Pole2"
"26","Agt"
"27","Rhd"
"28","Tdo2"
"29","Ccdc136"
"30","Serpind1"
"31","Plbd2"
"32","Aldh3a2"
"33","Smpd1"
"34","Cldn3"
"35","Prkcq"
"36","Prdx4"
"37","Kif18b"
"38","Apol3"
"39","Psmb8"
"40","Kif2c"
"41","Tmem98"
"42","Cd302"
"43","Bfsp2"
"44","LOC100361907"
"45","Apoc2"
"46","Spta1"
"47","Aqp3"
"48","Agxt"
"49","Ctsf"
"50","Myo5c"
"51","F13a1"
"52","Slc14a1"
"53","Rab44"
"54","Fancd2"
"55","Clk3"
"56","Surf1"
"57","Espl1"
"58","Slc7a2"
"59","Cenpu"
"60","Tspan5"
"61","Nr0b2"
"62","Slc9a5"
"63","Aspdh"
"64","Sptb"
"65","Tmem59"
"66","Sapcd2"
"67","Ank1"
"68","Cyp3a18"
"69","Sytl1"
"70","Ptger3"
"71","Abcd1"
"72","Cenpe"
"73","Pecr"
"74","Adgrg3"
"75","Rcan2"
"76","Alpk3"
"77","Igf2bp1"
"78","Cass4"
"79","Sgo1"
"80","Pcsk9"
"81","Tmem176a"
"82","Ftcd"
"83","Fam8a1"
"84","Tcam1"
"85","Fh"
"86","Mns1"
"87","Oplah"
"88","Ttk"
"89","Ccdc152"
"90","Alox12"
"91","Mcpt2"
"92","Chaf1b"
"93","Cyp2c7"
"94","Pdxk"
"95","Mospd3"
"96","Mycbpap"
"97","Fam169a"
"98","Rab5if"
"99","Tmem168"
"100","Col5a3"
"101","Slc25a5"
"102","Acnat2"
"103","Cyp2c6_v1-ps2"
"104","Cyp8b1"
"105","Vps4b"
"106","Wscd1"
"107","Sema4d"
"108","Ndufa6"
"109","Cct8"
"110","Mgat2"
"111","Fbp1"
"112","Tapbp"
"113","Neil3"
"114","Col17a1"
"115","Bub1"
"116","Olfm4"
"117","Tet1"
"118","Nup210l"
"119","Capn8"
"120","Entrep1"
"121","Sesn2"
"122","Col6a4"
"123","Cd74"
"124","Lrp10"
"125","Lama3"
"126","Pdzd4"
"127","Abca4"
"128","Slit1"
"129","Naglu"
"130","Tm9sf2"
"131","CYTB"
"132","Arhgef28"
"133","Stkld1"
"134","P4ha3"
"135","Hadhb"
"136","Trpv5"
"137","Lypla2"
"138","Celsr3"
"139","Psrc1"
"140","Stmn2"
"141","Derl1"
"142","Kcnt1"
"143","Slc36a2"
"144","Cpd"
"145","Pkd1l2"
"146","Pik3c2b"
"147","Golt1b"
"148","Ran"
"149","Pacs1"
"150","Ulk4"
"151","Ccdc8"
"152","Dclk3"
"153","Paqr5"
"154","Slc66a2"
"155","Slc30a1"
"156","Pla2g15"
"157","Il2ra"
"158","Spint2"
"159","Nfasc"
"160","Icam1"
"161","Ckap2"
"162","Misp"
"163","LOC120095726"
"164","Dnah17"
"165","Btg1"
"166","Cpne5"
"167","Dclk2"
"168","Ptprz1"
"169","Sox9"
"170","Ccl7"
"171","Psmc6"
"172","Iqgap3"
"173","Unc79"
"174","Csrp1"
"175","Lama1"
"176","Lgals12"
"177","Pmp22"
"178","Dennd1b"
"179","Il1rl1"
"180","Dnah6"
"181","Hmcn1"
"182","Msi1"
"183","Slc30a2"
"184","Slc4a3"
"185","Sdk1"
"186","Ppp4r4"
"187","Efs"
"188","Dnah11"
"189","Ccdc33"
"190","Rab6b"
"191","Rpl28"
"192","RGD1311744"
"193","Entpd3"
"194","Fam83d"
"195","Cyp2u1"
"196","Lif"
"197","Tnc"
"198","Pnliprp1"
"199","Col20a1"
"200","Adam2"
"201","Ostf1"
"202","Sncaip"
"203","Col22a1"
"204","Rab7b"
"205","Flnc"
"206","Psap"
"207","Aox4"
"208","Cpt1c"
"209","Marchf2"
"210","Mmd2"
