"","x"
"1","Ebpl"
"2","Hgfac"
"3","Serpina10"
"4","S100a4"
"5","Kif17"
"6","Serpina11"
"7","Cyp4f18"
"8","Pc"
"9","Hsd17b10"
"10","Tram1"
"11","Retnlg"
"12","Atl2"
"13","Mipep"
"14","Chpf2"
"15","Tomm70"
"16","Uqcrc2"
"17","Tmed2"
"18","Mdh1"
"19","Etfa"
"20","Pkd1l3"
"21","Spcs3"
"22","Bckdha"
"23","Hdac11"
"24","Card11"
"25","Serpina6"
"26","Trpv2"
"27","Ctsh"
"28","Skp1"
"29","Il16"
"30","Serp1"
"31","Ppp2r2a"
"32","Vwa3a"
"33","Itm2b"
"34","Carmil3"
"35","Snai3"
"36","Itk"
"37","Npc1l1"
"38","Piwil4"
"39","Camk2b"
"40","Zbp1"
"41","Cacna1b"
"42","Cyc1"
"43","Ap3b2"
"44","Rpgrip1"
"45","Adgrb2"
"46","Kcnc3"
"47","Arpp21"
"48","Slc25a11"
"49","Ank2"
"50","Psma5"
"51","Srgap3"
"52","Gdpd2"
"53","Prss29"
"54","Marchf5"
"55","Camkmt"
"56","Dnah1"
"57","Adgre4"
"58","Abca17"
"59","Adgrb1"
"60","Aox2"
"61","Ccdc27"
"62","Greb1"
"63","Nefl"
"64","Stmn4"
"65","RGD1560402"
"66","Them4"
"67","Abcb9"
"68","Psma6"
"69","Cacna1a"
"70","LOC686087"
"71","Snap91"
"72","Tnr"
"73","Ppfia4"
"74","Adamtsl1"
"75","Sema4f"
"76","Slc25a42"
"77","Myg1"
"78","Slc6a11"
"79","Alg2"
"80","Plxnb3"
"81","Cacnb1"
"82","Pctp"
"83","Pdzd9"
"84","Ttll7"
"85","Grn"
"86","Egflam"
