"","x"
"1","ENSRNOG00000042224"
"2","ENSRNOG00000059947"
"3","ENSRNOG00000014481"
"4","ENSRNOG00000024705"
"5","ENSRNOG00000046540"
"6","ENSRNOG00000024384"
"7","ENSRNOG00000031612"
"8","ENSRNOG00000008638"
"9","ENSRNOG00000001973"
"10","ENSRNOG00000009921"
"11","ENSRNOG00000001980"
"12","ENSRNOG00000012843"
"13","ENSRNOG00000008855"
"14","ENSRNOG00000020451"
"15","ENSRNOG00000016496"
"16","ENSRNOG00000019573"
"17","ENSRNOG00000014659"
"18","ENSRNOG00000046307"
"19","ENSRNOG00000058271"
"20","ENSRNOG00000017120"
"21","ENSRNOG00000016437"
"22","ENSRNOG00000027797"
"23","ENSRNOG00000018445"
"24","ENSRNOG00000009741"
"25","ENSRNOG00000009572"
"26","ENSRNOG00000011612"
"27","ENSRNOG00000001865"
"28","ENSRNOG00000050761"
"29","ENSRNOG00000001385"
"30","ENSRNOG00000002342"
"31","ENSRNOG00000017977"
"32","ENSRNOG00000046007"
"33","ENSRNOG00000003763"
"34","ENSRNOG00000054077"
"35","ENSRNOG00000042771"
"36","ENSRNOG00000000456"
"37","ENSRNOG00000021316"
"38","ENSRNOG00000006623"
"39","ENSRNOG00000052604"
"40","ENSRNOG00000018402"
"41","ENSRNOG00000023856"
"42","ENSRNOG00000019708"
"43","ENSRNOG00000011141"
"44","ENSRNOG00000060005"
"45","ENSRNOG00000011016"
"46","ENSRNOG00000007229"
"47","ENSRNOG00000019424"
"48","ENSRNOG00000009778"
"49","ENSRNOG00000026488"
"50","ENSRNOG00000019372"
"51","ENSRNOG00000000969"
"52","ENSRNOG00000003049"
"53","ENSRNOG00000010325"
"54","ENSRNOG00000053040"
"55","ENSRNOG00000056524"
"56","ENSRNOG00000007892"
"57","ENSRNOG00000006523"
"58","ENSRNOG00000055295"
"59","ENSRNOG00000010350"
"60","ENSRNOG00000056688"
"61","ENSRNOG00000013876"
"62","ENSRNOG00000006280"
"63","ENSRNOG00000023708"
"64","ENSRNOG00000001261"
"65","ENSRNOG00000026120"
"66","ENSRNOG00000010466"
"67","ENSRNOG00000001640"
"68","ENSRNOG00000003653"
"69","ENSRNOG00000036742"
"70","ENSRNOG00000011781"
"71","ENSRNOG00000039473"
"72","ENSRNOG00000001053"
"73","ENSRNOG00000008103"
"74","ENSRNOG00000021405"
"75","ENSRNOG00000049937"
"76","ENSRNOG00000015233"
"77","ENSRNOG00000001396"
"78","ENSRNOG00000020317"
"79","ENSRNOG00000057290"
"80","ENSRNOG00000039980"
"81","ENSRNOG00000051912"
"82","ENSRNOG00000059330"
"83","ENSRNOG00000019481"
"84","ENSRNOG00000038933"
"85","ENSRNOG00000002705"
"86","ENSRNOG00000021177"
"87","ENSRNOG00000008569"
"88","ENSRNOG00000004234"
"89","ENSRNOG00000020607"
"90","ENSRNOG00000006824"
"91","ENSRNOG00000017597"
"92","ENSRNOG00000029500"
"93","ENSRNOG00000009438"
"94","ENSRNOG00000014064"
"95","ENSRNOG00000005828"
"96","ENSRNOG00000011763"
"97","ENSRNOG00000042785"
"98","ENSRNOG00000018735"
"99","ENSRNOG00000011592"
"100","ENSRNOG00000032381"
"101","ENSRNOG00000012751"
"102","ENSRNOG00000016271"
"103","ENSRNOG00000019290"
"104","ENSRNOG00000010800"
"105","ENSRNOG00000010067"
"106","ENSRNOG00000026616"
"107","ENSRNOG00000012457"
"108","ENSRNOG00000005551"
"109","ENSRNOG00000003873"
"110","ENSRNOG00000059215"
"111","ENSRNOG00000004749"
"112","ENSRNOG00000019859"
"113","ENSRNOG00000003815"
"114","ENSRNOG00000019868"
"115","ENSRNOG00000020636"
"116","ENSRNOG00000020679"
"117","ENSRNOG00000011119"
"118","ENSRNOG00000004284"
"119","ENSRNOG00000007203"
"120","ENSRNOG00000017396"
"121","ENSRNOG00000008937"
"122","ENSRNOG00000011063"
"123","ENSRNOG00000011053"
"124","ENSRNOG00000007114"
"125","ENSRNOG00000020345"
"126","ENSRNOG00000013343"
"127","ENSRNOG00000000571"
"128","ENSRNOG00000006369"
"129","ENSRNOG00000008289"
"130","ENSRNOG00000002425"
"131","ENSRNOG00000007769"
"132","ENSRNOG00000021031"
