"","x"
"1","ENSRNOG00000042224"
"2","ENSRNOG00000059947"
"3","ENSRNOG00000014481"
"4","ENSRNOG00000024705"
"5","ENSRNOG00000046540"
"6","ENSRNOG00000024384"
"7","ENSRNOG00000031612"
"8","ENSRNOG00000008638"
"9","ENSRNOG00000001973"
"10","ENSRNOG00000009921"
"11","ENSRNOG00000001980"
"12","ENSRNOG00000012843"
"13","ENSRNOG00000008855"
"14","ENSRNOG00000020451"
"15","ENSRNOG00000016496"
"16","ENSRNOG00000019573"
"17","ENSRNOG00000046307"
"18","ENSRNOG00000058271"
"19","ENSRNOG00000017120"
"20","ENSRNOG00000016437"
"21","ENSRNOG00000027797"
"22","ENSRNOG00000018445"
"23","ENSRNOG00000009741"
"24","ENSRNOG00000011612"
"25","ENSRNOG00000001865"
"26","ENSRNOG00000001385"
"27","ENSRNOG00000002342"
"28","ENSRNOG00000017977"
"29","ENSRNOG00000046007"
"30","ENSRNOG00000003763"
"31","ENSRNOG00000054077"
"32","ENSRNOG00000042771"
"33","ENSRNOG00000000456"
"34","ENSRNOG00000021316"
"35","ENSRNOG00000006623"
"36","ENSRNOG00000052604"
"37","ENSRNOG00000018402"
"38","ENSRNOG00000023856"
"39","ENSRNOG00000019708"
"40","ENSRNOG00000060005"
"41","ENSRNOG00000011016"
"42","ENSRNOG00000007229"
"43","ENSRNOG00000019424"
"44","ENSRNOG00000009778"
"45","ENSRNOG00000026488"
"46","ENSRNOG00000000969"
"47","ENSRNOG00000010325"
"48","ENSRNOG00000053040"
"49","ENSRNOG00000056524"
"50","ENSRNOG00000055295"
"51","ENSRNOG00000010350"
"52","ENSRNOG00000056688"
"53","ENSRNOG00000023708"
"54","ENSRNOG00000001261"
"55","ENSRNOG00000026120"
"56","ENSRNOG00000003653"
"57","ENSRNOG00000011781"
"58","ENSRNOG00000039473"
"59","ENSRNOG00000021405"
"60","ENSRNOG00000049937"
"61","ENSRNOG00000001396"
"62","ENSRNOG00000020317"
"63","ENSRNOG00000057290"
"64","ENSRNOG00000039980"
"65","ENSRNOG00000051912"
"66","ENSRNOG00000059330"
"67","ENSRNOG00000019481"
"68","ENSRNOG00000002705"
"69","ENSRNOG00000008569"
"70","ENSRNOG00000004234"
"71","ENSRNOG00000017597"
"72","ENSRNOG00000029500"
"73","ENSRNOG00000042785"
"74","ENSRNOG00000018735"
"75","ENSRNOG00000011592"
"76","ENSRNOG00000032381"
"77","ENSRNOG00000012751"
"78","ENSRNOG00000019290"
"79","ENSRNOG00000010067"
"80","ENSRNOG00000005551"
"81","ENSRNOG00000003873"
"82","ENSRNOG00000059215"
"83","ENSRNOG00000004749"
"84","ENSRNOG00000019859"
"85","ENSRNOG00000020636"
"86","ENSRNOG00000020679"
"87","ENSRNOG00000011119"
"88","ENSRNOG00000004284"
"89","ENSRNOG00000007203"
"90","ENSRNOG00000008937"
"91","ENSRNOG00000011063"
"92","ENSRNOG00000011053"
"93","ENSRNOG00000000571"
"94","ENSRNOG00000007769"
