"","x"
"1","ENSRNOG00000001973"
"2","ENSRNOG00000012843"
"3","ENSRNOG00000042224"
"4","ENSRNOG00000009921"
"5","ENSRNOG00000046540"
"6","ENSRNOG00000024705"
"7","ENSRNOG00000059947"
"8","ENSRNOG00000056524"
"9","ENSRNOG00000014481"
"10","ENSRNOG00000017120"
"11","ENSRNOG00000000456"
"12","ENSRNOG00000011612"
"13","ENSRNOG00000046007"
"14","ENSRNOG00000010325"
"15","ENSRNOG00000007229"
"16","ENSRNOG00000011781"
"17","ENSRNOG00000031612"
"18","ENSRNOG00000019573"
"19","ENSRNOG00000020451"
"20","ENSRNOG00000011053"
"21","ENSRNOG00000010350"
"22","ENSRNOG00000042771"
"23","ENSRNOG00000000457"
"24","ENSRNOG00000053040"
"25","ENSRNOG00000000969"
"26","ENSRNOG00000008855"
"27","ENSRNOG00000058271"
"28","ENSRNOG00000016496"
"29","ENSRNOG00000024384"
"30","ENSRNOG00000054077"
"31","ENSRNOG00000042785"
"32","ENSRNOG00000008638"
"33","ENSRNOG00000021405"
"34","ENSRNOG00000002342"
"35","ENSRNOG00000059330"
"36","ENSRNOG00000018445"
"37","ENSRNOG00000023708"
"38","ENSRNOG00000001396"
"39","ENSRNOG00000015304"
"40","ENSRNOG00000011592"
"41","ENSRNOG00000009778"
"42","ENSRNOG00000001385"
"43","ENSRNOG00000056688"
"44","ENSRNOG00000051912"
"45","ENSRNOG00000046307"
"46","ENSRNOG00000004284"
"47","ENSRNOG00000018735"
"48","ENSRNOG00000001980"
"49","ENSRNOG00000006623"
"50","ENSRNOG00000027797"
"51","ENSRNOG00000016437"
"52","ENSRNOG00000019708"
"53","ENSRNOG00000011119"
"54","ENSRNOG00000023856"
"55","ENSRNOG00000017977"
"56","ENSRNOG00000007203"
"57","ENSRNOG00000010067"
"58","ENSRNOG00000049937"
"59","ENSRNOG00000021316"
"60","ENSRNOG00000004234"
"61","ENSRNOG00000019481"
"62","ENSRNOG00000026488"
"63","ENSRNOG00000059215"
"64","ENSRNOG00000002705"
"65","ENSRNOG00000008937"
"66","ENSRNOG00000004749"
"67","ENSRNOG00000009741"
"68","ENSRNOG00000026120"
"69","ENSRNOG00000000571"
"70","ENSRNOG00000057290"
"71","ENSRNOG00000032381"
"72","ENSRNOG00000020317"
"73","ENSRNOG00000011016"
"74","ENSRNOG00000020636"
"75","ENSRNOG00000019859"
"76","ENSRNOG00000005551"
"77","ENSRNOG00000003873"
"78","ENSRNOG00000020679"
"79","ENSRNOG00000019424"
"80","ENSRNOG00000055295"
"81","ENSRNOG00000060005"
"82","ENSRNOG00000011063"
"83","ENSRNOG00000008569"
"84","ENSRNOG00000029500"
"85","ENSRNOG00000039980"
"86","ENSRNOG00000017597"
"87","ENSRNOG00000001261"
"88","ENSRNOG00000007769"
"89","ENSRNOG00000052604"
"90","ENSRNOG00000039473"
"91","ENSRNOG00000018402"
"92","ENSRNOG00000001865"
"93","ENSRNOG00000003763"
"94","ENSRNOG00000012156"
"95","ENSRNOG00000011421"
"96","ENSRNOG00000017496"
"97","ENSRNOG00000019290"
"98","ENSRNOG00000012751"
"99","ENSRNOG00000003653"
