"","x"
"1","Cyp2j10"
"2","Sdc1"
"3","Adtrp"
"4","Rarres2"
"5","Ugt2b37"
"6","Cpn2"
"7","Gls2"
"8","Angptl3"
"9","Ugt2a3"
"10","Serpina3m"
"11","Ugt2b35"
"12","Aspg"
"13","Gjb2"
"14","Cd81"
"15","Ctsc"
"16","Lcat"
"17","Ebpl"
"18","Glyctk"
"19","Chpt1"
"20","Abhd2"
"21","Tm4sf4"
"22","Nit2"
"23","Agt"
"24","Hgfac"
"25","Tdo2"
"26","Serpind1"
"27","Serpina10"
"28","Plbd2"
"29","Aldh3a2"
"30","Smpd1"
"31","Cldn3"
"32","Prdx4"
"33","Apol3"
"34","Psmb8"
"35","Tmem98"
"36","Cd302"
"37","LOC100361907"
"38","Apoc2"
"39","Agxt"
"40","Ctsf"
"41","Serpina11"
"42","Surf1"
"43","Slc7a2"
"44","Nr0b2"
"45","Aspdh"
"46","Tmem59"
"47","Pc"
"48","Cyp3a18"
"49","Hsd17b10"
"50","Ptger3"
"51","Abcd1"
"52","Tram1"
"53","Atl2"
"54","Pecr"
"55","Rcan2"
"56","Mipep"
"57","Pcsk9"
"58","Tmem176a"
"59","Ftcd"
"60","Fam8a1"
"61","Chpf2"
"62","Tomm70"
"63","Fh"
"64","Uqcrc2"
"65","Oplah"
"66","Ccdc152"
"67","Tmed2"
"68","Mdh1"
"69","Cyp2c7"
"70","Pdxk"
"71","Etfa"
"72","Mospd3"
"73","Rab5if"
"74","Tmem168"
"75","Slc25a5"
"76","Acnat2"
"77","Cyp2c6_v1-ps2"
"78","Cyp8b1"
"79","Spcs3"
"80","Vps4b"
"81","Ndufa6"
"82","Mgat2"
"83","Bckdha"
"84","Hdac11"
"85","Fbp1"
"86","Tapbp"
"87","Serpina6"
"88","Ctsh"
"89","Skp1"
"90","Serp1"
"91","Sesn2"
"92","Cd74"
"93","Lrp10"
"94","Naglu"
"95","Tm9sf2"
"96","Itm2b"
"97","Hadhb"
"98","Lypla2"
"99","Cyc1"
"100","Derl1"
"101","Cpd"
"102","Slc66a2"
"103","Slc30a1"
"104","Pla2g15"
"105","Slc25a11"
"106","Psma5"
"107","Spint2"
"108","Icam1"
"109","Btg1"
"110","Psmc6"
"111","Marchf5"
"112","Csrp1"
"113","Dennd1b"
"114","Cyp2u1"
"115","Psma6"
"116","Slc25a42"
"117","Myg1"
"118","Psap"
"119","Alg2"
"120","Pctp"
"121","Marchf2"
"122","Grn"
