"","x"
"1","Cyp2j10"
"2","Sdc1"
"3","Adtrp"
"4","Rarres2"
"5","Ugt2b37"
"6","Cpn2"
"7","Gls2"
"8","Angptl3"
"9","Ugt2a3"
"10","Serpina3m"
"11","Ugt2b35"
"12","Aspg"
"13","Gjb2"
"14","Cd81"
"15","Ctsc"
"16","Lcat"
"17","Glyctk"
"18","Chpt1"
"19","Abhd2"
"20","Tm4sf4"
"21","Nit2"
"22","Agt"
"23","Tdo2"
"24","Serpind1"
"25","Plbd2"
"26","Aldh3a2"
"27","Smpd1"
"28","Cldn3"
"29","Prdx4"
"30","Apol3"
"31","Psmb8"
"32","Tmem98"
"33","Cd302"
"34","LOC100361907"
"35","Apoc2"
"36","Agxt"
"37","Ctsf"
"38","Surf1"
"39","Slc7a2"
"40","Nr0b2"
"41","Aspdh"
"42","Tmem59"
"43","Cyp3a18"
"44","Ptger3"
"45","Abcd1"
"46","Pecr"
"47","Rcan2"
"48","Tmem176a"
"49","Ftcd"
"50","Fam8a1"
"51","Fh"
"52","Oplah"
"53","Ccdc152"
"54","Cyp2c7"
"55","Pdxk"
"56","Mospd3"
"57","Rab5if"
"58","Tmem168"
"59","Slc25a5"
"60","Acnat2"
"61","Cyp2c6_v1-ps2"
"62","Cyp8b1"
"63","Vps4b"
"64","Ndufa6"
"65","Mgat2"
"66","Fbp1"
"67","Tapbp"
"68","Sesn2"
"69","Cd74"
"70","Lrp10"
"71","Naglu"
"72","Tm9sf2"
"73","Lypla2"
"74","Derl1"
"75","Cpd"
"76","Slc66a2"
"77","Slc30a1"
"78","Pla2g15"
"79","Spint2"
"80","Icam1"
"81","Btg1"
"82","Psmc6"
"83","Csrp1"
"84","Dennd1b"
"85","Cyp2u1"
"86","Psap"
"87","Marchf2"
