"","x"
"1","Ugt2a3"
"2","Aspg"
"3","Cyp2j10"
"4","Serpina3m"
"5","Ugt2b37"
"6","Rarres2"
"7","Sdc1"
"8","Abcd1"
"9","Adtrp"
"10","Abhd2"
"11","Psmb8"
"12","Tdo2"
"13","Cldn3"
"14","Ptger3"
"15","Nr0b2"
"16","Oplah"
"17","Gls2"
"18","Lcat"
"19","Cd81"
"20","Cyp2u1"
"21","Rcan2"
"22","Apol3"
"23","Tap1"
"24","Cyp3a18"
"25","Gjb2"
"26","Chpt1"
"27","Ctsc"
"28","Cpn2"
"29","Sesn2"
"30","Angptl3"
"31","Cyp2c7"
"32","Aldh3a2"
"33","Cyp2c6_v1-ps2"
"34","Agt"
"35","Tmem176a"
"36","Mospd3"
"37","Tmem160"
"38","Lrp10"
"39","Tmem59"
"40","Plbd2"
"41","Acnat2"
"42","Glyctk"
"43","Btg1"
"44","Cd74"
"45","Ugt2b35"
"46","Cd302"
"47","Nit2"
"48","Tm4sf4"
"49","Ctsf"
"50","Agxt"
"51","Smpd1"
"52","Psmc6"
"53","Lypla2"
"54","Pdxk"
"55","Tmem98"
"56","Mgat2"
"57","Cyp8b1"
"58","Slc66a2"
"59","Vps4b"
"60","Csrp1"
"61","Slc30a1"
"62","Fam8a1"
"63","Psap"
"64","Tmem168"
"65","Naglu"
"66","Rab5if"
"67","Slc7a2"
"68","Spint2"
"69","Pla2g15"
"70","Derl1"
"71","Cpd"
"72","Icam1"
"73","Aspdh"
"74","Pecr"
"75","Surf1"
"76","Dennd1b"
"77","Ndufa6"
"78","Tapbp"
"79","Slc25a5"
"80","Fbp1"
"81","Ftcd"
"82","Marchf2"
"83","LOC100361907"
"84","Ccdc152"
"85","Apoc2"
"86","Serpind1"
"87","Prdx4"
"88","Ostf1"
"89","Smap2"
"90","Cnp"
"91","Tm9sf2"
"92","Fh"
