"","x"
"1","ENSRNOG00000001143"
"2","ENSRNOG00000037865"
"3","ENSRNOG00000012543"
"4","ENSRNOG00000004242"
"5","ENSRNOG00000017130"
"6","ENSRNOG00000028926"
"7","ENSRNOG00000007100"
"8","ENSRNOG00000019057"
"9","ENSRNOG00000021713"
"10","ENSRNOG00000019100"
"11","ENSRNOG00000011821"
"12","ENSRNOG00000010899"
"13","ENSRNOG00000003537"
"14","ENSRNOG00000009797"
"15","ENSRNOG00000014970"
"16","ENSRNOG00000008356"
"17","ENSRNOG00000015957"
"18","ENSRNOG00000016753"
"19","ENSRNOG00000001869"
"20","ENSRNOG00000061085"
"21","ENSRNOG00000015751"
"22","ENSRNOG00000012835"
"23","ENSRNOG00000022261"
"24","ENSRNOG00000015913"
"25","ENSRNOG00000028844"
"26","ENSRNOG00000006911"
"27","ENSRNOG00000013069"
"28","ENSRNOG00000018241"
"29","ENSRNOG00000049991"
"30","ENSRNOG00000008600"
"31","ENSRNOG00000001943"
"32","ENSRNOG00000009339"
"33","ENSRNOG00000014896"
"34","ENSRNOG00000011659"
"35","ENSRNOG00000006122"
"36","ENSRNOG00000021560"
"37","ENSRNOG00000022499"
"38","ENSRNOG00000010929"
"39","ENSRNOG00000057867"
"40","ENSRNOG00000029055"
"41","ENSRNOG00000027037"
"42","ENSRNOG00000020625"
"43","ENSRNOG00000001692"
"44","ENSRNOG00000042912"
"45","ENSRNOG00000016505"
"46","ENSRNOG00000020525"
"47","ENSRNOG00000052310"
"48","ENSRNOG00000007869"
"49","ENSRNOG00000013679"
"50","ENSRNOG00000024277"
"51","ENSRNOG00000011688"
"52","ENSRNOG00000012110"
"53","ENSRNOG00000003104"
"54","ENSRNOG00000030145"
"55","ENSRNOG00000032778"
"56","ENSRNOG00000013280"
"57","ENSRNOG00000011680"
"58","ENSRNOG00000000277"
"59","ENSRNOG00000055790"
"60","ENSRNOG00000003468"
"61","ENSRNOG00000025110"
"62","ENSRNOG00000061147"
"63","ENSRNOG00000031782"
"64","ENSRNOG00000056174"
"65","ENSRNOG00000012892"
"66","ENSRNOG00000026065"
"67","ENSRNOG00000025518"
"68","ENSRNOG00000013586"
"69","ENSRNOG00000031766"
"70","ENSRNOG00000006860"
"71","ENSRNOG00000016544"
"72","ENSRNOG00000027911"
"73","ENSRNOG00000017118"
"74","ENSRNOG00000049955"
"75","ENSRNOG00000015394"
"76","ENSRNOG00000009043"
"77","ENSRNOG00000052080"
"78","ENSRNOG00000006314"
"79","ENSRNOG00000004560"
"80","ENSRNOG00000053889"
"81","ENSRNOG00000020013"
"82","ENSRNOG00000011705"
"83","ENSRNOG00000017283"
"84","ENSRNOG00000011892"
"85","ENSRNOG00000045626"
"86","ENSRNOG00000029938"
"87","ENSRNOG00000019249"
"88","ENSRNOG00000058386"
"89","ENSRNOG00000011809"
"90","ENSRNOG00000014375"
"91","ENSRNOG00000020350"
"92","ENSRNOG00000019271"
"93","ENSRNOG00000027936"
"94","ENSRNOG00000033026"
"95","ENSRNOG00000014164"
"96","ENSRNOG00000019959"
"97","ENSRNOG00000008919"
"98","ENSRNOG00000008761"
"99","ENSRNOG00000047647"
"100","ENSRNOG00000011076"
"101","ENSRNOG00000006509"
"102","ENSRNOG00000030515"
"103","ENSRNOG00000024650"
"104","ENSRNOG00000002800"
"105","ENSRNOG00000010423"
"106","ENSRNOG00000039405"
"107","ENSRNOG00000003028"
"108","ENSRNOG00000000522"
"109","ENSRNOG00000016550"
"110","ENSRNOG00000006030"
"111","ENSRNOG00000000239"
"112","ENSRNOG00000030629"
"113","ENSRNOG00000027894"
"114","ENSRNOG00000026914"
"115","ENSRNOG00000008728"
"116","ENSRNOG00000017237"
"117","ENSRNOG00000039656"
"118","ENSRNOG00000029450"
"119","ENSRNOG00000021207"
"120","ENSRNOG00000003338"
"121","ENSRNOG00000014835"
"122","ENSRNOG00000028627"
"123","ENSRNOG00000001156"
"124","ENSRNOG00000054142"
"125","ENSRNOG00000020138"
"126","ENSRNOG00000056358"
"127","ENSRNOG00000024651"
"128","ENSRNOG00000001103"
"129","ENSRNOG00000013658"
"130","ENSRNOG00000042029"
"131","ENSRNOG00000005451"
"132","ENSRNOG00000008219"
"133","ENSRNOG00000009198"
"134","ENSRNOG00000005960"
"135","ENSRNOG00000018982"
"136","ENSRNOG00000015794"
"137","ENSRNOG00000053334"
"138","ENSRNOG00000026928"
"139","ENSRNOG00000007002"
"140","ENSRNOG00000058645"
"141","ENSRNOG00000001082"
"142","ENSRNOG00000017908"
"143","ENSRNOG00000052707"
"144","ENSRNOG00000023861"
"145","ENSRNOG00000002468"
"146","ENSRNOG00000010326"
"147","ENSRNOG00000003494"
"148","ENSRNOG00000017027"
"149","ENSRNOG00000006956"
"150","ENSRNOG00000006784"
"151","ENSRNOG00000018254"
"152","ENSRNOG00000039754"
"153","ENSRNOG00000007281"
"154","ENSRNOG00000005697"
"155","ENSRNOG00000014555"
"156","ENSRNOG00000061731"
"157","ENSRNOG00000004518"
"158","ENSRNOG00000026163"
"159","ENSRNOG00000012058"
"160","ENSRNOG00000010867"
