"","x"
"1","ENSRNOG00000001143"
"2","ENSRNOG00000037865"
"3","ENSRNOG00000012543"
"4","ENSRNOG00000004242"
"5","ENSRNOG00000017130"
"6","ENSRNOG00000007100"
"7","ENSRNOG00000019057"
"8","ENSRNOG00000021713"
"9","ENSRNOG00000019100"
"10","ENSRNOG00000010899"
"11","ENSRNOG00000003537"
"12","ENSRNOG00000009797"
"13","ENSRNOG00000008356"
"14","ENSRNOG00000015957"
"15","ENSRNOG00000016753"
"16","ENSRNOG00000001869"
"17","ENSRNOG00000061085"
"18","ENSRNOG00000012835"
"19","ENSRNOG00000022261"
"20","ENSRNOG00000015913"
"21","ENSRNOG00000028844"
"22","ENSRNOG00000006911"
"23","ENSRNOG00000013069"
"24","ENSRNOG00000018241"
"25","ENSRNOG00000008600"
"26","ENSRNOG00000009339"
"27","ENSRNOG00000014896"
"28","ENSRNOG00000011659"
"29","ENSRNOG00000006122"
"30","ENSRNOG00000021560"
"31","ENSRNOG00000022499"
"32","ENSRNOG00000010929"
"33","ENSRNOG00000057867"
"34","ENSRNOG00000029055"
"35","ENSRNOG00000027037"
"36","ENSRNOG00000020625"
"37","ENSRNOG00000001692"
"38","ENSRNOG00000042912"
"39","ENSRNOG00000016505"
"40","ENSRNOG00000020525"
"41","ENSRNOG00000007869"
"42","ENSRNOG00000013679"
"43","ENSRNOG00000011688"
"44","ENSRNOG00000012110"
"45","ENSRNOG00000032778"
"46","ENSRNOG00000013280"
"47","ENSRNOG00000000277"
"48","ENSRNOG00000055790"
"49","ENSRNOG00000003468"
"50","ENSRNOG00000061147"
"51","ENSRNOG00000031782"
"52","ENSRNOG00000056174"
"53","ENSRNOG00000012892"
"54","ENSRNOG00000026065"
"55","ENSRNOG00000016544"
"56","ENSRNOG00000027911"
"57","ENSRNOG00000017118"
"58","ENSRNOG00000015394"
"59","ENSRNOG00000053889"
"60","ENSRNOG00000020013"
"61","ENSRNOG00000011705"
"62","ENSRNOG00000017283"
"63","ENSRNOG00000011892"
"64","ENSRNOG00000045626"
"65","ENSRNOG00000029938"
"66","ENSRNOG00000058386"
"67","ENSRNOG00000020350"
"68","ENSRNOG00000019271"
"69","ENSRNOG00000027936"
"70","ENSRNOG00000033026"
"71","ENSRNOG00000014164"
"72","ENSRNOG00000008761"
"73","ENSRNOG00000047647"
"74","ENSRNOG00000024650"
"75","ENSRNOG00000010423"
"76","ENSRNOG00000003028"
"77","ENSRNOG00000000522"
"78","ENSRNOG00000016550"
"79","ENSRNOG00000006030"
"80","ENSRNOG00000000239"
"81","ENSRNOG00000027894"
"82","ENSRNOG00000008728"
"83","ENSRNOG00000017237"
"84","ENSRNOG00000021207"
"85","ENSRNOG00000003338"
"86","ENSRNOG00000014835"
"87","ENSRNOG00000028627"
"88","ENSRNOG00000001156"
"89","ENSRNOG00000054142"
"90","ENSRNOG00000020138"
"91","ENSRNOG00000001103"
"92","ENSRNOG00000042029"
"93","ENSRNOG00000005451"
"94","ENSRNOG00000008219"
"95","ENSRNOG00000009198"
"96","ENSRNOG00000005960"
"97","ENSRNOG00000018982"
"98","ENSRNOG00000015794"
"99","ENSRNOG00000007002"
"100","ENSRNOG00000058645"
"101","ENSRNOG00000017908"
"102","ENSRNOG00000010326"
"103","ENSRNOG00000017027"
"104","ENSRNOG00000018254"
"105","ENSRNOG00000039754"
"106","ENSRNOG00000007281"
"107","ENSRNOG00000014555"
"108","ENSRNOG00000026163"
