"","x"
"1","ENSRNOG00000011892"
"2","ENSRNOG00000017130"
"3","ENSRNOG00000027936"
"4","ENSRNOG00000003537"
"5","ENSRNOG00000006911"
"6","ENSRNOG00000009797"
"7","ENSRNOG00000016544"
"8","ENSRNOG00000009686"
"9","ENSRNOG00000018241"
"10","ENSRNOG00000008356"
"11","ENSRNOG00000006122"
"12","ENSRNOG00000012543"
"13","ENSRNOG00000016753"
"14","ENSRNOG00000017027"
"15","ENSRNOG00000001143"
"16","ENSRNOG00000021713"
"17","ENSRNOG00000037865"
"18","ENSRNOG00000020625"
"19","ENSRNOG00000004882"
"20","ENSRNOG00000022261"
"21","ENSRNOG00000004242"
"22","ENSRNOG00000022499"
"23","ENSRNOG00000008761"
"24","ENSRNOG00000017237"
"25","ENSRNOG00000012835"
"26","ENSRNOG00000016812"
"27","ENSRNOG00000001692"
"28","ENSRNOG00000015913"
"29","ENSRNOG00000015794"
"30","ENSRNOG00000017908"
"31","ENSRNOG00000011659"
"32","ENSRNOG00000027037"
"33","ENSRNOG00000009339"
"34","ENSRNOG00000020013"
"35","ENSRNOG00000017424"
"36","ENSRNOG00000039754"
"37","ENSRNOG00000003338"
"38","ENSRNOG00000061085"
"39","ENSRNOG00000008219"
"40","ENSRNOG00000016505"
"41","ENSRNOG00000001156"
"42","ENSRNOG00000019100"
"43","ENSRNOG00000015957"
"44","ENSRNOG00000053948"
"45","ENSRNOG00000058645"
"46","ENSRNOG00000005960"
"47","ENSRNOG00000018254"
"48","ENSRNOG00000010899"
"49","ENSRNOG00000032778"
"50","ENSRNOG00000025300"
"51","ENSRNOG00000005451"
"52","ENSRNOG00000015394"
"53","ENSRNOG00000031782"
"54","ENSRNOG00000021207"
"55","ENSRNOG00000053889"
"56","ENSRNOG00000029938"
"57","ENSRNOG00000007002"
"58","ENSRNOG00000019057"
"59","ENSRNOG00000028627"
"60","ENSRNOG00000020138"
"61","ENSRNOG00000012892"
"62","ENSRNOG00000007281"
"63","ENSRNOG00000047647"
"64","ENSRNOG00000012110"
"65","ENSRNOG00000011688"
"66","ENSRNOG00000029055"
"67","ENSRNOG00000007869"
"68","ENSRNOG00000020350"
"69","ENSRNOG00000000239"
"70","ENSRNOG00000013069"
"71","ENSRNOG00000014555"
"72","ENSRNOG00000020525"
"73","ENSRNOG00000042029"
"74","ENSRNOG00000058386"
"75","ENSRNOG00000013679"
"76","ENSRNOG00000007100"
"77","ENSRNOG00000010423"
"78","ENSRNOG00000056174"
"79","ENSRNOG00000000522"
"80","ENSRNOG00000001869"
"81","ENSRNOG00000008728"
"82","ENSRNOG00000014896"
"83","ENSRNOG00000061147"
"84","ENSRNOG00000015991"
"85","ENSRNOG00000011705"
"86","ENSRNOG00000037911"
"87","ENSRNOG00000003468"
"88","ENSRNOG00000001103"
"89","ENSRNOG00000007206"
"90","ENSRNOG00000033026"
"91","ENSRNOG00000027894"
"92","ENSRNOG00000000277"
"93","ENSRNOG00000057867"
"94","ENSRNOG00000055790"
"95","ENSRNOG00000028844"
"96","ENSRNOG00000053317"
"97","ENSRNOG00000024650"
"98","ENSRNOG00000054142"
"99","ENSRNOG00000006030"
"100","ENSRNOG00000021560"
"101","ENSRNOG00000027911"
"102","ENSRNOG00000016550"
"103","ENSRNOG00000010326"
"104","ENSRNOG00000003183"
"105","ENSRNOG00000008600"
"106","ENSRNOG00000017283"
"107","ENSRNOG00000018111"
"108","ENSRNOG00000026065"
"109","ENSRNOG00000013280"
"110","ENSRNOG00000014835"
"111","ENSRNOG00000042912"
"112","ENSRNOG00000051257"
"113","ENSRNOG00000018982"
"114","ENSRNOG00000014164"
"115","ENSRNOG00000010929"
"116","ENSRNOG00000017118"
"117","ENSRNOG00000045626"
"118","ENSRNOG00000008082"
"119","ENSRNOG00000003028"
"120","ENSRNOG00000009198"
"121","ENSRNOG00000025848"
"122","ENSRNOG00000026163"
"123","ENSRNOG00000019271"
