"","x"
"1","Cit"
"2","Hormad2"
"3","Mcm3"
"4","Pole2"
"5","Rhd"
"6","Ccdc136"
"7","Prkcq"
"8","Kif18b"
"9","Kif2c"
"10","Bfsp2"
"11","Spta1"
"12","Aqp3"
"13","Myo5c"
"14","F13a1"
"15","Slc14a1"
"16","Rab44"
"17","Fancd2"
"18","Espl1"
"19","Cenpu"
"20","Tspan5"
"21","Slc9a5"
"22","Sptb"
"23","Sapcd2"
"24","Ank1"
"25","Sytl1"
"26","Cenpe"
"27","Adgrg3"
"28","Alpk3"
"29","Igf2bp1"
"30","Cass4"
"31","Sgo1"
"32","Tcam1"
"33","Mns1"
"34","Ttk"
"35","Alox12"
"36","Mcpt2"
"37","Chaf1b"
"38","Mycbpap"
"39","Fam169a"
"40","Col5a3"
"41","Wscd1"
"42","Sema4d"
"43","Neil3"
"44","Col17a1"
"45","Bub1"
"46","Olfm4"
"47","Tet1"
"48","Nup210l"
"49","Capn8"
"50","Entrep1"
"51","Col6a4"
"52","Pdzd4"
"53","Abca4"
"54","Slit1"
"55","Arhgef28"
"56","Stkld1"
"57","P4ha3"
"58","Trpv5"
"59","Celsr3"
"60","Psrc1"
"61","Stmn2"
"62","Kcnt1"
"63","Slc36a2"
"64","Pkd1l2"
"65","Pik3c2b"
"66","Golt1b"
"67","Pacs1"
"68","Ulk4"
"69","Ccdc8"
"70","Dclk3"
"71","Paqr5"
"72","Il2ra"
"73","Ckap2"
"74","Misp"
"75","Dnah17"
"76","Cpne5"
"77","Dclk2"
"78","Ptprz1"
"79","Ccl7"
"80","Iqgap3"
"81","Unc79"
"82","Lama1"
"83","Lgals12"
"84","Pmp22"
"85","Il1rl1"
"86","Hmcn1"
"87","Msi1"
"88","Slc30a2"
"89","Slc4a3"
"90","Sdk1"
"91","Efs"
"92","Dnah11"
"93","Ccdc33"
"94","Rab6b"
"95","RGD1311744"
"96","Entpd3"
"97","Fam83d"
"98","Lif"
"99","Tnc"
"100","Pnliprp1"
"101","Col20a1"
"102","Adam2"
"103","Sncaip"
"104","Rab7b"
"105","Flnc"
"106","Aox4"
"107","Cpt1c"
