"","x"
"1","Cit"
"2","Hormad2"
"3","Mcm3"
"4","Pole2"
"5","Rhd"
"6","Ccdc136"
"7","Prkcq"
"8","Kif18b"
"9","Kif2c"
"10","S100a4"
"11","Bfsp2"
"12","Spta1"
"13","Aqp3"
"14","Kif17"
"15","Myo5c"
"16","F13a1"
"17","Slc14a1"
"18","Rab44"
"19","Fancd2"
"20","Cyp4f18"
"21","Espl1"
"22","Cenpu"
"23","Tspan5"
"24","Slc9a5"
"25","Sptb"
"26","Sapcd2"
"27","Ank1"
"28","Sytl1"
"29","Retnlg"
"30","Cenpe"
"31","Adgrg3"
"32","Alpk3"
"33","Igf2bp1"
"34","Cass4"
"35","Sgo1"
"36","Tcam1"
"37","Mns1"
"38","Ttk"
"39","Alox12"
"40","Mcpt2"
"41","Chaf1b"
"42","Mycbpap"
"43","Fam169a"
"44","Col5a3"
"45","Pkd1l3"
"46","Wscd1"
"47","Sema4d"
"48","Card11"
"49","Neil3"
"50","Col17a1"
"51","Trpv2"
"52","Bub1"
"53","Olfm4"
"54","Il16"
"55","Tet1"
"56","Nup210l"
"57","Capn8"
"58","Vwa3a"
"59","Entrep1"
"60","Col6a4"
"61","Pdzd4"
"62","Abca4"
"63","Slit1"
"64","Carmil3"
"65","Snai3"
"66","CYTB"
"67","Itk"
"68","Arhgef28"
"69","Stkld1"
"70","P4ha3"
"71","Npc1l1"
"72","Trpv5"
"73","Piwil4"
"74","Camk2b"
"75","Zbp1"
"76","Cacna1b"
"77","Celsr3"
"78","Psrc1"
"79","Stmn2"
"80","Kcnt1"
"81","Slc36a2"
"82","Pkd1l2"
"83","Pik3c2b"
"84","Ap3b2"
"85","Golt1b"
"86","Rpgrip1"
"87","Adgrb2"
"88","Pacs1"
"89","Ulk4"
"90","Ccdc8"
"91","Dclk3"
"92","Paqr5"
"93","Kcnc3"
"94","Arpp21"
"95","Il2ra"
"96","Ank2"
"97","Srgap3"
"98","Nfasc"
"99","Ckap2"
"100","Gdpd2"
"101","Misp"
"102","Prss29"
"103","Dnah17"
"104","Cpne5"
"105","Dclk2"
"106","Ptprz1"
"107","Ccl7"
"108","Camkmt"
"109","Iqgap3"
"110","Dnah1"
"111","Unc79"
"112","Lama1"
"113","Abca17"
"114","Adgrb1"
"115","Lgals12"
"116","Pmp22"
"117","Il1rl1"
"118","Hmcn1"
"119","Msi1"
"120","Slc30a2"
"121","Slc4a3"
"122","Ccdc27"
"123","Greb1"
"124","Sdk1"
"125","Nefl"
"126","Efs"
"127","Dnah11"
"128","Ccdc33"
"129","Rab6b"
"130","RGD1311744"
"131","Entpd3"
"132","Fam83d"
"133","Stmn4"
"134","RGD1560402"
"135","Lif"
"136","Tnc"
"137","Abcb9"
"138","Pnliprp1"
"139","Cacna1a"
"140","Snap91"
"141","Tnr"
"142","Col20a1"
"143","Ppfia4"
"144","Adam2"
"145","Adamtsl1"
"146","Sema4f"
"147","Sncaip"
"148","Rab7b"
"149","Flnc"
"150","Slc6a11"
"151","Aox4"
"152","Plxnb3"
"153","Cacnb1"
"154","Cpt1c"
"155","Egflam"
