"","x"
"1","Slc36a2"
"2","Rhd"
"3","Ccdc8"
"4","Spta1"
"5","Sptb"
"6","Aqp3"
"7","Arhgef28"
"8","Aqp7"
"9","Ank1"
"10","Myo5c"
"11","Igf2bp1"
"12","Mcm3"
"13","Slc14a1"
"14","Adam2"
"15","Cit"
"16","Kif18b"
"17","Hormad2"
"18","Mcpt2"
"19","Capn6"
"20","Cenpu"
"21","Pole2"
"22","Sgo1"
"23","Lama1"
"24","Espl1"
"25","Adamts16"
"26","Chaf1b"
"27","Tspan5"
"28","Fam83d"
"29","Pnliprp1"
"30","Alpk3"
"31","Alox12"
"32","Cenpe"
"33","Psrc1"
"34","Chrna2"
"35","Rab7b"
"36","Pmp22"
"37","Fancd2"
"38","Ccdc33"
"39","Fam169a"
"40","Msi1"
"41","Kif2c"
"42","F13a1"
"43","Tnc"
"44","RGD1311744"
"45","Sncaip"
"46","Bfsp2"
"47","Bub1"
"48","Fer1l6"
"49","Dnah11"
"50","Trpv5"
"51","Col6a4"
"52","Lgals12"
"53","Celsr3"
"54","Pik3c2b"
"55","Lif"
"56","Prkcq"
"57","Hmcn1"
"58","Slc4a3"
"59","Abca4"
"60","Flnc"
"61","Il2ra"
"62","Col17a1"
"63","Neil3"
"64","Ttk"
"65","Wscd1"
"66","Pacs1"
"67","Ccl7"
"68","Sapcd2"
"69","Aox4"
"70","Col5a3"
"71","Efs"
"72","Golt1b"
"73","Sema4d"
"74","Ccdc136"
"75","Misp"
"76","Pdzd4"
"77","Cpne5"
"78","Rab44"
"79","Unc79"
"80","Adgrg3"
"81","Entrep1"
"82","Npr2"
"83","Stmn2"
"84","Capn8"
"85","Sdk1"
"86","Cfap20dc"
"87","Dclk3"
"88","Iqgap3"
"89","Tet1"
"90","Mns1"
"91","Nup210l"
"92","Slc9a5"
"93","Efcab11"
"94","Ckap2"
"95","Slc30a2"
"96","Ptprz1"
"97","Cass4"
"98","Stkld1"
"99","Dclk2"
"100","Col20a1"
"101","Fmod"
"102","Sytl1"
"103","Kcnt1"
"104","Slc12a5"
"105","Slit1"
"106","Olfm4"
"107","Il1rl1"
"108","Mycbpap"
"109","Entpd3"
"110","Paqr5"
"111","Tcam1"
"112","P4ha3"
"113","Pkd1l2"
"114","Rgs6"
"115","Dnah17"
"116","Rab6b"
"117","Sspo"
"118","Cpt1c"
"119","Ulk4"
